new_entry_smiles,new_entry_cmc,new_entry_code,new_entry_doi,pcmc_match_smiles,pcmc_match_cmc,pcmc_match_doi,struct_match_smiles,struct_match_cmc,struct_match_doi
CCCCCCCCOCCOCCOCCOCCOCCO,1.959,C8EO5,10.1021/la010958n,CCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],2.199970641,10.1021/ci600462d,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.045998832,10.1021/ie4016232
CCCCCCCCCCOCCOCCOCCOCCOCCO,3.1,C10EO5,10.1016/S0378-3812(98)00411-7,CCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],2.398048596,10.1021/ci600462d,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.045998832,10.1021/ie4016232
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,3.015,C10EO7,10.1016/j.fluid.2005.02.008,CCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],2.398048596,10.1021/ci600462d,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.045998832,10.1021/ie4016232
CCCCCCCCCCCCOCCO,4.638,C12EO1,10.1016/j.fluid.2005.02.008,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,3.091514981,10.1007/s11743-001-0184-2,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.045998832,10.1021/ie4016232
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.921,C16EO8,10.1016/j.fluid.2005.02.008,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,3.903089987,10.1021/acs.jpcb.8b10727,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.045998832,10.1021/ie4016232
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.699,C16EO10,10.1021/la050206j,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,3.903089987,10.1021/acs.jpcb.8b10727,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.045998832,10.1021/ie4016232
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,3.959,C8PhEO30,10.1016/0927-7757(95)03203-P,CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1.346787486,10.1021/acs.iecr.6b02890,CCCCCCCCCc1ccccc1OCCOCCO,3.376957566,10.1021/ie4016232
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,4.119,C8PhEO40,10.1016/0927-7757(95)03203-P,CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.15490196,10.1021/acs.iecr.6b02890,CCCCCCCCCc1ccccc1OCCOCCO,3.376957566,10.1021/ie4016232
CCCCCCCCCc1ccc(OCCOCCO)cc1,3.377,C9PhEO2,10.1016/j.jcis.2004.02.077,CCCC=NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],4.075204004,10.1016/j.jiec.2014.01.020,CCCCCCCCCc1ccccc1OCCOCCO,3.376957566,10.1021/ie4016232
CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,3.328,C9PhEO5,10.1016/j.jcis.2004.02.077,CCCCC(=O)OCC(COC(=O)CCCC)S(=O)(=O)[O-].[Na+],1.238974748,10.1021/ci600462d,CCCCCCCCCc1ccccc1OCCOCCO,3.376957566,10.1021/ie4016232
CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,3.301,C9PhEO12,10.1016/j.jcis.2004.02.077,CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],0.662940274,10.1021/ci600462d,CCCCCCCCCc1ccccc1OCCOCCO,3.376957566,10.1021/ie4016232
