identifier,pCMC,method,SMILES,Molecular_Weight,InChI,source_doi,reference_doi,reference_key,CMC
1-undecylpyridinium bromide,1.71,,CCCCCCCCCCC[n+]1ccccc1.[Br-],314.3109999999999,"InChI=1S/C16H28N.BrH/c1-2-3-4-5-6-7-8-9-11-14-17-15-12-10-13-16-17;/h10,12-13,15-16H,2-9,11,14H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1039/FT9938902445,bezan1993,0.019498445997580455
1-dodecylpyridinium bromide,1.952,,CCCCCCCCCCCC[n+]1ccccc1.[Br-],328.3379999999999,"InChI=1S/C17H30N.BrH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.06.026,gonzalez-perez2006,0.011168632477805612
1-tridecylpyridinium bromide,2.337,,CCCCCCCCCCCCC[n+]1ccccc1.[Br-],342.36499999999995,"InChI=1S/C18H32N.BrH/c1-2-3-4-5-6-7-8-9-10-11-13-16-19-17-14-12-15-18-19;/h12,14-15,17-18H,2-11,13,16H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1039/FT9938902445,bezan1993,0.004602565735813558
1-tetradecylpyridinium bromide,2.558,,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],356.392,"InChI=1S/C19H34N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-14-17-20-18-15-13-16-19-20;/h13,15-16,18-19H,2-12,14,17H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.06.026,gonzalez-perez2006,0.0027669416454115126
1-pentadecylpyridinium bromide,2.866,,CCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],370.41900000000004,"InChI=1S/C20H36N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-18-21-19-16-14-17-20-21;/h14,16-17,19-20H,2-13,15,18H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.06.026,gonzalez-perez2006,0.0013614446824659497
1-hexadecylpyridinium bromide,3.14,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],384.4460000000001,"InChI=1S/C21H38N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.06.026,gonzalez-perez2006,0.0007244359600749898
4-dodecyl-1-methylpyridinium iodide,2.602,,CCCCCCCCCCCCc1cc[n+](C)cc1.[I-],389.36500000000007,"InChI=1S/C18H32N.HI/c1-3-4-5-6-7-8-9-10-11-12-13-18-14-16-19(2)17-15-18;/h14-17H,3-13H2,1-2H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1351/pac199062010047,engberts1990,0.002500345361696432
"4-(9,9-dimethyldecyl)-1-methylpyridinium iodide",2.406,,C[n+]1ccc(CCCCCCCCC(C)(C)C)cc1.[I-],389.36500000000007,"InChI=1S/C18H32N.HI/c1-18(2,3)14-10-8-6-5-7-9-11-17-12-15-19(4)16-13-17;/h12-13,15-16H,5-11,14H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1351/pac199062010047,engberts1990,0.003926449353995997
4-(7-ethylnonyl)-1-methylpyridinium iodide,2.425,,CCC(CC)CCCCCCc1cc[n+](C)cc1.[I-],375.338,"InChI=1S/C17H30N.HI/c1-4-16(5-2)10-8-6-7-9-11-17-12-14-18(3)15-13-17;/h12-16H,4-11H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1351/pac199062010047,engberts1990,0.003758374042884443
4-dodecyl-1-ethylpyridinium iodide,2.656,,CCCCCCCCCCCCc1cc[n+](CC)cc1.[I-],403.3920000000001,"InChI=1S/C19H34N.HI/c1-3-5-6-7-8-9-10-11-12-13-14-19-15-17-20(4-2)18-16-19;/h15-18H,3-14H2,1-2H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1351/pac199062010047,engberts1990,0.002208004733018899
4-dodecyl-1-propylpyridinium iodide,2.719,,CCCCCCCCCCCCc1cc[n+](CCC)cc1.[I-],417.41900000000015,"InChI=1S/C20H36N.HI/c1-3-5-6-7-8-9-10-11-12-13-14-20-15-18-21(17-4-2)19-16-20;/h15-16,18-19H,3-14,17H2,1-2H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1351/pac199062010047,engberts1990,0.0019098532585662387
4-dodecyl-1-isopropylpyridinium iodide,2.714,,CCCCCCCCCCCCc1cc[n+](C(C)C)cc1.[I-],417.4190000000001,"InChI=1S/C20H36N.HI/c1-4-5-6-7-8-9-10-11-12-13-14-20-15-17-21(18-16-20)19(2)3;/h15-19H,4-14H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1351/pac199062010047,engberts1990,0.001931968317016924
"N,N,N-trimethylhexadecan-1-aminium bromide",3.0,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],364.4560000000002,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1021/la00039a012,treiner1992,0.001
"N,N,N-trimethyltetradecan-1-aminium bromide",2.42,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],336.4020000000001,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s00396-003-0905-2,gonzalez-perez2003,0.0038018939632056127
"N,N,N-trimethyldodecan-1-aminium bromide",1.818,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],308.348,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s00396-003-0905-2,gonzalez-perez2003,0.015205475297324954
"N-benzyl-N,N-dimethylhexadecan-1-aminium chloride",3.31,,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],396.10300000000024,"InChI=1S/C25H46N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-20-23-26(2,3)24-25-21-18-17-19-22-25;/h17-19,21-22H,4-16,20,23-24H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s00396-003-0905-2,gonzalez-perez2003,0.0004897788193684461
"N-benzyl-N,N-dimethyltetradecan-1-aminium chloride",2.701,,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],368.04900000000015,"InChI=1S/C23H42N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s00396-003-0905-2,gonzalez-perez2003,0.0019906733389871865
"N-benzyl-N,N-dimethyldodecan-1-aminium chloride",2.056,,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],339.99500000000006,"InChI=1S/C21H38N.ClH/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;/h13-15,17-18H,4-12,16,19-20H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s00396-003-0905-2,gonzalez-perez2003,0.008790225168308843
"N-benzyl-N,N-dimethyltetradecan-1-aminium bromide",2.824,,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],412.50000000000034,"InChI=1S/C23H42N.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s00396-003-0905-2,gonzalez-perez2003,0.0014996848355023741
"N,N,N-trimethylhexan-1-aminium bromide",0.305,,CCCCCC[N+](C)(C)C.[Br-],224.18599999999995,"InChI=1S/C9H22N.BrH/c1-5-6-7-8-9-10(2,3)4;/h5-9H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1006/jcis.1998.5708,mosquera1998,0.49545019080479025
"N,N,N-trimethyloctan-1-aminium bromide",0.538,,CCCCCCCC[N+](C)(C)C.[Br-],252.23999999999992,"InChI=1S/C11H26N.BrH/c1-5-6-7-8-9-10-11-12(2,3)4;/h5-11H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/S0927-7757(02)00019-5,murphy2002,0.28973435877013226
"N,N,N-trimethyldecan-1-aminium bromide",1.319,,CCCCCCCCCC[N+](C)(C)C.[Br-],280.2939999999999,"InChI=1S/C13H30N.BrH/c1-5-6-7-8-9-10-11-12-13-14(2,3)4;/h5-13H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/S0927-7757(02)00019-5,murphy2002,0.047973344863668915
"N-ethyl-N,N-dimethyldodecan-1-aminium bromide",1.83,,CCCCCCCCCCCC[N+](C)(C)CC.[Br-],322.37500000000006,"InChI=1S/C16H36N.BrH/c1-5-7-8-9-10-11-12-13-14-15-16-17(3,4)6-2;/h5-16H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1021/jp010975l,bai2001,0.014791083881682071
"N-ethyl-N,N-dimethyltetradecan-1-aminium bromide",2.514,,CCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],350.42900000000014,"InChI=1S/C18H40N.BrH/c1-5-7-8-9-10-11-12-13-14-15-16-17-18-19(3,4)6-2;/h5-18H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1021/jp010975l,bai2001,0.003061963433690679
"N-dodecyl-N,N-dimethylbenzenaminium bromide",2.301,,CCCCCCCCCCCC[N+](C)(C)c1ccccc1.[Br-],370.419,"InChI=1S/C20H36N.BrH/c1-4-5-6-7-8-9-10-11-12-16-19-21(2,3)20-17-14-13-15-18-20;/h13-15,17-18H,4-12,16,19H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s003960050404,delcastillo1999,0.005000345349769783
"N,N-dimethyl-N-tetradecylbenzenaminium bromide",2.893,,CCCCCCCCCCCCCC[N+](C)(C)c1ccccc1.[Br-],398.47300000000035,"InChI=1S/C22H40N.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-23(2,3)22-19-16-15-17-20-22;/h15-17,19-20H,4-14,18,21H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s003960050404,delcastillo1999,0.0012793813041575253
"N-hexadecyl-N,N-dimethylbenzenaminium bromide",3.514,,CCCCCCCCCCCCCCCC[N+](C)(C)c1ccccc1.[Br-],426.52700000000016,"InChI=1S/C24H44N.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-20-23-25(2,3)24-21-18-17-19-22-24;/h17-19,21-22H,4-16,20,23H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s003960050404,delcastillo1999,0.0003061963433690679
"N-(2-hydroxyethyl)-N,N-dimethylhexadecan-1-aminium bromide ",3.695,,CCCCCCCCCCCCCCCC[N+](C)(C)CCO.[Br-],394.48200000000026,"InChI=1S/C20H44NO.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-21(2,3)19-20-22;/h22H,4-20H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,0.00020183663636815617
"N,N-bis(2-hydroxyethyl)-N-methylhexadecan-1-aminium bromide ",3.815,,CCCCCCCCCCCCCCCC[N+](C)(CCO)CCO.[Br-],424.5080000000003,"InChI=1S/C21H46NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(2,18-20-23)19-21-24;/h23-24H,3-21H2,1-2H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,0.00015310874616820304
"N,N,N-tris(2-hydroxyethyl)hexadecan-1-aminium bromide",4.444,,CCCCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],454.5340000000004,"InChI=1S/C22H48NO3.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-23(17-20-24,18-21-25)19-22-26;/h24-26H,2-22H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,3.5974933515574234e-05
"N-(2-methoxyethyl)-N,N-dimethylhexadecan-1-aminium bromide",3.693,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC.[Br-],408.5090000000003,"InChI=1S/C21H46NO.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(2,3)20-21-23-4;/h5-21H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,0.00020276827195212817
"N,N-bis(2-methoxyethyl)-N-methylhexadecan-1-aminium bromide",3.914,,CCCCCCCCCCCCCCCC[N+](C)(CCOC)CCOC.[Br-],452.5620000000004,"InChI=1S/C23H50NO2.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-24(2,20-22-25-3)21-23-26-4;/h5-23H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,0.00012189895989248661
"N,N,N-tris(2-methoxyethyl)hexadecan-1-aminium bromide",4.137,,CCCCCCCCCCCCCCCC[N+](CCOC)(CCOC)CCOC.[Br-],496.6150000000005,"InChI=1S/C25H54NO3.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-26(20-23-27-2,21-24-28-3)22-25-29-4;/h5-25H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,7.294575102545694e-05
"N,N-dimethyl-N-propylhexadecan-1-aminium bromide",3.213,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC.[Br-],392.5100000000003,"InChI=1S/C21H46N.BrH/c1-5-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22(3,4)20-6-2;/h5-21H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,0.0006123503917247734
