No.,Chemical name,References,pCMC,PubChem InChI,SMILES from InChI,OPSIN SMILES,Handmade SMILES,Merged SMILES
1,1-undecylpyridinium bromide,Bězan et al. (1993),1.71,,,[Br-].C(CCCCCCCCCC)[N+]1=CC=CC=C1,,[Br-].C(CCCCCCCCCC)[N+]1=CC=CC=C1
2,1-dodecylpyridinium bromide,González-Pérez et al. (2006),1.952,"InChI=1S/C17H30N.BrH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",CCCCCCCCCCCC[n+]1ccccc1.[Br-],[Br-].C(CCCCCCCCCCC)[N+]1=CC=CC=C1,,[Br-].C(CCCCCCCCCCC)[N+]1=CC=CC=C1
3,1-tridecylpyridinium bromide,Bězan et al. (1993),2.337,,,[Br-].C(CCCCCCCCCCCC)[N+]1=CC=CC=C1,,[Br-].C(CCCCCCCCCCCC)[N+]1=CC=CC=C1
4,1-tetradecylpyridinium bromide,González-Pérez et al. (2006),2.558,"InChI=1S/C19H34N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-14-17-20-18-15-13-16-19-20;/h13,15-16,18-19H,2-12,14,17H2,1H3;1H/q+1;/p-1",CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],[Br-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,,[Br-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1
5,1-pentadecylpyridinium bromide,González-Pérez et al. (2006),2.866,,,[Br-].C(CCCCCCCCCCCCCC)[N+]1=CC=CC=C1,,[Br-].C(CCCCCCCCCCCCCC)[N+]1=CC=CC=C1
6,1-hexadecylpyridinium bromide,González-Pérez et al. (2006),3.14,"InChI=1S/C21H38N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],[Br-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,,[Br-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1
7,4-dodecyl-1-methylpyridinium iodide,Engberts and Nusselder (1990),2.602,,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)C,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)C
8,"4-(9,9-dimethyldecyl)-1-methylpyridinium iodide",Engberts and Nusselder (1990),2.406,,,[I-].CC(CCCCCCCCC1=CC=[N+](C=C1)C)(C)C,,[I-].CC(CCCCCCCCC1=CC=[N+](C=C1)C)(C)C
9,4-(7-ethylnonyl)-1-methylpyridinium iodide,Engberts and Nusselder (1990),2.425,,,[I-].C(C)C(CCCCCCC1=CC=[N+](C=C1)C)CC,,[I-].C(C)C(CCCCCCC1=CC=[N+](C=C1)C)CC
10,4-dodecyl-1-ethylpyridinium iodide,Engberts and Nusselder (1990),2.656,,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)CC,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)CC
11,4-dodecyl-1-propylpyridinium iodide,Engberts and Nusselder (1990),2.719,,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)CCC,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)CCC
12,4-dodecyl-1-isopropylpyridinium iodide,Engberts and Nusselder (1990),2.714,,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)C(C)C,,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)C(C)C
13,"N,N,N-trimethylhexadecan-1-aminium bromide",Treiner and Makayssi (1992),3,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],[Br-].C[N+](CCCCCCCCCCCCCCCC)(C)C,,[Br-].C[N+](CCCCCCCCCCCCCCCC)(C)C
14,"N,N,N-trimethyltetradecan-1-aminium bromide",González-Pérez et al. (2003),2.42,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1",CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],[Br-].C[N+](CCCCCCCCCCCCCC)(C)C,,[Br-].C[N+](CCCCCCCCCCCCCC)(C)C
15,"N,N,N-trimethyldodecan-1-aminium bromide",González-Pérez et al. (2003),1.818,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",CCCCCCCCCCCC[N+](C)(C)C.[Br-],[Br-].C[N+](CCCCCCCCCCCC)(C)C,,[Br-].C[N+](CCCCCCCCCCCC)(C)C
16,"N-benzyl-N,N-dimethylhexadecan-1-aminium chloride",González-Pérez et al. (2003),3.31,"InChI=1S/C25H46N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-20-23-26(2,3)24-25-21-18-17-19-22-25;/h17-19,21-22H,4-16,20,23-24H2,1-3H3;1H/q+1;/p-1",CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],[Cl-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCCCCCC)(C)C,,[Cl-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCCCCCC)(C)C
17,"N-benzyl-N,N-dimethyltetradecan-1-aminium chloride",González-Pérez et al. (2003),2.701,"InChI=1S/C23H42N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1",CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],[Cl-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCCCC)(C)C,,[Cl-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCCCC)(C)C
18,"N-benzyl-N,N-dimethyldodecan-1-aminium chloride",González-Pérez et al. (2003),2.056,"InChI=1S/C21H38N.ClH/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;/h13-15,17-18H,4-12,16,19-20H2,1-3H3;1H/q+1;/p-1",CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],[Cl-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCC)(C)C,,[Cl-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCC)(C)C
19,"N-benzyl-N,N-dimethyltetradecan-1-aminium bromide",González-Pérez et al. (2003),2.824,"InChI=1S/C23H42N.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1",CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],[Br-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCCCC)(C)C,,[Br-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCCCC)(C)C
20,"N,N,N-trimethylhexan-1-aminium bromide",Mosquera et al. (1998),0.305,"InChI=1S/C9H22N.BrH/c1-5-6-7-8-9-10(2,3)4;/h5-9H2,1-4H3;1H/q+1;/p-1",CCCCCC[N+](C)(C)C.[Br-],[Br-].C[N+](CCCCCC)(C)C,,[Br-].C[N+](CCCCCC)(C)C
21,"N,N,N-trimethyloctan-1-aminium bromide",Murphy and Taggart (2002),0.538,"InChI=1S/C11H26N.BrH/c1-5-6-7-8-9-10-11-12(2,3)4;/h5-11H2,1-4H3;1H/q+1;/p-1",CCCCCCCC[N+](C)(C)C.[Br-],[Br-].C[N+](CCCCCCCC)(C)C,,[Br-].C[N+](CCCCCCCC)(C)C
22,"N,N,N-trimethyldecan-1-aminium bromide",Murphy and Taggart (2002),1.319,"InChI=1S/C13H30N.BrH/c1-5-6-7-8-9-10-11-12-13-14(2,3)4;/h5-13H2,1-4H3;1H/q+1;/p-1",CCCCCCCCCC[N+](C)(C)C.[Br-],[Br-].C[N+](CCCCCCCCCC)(C)C,,[Br-].C[N+](CCCCCCCCCC)(C)C
23,"N-ethyl-N,N-dimethyldodecan-1-aminium bromide",Bai et al. (2001),1.83,"InChI=1S/C16H36N.BrH/c1-5-7-8-9-10-11-12-13-14-15-16-17(3,4)6-2;/h5-16H2,1-4H3;1H/q+1;/p-1",CCCCCCCCCCCC[N+](C)(C)CC.[Br-],[Br-].C(C)[N+](CCCCCCCCCCCC)(C)C,,[Br-].C(C)[N+](CCCCCCCCCCCC)(C)C
24,"N-ethyl-N,N-dimethyltetradecan-1-aminium bromide",Bai et al. (2001),2.514,"InChI=1S/C18H40N.BrH/c1-5-7-8-9-10-11-12-13-14-15-16-17-18-19(3,4)6-2;/h5-18H2,1-4H3;1H/q+1;/p-1",CCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],[Br-].C(C)[N+](CCCCCCCCCCCCCC)(C)C,,[Br-].C(C)[N+](CCCCCCCCCCCCCC)(C)C
25,"N-dodecyl-N,N-dimethylbenzenaminium bromide",Del Castillo et al. (1999),2.301,,,[Br-].C(CCCCCCCCCCC)[N+](C1=CC=CC=C1)(C)C,,[Br-].C(CCCCCCCCCCC)[N+](C1=CC=CC=C1)(C)C
26,"N,N-dimethyl-N-tetradecylbenzenaminium bromide",Del Castillo et al. (1999),2.893,,,[Br-].C[N+](C1=CC=CC=C1)(CCCCCCCCCCCCCC)C,,[Br-].C[N+](C1=CC=CC=C1)(CCCCCCCCCCCCCC)C
27,"N-hexadecyl-N,N-dimethylbenzenaminium bromide",Del Castillo et al. (1999),3.514,,,[Br-].C(CCCCCCCCCCCCCCC)[N+](C1=CC=CC=C1)(C)C,,[Br-].C(CCCCCCCCCCCCCCC)[N+](C1=CC=CC=C1)(C)C
28,"N-(2-hydroxyethyl)-N,N-dimethylhexadecan-1-aminium bromide ",Das et al. (2005),3.695,"InChI=1S/C20H44NO.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-21(2,3)19-20-22;/h22H,4-20H2,1-3H3;1H/q+1;/p-1",CCCCCCCCCCCCCCCC[N+](C)(C)CCO.[Br-],[Br-].OCC[N+](CCCCCCCCCCCCCCCC)(C)C,,[Br-].OCC[N+](CCCCCCCCCCCCCCCC)(C)C
