Compound,R,Krafft point (oC),CMC (M),γCMC (mN/m),pC20,Foam 0' (mL),Foam 30' (mL),Temp_Celsius,source_doi,reference_doi,SMILES,method
1a,C10H21,,0.0032,36.5,2.9,,,20,10.1007/BF02517994,,OC(C[N+](C)(C)CCCCCCCCCC)C[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],tensiometry
1b,C12H25,,0.00078,37,3.2,,,20,10.1007/BF02517994,,OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry
1c,C14H29,,0.00014,39,4.4,,,20,10.1007/BF02517994,,OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry
1d,C16H33,,1.90E-05,42.2,5.3,,,20,10.1007/BF02517994,,OC(C[N+](C)(C)CCCCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry
2b,C12H25,,0.00098,39.2,3.3,,,20,10.1007/BF02517994,,C[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],tensiometry
2c,C14H29,,0.00011,41.8,4.5,,,20,10.1007/BF02517994,,C[N+](C)(CCCCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCCCC)C.[Cl-].[Cl-],tensiometry
2d,C16H33,,1.50E-05,42,5.4,,,20,10.1007/BF02517994,,C[N+](C)(CCCCCCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Cl-].[Cl-],tensiometry
C12H25N(CH3)3Cl-,,,0.012,39,2.6,,,20,10.1007/BF02517994,10.1021/ja00004a077,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry
C14H29N(CH3)3Cl-,,,0.0045,,,,,25,10.1007/BF02517994,10.1021/j100827a028,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry
C16H33N(CH3)3Cl-,,,0.0013,,,,,30,10.1007/BF02517994,10.1021/ja01170a082,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry
1a,C10H21,,,,,40,0,20,10.1007/BF02517994,,OC(C[N+](C)(C)CCCCCCCCCC)C[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],semi-micro TK
1b,C12H25,,,,,280,270,20,10.1007/BF02517994,,OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],semi-micro TK
1c,C14H29,,,,,270,270,20,10.1007/BF02517994,,OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],semi-micro TK
