Compound,-X-,Krafft point (oC),CMC (M),γCMC (mN/m),pC20,Foam 0' (mL),Foam 30' (mL),Temp_Celsius,source_doi,SMILES,reference_doi,method
1b,image,,0.00078,37,3.2,,,10.1007/BF02517994,OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],10.1007/BF02517994,,tensiometry
2b,image,,0.00098,39.2,3.3,,,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,tensiometry
3,image,,0.00065,40.9,3.5,,,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CC(O)CC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,tensiometry
4,image,,0.0005,39.2,3.6,,,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CCOCC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,tensiometry
1b,image,<0,,,,,,10.1007/BF02517994,OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],10.1007/BF02517994,,visual
2b,image,<0,,,,,,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,visual
3,image,<0,,,,,,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CC(O)CC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,visual
4,image,<0,,,,,,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CCOCC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,visual
1b,image,,,,,280,270,10.1007/BF02517994,OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],10.1007/BF02517994,,semi-micro TK
2b,image,,,,,270,270,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,semi-micro TK
3,image,,,,,230,0,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CC(O)CC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,semi-micro TK
4,image,,,,,230,0,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CCOCC[N+](C)(CCCCCCCCCCCC)C.[Cl-].[Cl-],10.1007/BF02517994,,semi-micro TK
