compound,R,Krafft point (°C),cmc (M),γcmc (mN/m),Temp_Celsius,source_doi,reference_doi,SMILES,method
2a,CH3,,9.90E-04,42,20,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)CN(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry
2b,C12H25,,6.20E-06,35,20,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)CN(CCCCCCCCCCCC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry
4a,CH3,,4.60E-04,39,20,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],tensiometry
4b,C12H25,,9.60E-06,32,20,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],tensiometry
BQADC(C12),C12H25,,7.80E-04,37,20,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry
DTAC(1),C12H25,,1.20E-02,39,20,10.1021/la960669c,10.5650/jos1956.42.161,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry
DTAC(2),C12H25,,2.00E-02,,20,10.1021/la960669c,978-0-471-83651-3,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry
2a,CH3,<0,,,,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)CN(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],visual
2b,C12H25,<0,,,,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)CN(CCCCCCCCCCCC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],visual
4a,CH3,<0,,,,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],visual
4b,C12H25,<0,,,,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],visual
BQADC(C12),C12H25,<0,,,,10.1021/la960669c,,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],visual
DTAC(1),C12H25,<0,,,,10.1021/la960669c,10.5650/jos1956.42.161,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],visual
