identifier,Temp_Celsius,CMC,source_doi,reference_doi,SMILES,pCMC,Molecular_Weight,InChI
Fatty acid soaps KC8,25,0.39,10.1021/j150457a013,,CCCCCCCC(=O)[O-].[K+],0.4089353929735008,182.30399999999997,"InChI=1S/C8H16O2.K/c1-2-3-4-5-6-7-8(9)10;/h2-7H2,1H3,(H,9,10);/q;+1/p-1"
Fatty acid soaps KC10,25,0.098,10.1021/j150457a013,,CCCCCCCCCC(=O)[O-].[K+],1.0087739243075051,210.358,"InChI=1S/C10H20O2.K/c1-2-3-4-5-6-7-8-9-10(11)12;/h2-9H2,1H3,(H,11,12);/q;+1/p-1"
Fatty acid soaps KC12,25,0.0255,10.1021/j150457a013,,CCCCCCCCCCCC(=O)[O-].[K+],1.5934598195660448,238.41199999999998,"InChI=1S/C12H24O2.K/c1-2-3-4-5-6-7-8-9-10-11-12(13)14;/h2-11H2,1H3,(H,13,14);/q;+1/p-1"
Fatty acid soaps KC14,25,0.0066,10.1021/j150457a013,,CCCCCCCCCCCCCC(=O)[O-].[K+],2.1804560644581312,266.46599999999995,"InChI=1S/C14H28O2.K/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16;/h2-13H2,1H3,(H,15,16);/q;+1/p-1"
Fatty acid soaps KC16,35,0.0018,10.1021/j150457a013,,CCCCCCCCCCCCCCCC(=O)[O-].[K+],2.744727494896694,294.5199999999999,"InChI=1S/C16H32O2.K/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18;/h2-15H2,1H3,(H,17,18);/q;+1/p-1"
sodium alkyl sulfonates C8,25,0.155,10.1021/j150457a013,,CCCCCCCCS(=O)(=O)[O-].[Na+],0.8096683018297085,216.278,"InChI=1S/C8H18O3S.Na/c1-2-3-4-5-6-7-8-12(9,10)11;/h2-8H2,1H3,(H,9,10,11);/q;+1/p-1"
sodium alkyl sulfonates C10,25,0.041,10.1021/j150457a013,,CCCCCCCCCCS(=O)(=O)[O-].[Na+],1.3872161432802645,244.332,"InChI=1S/C10H22O3S.Na/c1-2-3-4-5-6-7-8-9-10-14(11,12)13;/h2-10H2,1H3,(H,11,12,13);/q;+1/p-1"
sodium alkyl sulfonates C12,35,0.01,10.1021/j150457a013,,CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],2.0,272.38599999999997,"InChI=1S/C12H26O3S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1"
sodium alkyl sulfonates C14,45,0.0029,10.1021/j150457a013,,CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],2.537602002101044,300.44,"InChI=1S/C14H30O3S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1"
sodium alkyl sulfonates C16,52,0.0009,10.1021/j150457a013,,CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],3.0457574905606752,328.49399999999997,"InChI=1S/C16H34O3S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20(17,18)19;/h2-16H2,1H3,(H,17,18,19);/q;+1/p-1"
alkylamine hydrochlorides C10,25,0.04,10.1021/j150457a013,,CCCCCCCCCC[NH3+].[Cl-],1.3979400086720375,193.762,"InChI=1S/C10H23N.ClH/c1-2-3-4-5-6-7-8-9-10-11;/h2-11H2,1H3;1H"
alkylamine hydrochlorides C12,30,0.013,10.1021/j150457a013,,CCCCCCCCCCCC[NH3+].[Cl-],1.8860566476931633,221.81599999999997,"InChI=1S/C12H27N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H"
alkylamine hydrochlorides C14,40,0.0031,10.1021/j150457a013,,CCCCCCCCCCCCCC[NH3+].[Cl-],2.5086383061657274,249.86999999999995,"InChI=1S/C14H31N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15;/h2-15H2,1H3;1H"
alkylamine hydrochlorides C16,50,0.008,10.1021/j150457a013,,CCCCCCCCCCCCCCCC[NH3+].[Cl-],2.0969100130080562,277.9239999999999,"InChI=1S/C16H35N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17;/h2-17H2,1H3;1H"
alkylamine hydrochlorides C18,60,0.00025,10.1021/j150457a013,,CCCCCCCCCCCCCCCCCC[NH3+].[Cl-],3.6020599913279625,305.97799999999984,"InChI=1S/C18H39N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19;/h2-19H2,1H3;1H"
