Surfactant,Krafft temp (oC),106 Γcmc (mol/m2),1020 A (m2),pC20,cmc (M),γcmc (mN m−1),cmc/C20,Gcmc (kJ mol-1),Gcmc/CH2 (kJ mol-1),method,Nagg Fluorescence [surfactant] = 25 × cmc,Nagg Fluorescence [surfactant] = 250 × cmc,SMILES,Temp_Celsius,source_doi,reference_doi
bis(C8GA),<0,2.58,64,5.8,6.70E-05,28.36,41.6,23.8,1.8,tensiometry,,,CCCCCCCCN(CCN(CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)CCCCCCCC)CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O,25,10.1016/j.jcis.2003.09.020,
bis(C12GA),47-48,2.52,66,6.9,3.80E-06,31.55,27.5,30.9,1.8,tensiometry,,,O=C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)NCCCN(CCN(CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)CCCCCCCCCCCC)CCCCCCCCCCCC,25,10.1016/j.jcis.2003.09.020,
bis(C12GH),64-65,2.51,66,6.6,5.20E-06,33.12,19.9,30.1,,tensiometry,,,CCCCCCCCCCCCN(CCN(CCCNC([C@@H]([C@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O)=O)CCCCCCCCCCCC)CCCNC([C@@H]([C@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O)=O,25,10.1016/j.jcis.2003.09.020,
bis(C8LA),<0,2.27,73,5.4,0.00013,32.89,31.5,22.2,1.6,tensiometry,,,O[C@@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)O[C@@]([H])([C@@H]([C@H](C(NCCCN(CCN(CCCNC([C@H](O)[C@@H](O)[C@]([C@@H](CO)O)([H])O[C@H](O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]2O)=O)CCCCCCCC)CCCCCCCC)=O)O)O)[C@@H](CO)O)O)O,25,10.1016/j.jcis.2003.09.020,
bis(C12LA),<0,2.22,75,6.3,8.90E-06,36.16,18.6,28.8,1.6,tensiometry,,,O[C@@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)O[C@@]([H])([C@@H]([C@H](C(NCCCN(CCN(CCCNC([C@H](O)[C@@H](O)[C@]([C@@H](CO)O)([H])O[C@H](O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]2O)=O)CCCCCCCCCCCC)CCCCCCCCCCCC)=O)O)O)[C@@H](CO)O)O)O,25,10.1016/j.jcis.2003.09.020,
bis(C8GA),,,,,7.10E-05,,,,,fluorimetry,18,27,CCCCCCCCN(CCN(CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)CCCCCCCC)CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O,25,10.1016/j.jcis.2003.09.020,
bis(C12GA),,,,,4.00E-06,,,,,fluorimetry,22,31,O=C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)NCCCN(CCN(CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)CCCCCCCCCCCC)CCCCCCCCCCCC,25,10.1016/j.jcis.2003.09.020,
bis(C12GH),,,,,5.40E-06,,,,,fluorimetry,,,CCCCCCCCCCCCN(CCN(CCCNC([C@@H]([C@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O)=O)CCCCCCCCCCCC)CCCNC([C@@H]([C@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O)=O,25,10.1016/j.jcis.2003.09.020,
bis(C8LA),,,,,0.00013,,,,,fluorimetry,24,32,O[C@@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)O[C@@]([H])([C@@H]([C@H](C(NCCCN(CCN(CCCNC([C@H](O)[C@@H](O)[C@]([C@@H](CO)O)([H])O[C@H](O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]2O)=O)CCCCCCCC)CCCCCCCC)=O)O)O)[C@@H](CO)O)O)O,25,10.1016/j.jcis.2003.09.020,
bis(C12LA),,,,,9.30E-06,,,,,fluorimetry,29,35,O[C@@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)O[C@@]([H])([C@@H]([C@H](C(NCCCN(CCN(CCCNC([C@H](O)[C@@H](O)[C@]([C@@H](CO)O)([H])O[C@H](O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]2O)=O)CCCCCCCCCCCC)CCCCCCCCCCCC)=O)O)O)[C@@H](CO)O)O)O,25,10.1016/j.jcis.2003.09.020,
