Compound Number,CMC (mM),CMC err (mM),β,∆G◦ mic (kJ/mol),Temp_Celsius,source_doi,reference_doi,SMILES,method
1,3.46,0.11,0.44,-14.91,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCC)CC[N+](C)(C)CCCCCCCC.[I-].[I-],conductometry
2,2.46,0.12,0.45,-21.81,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[I-].[I-],conductometry
3,0.75,0.06,0.52,-18.12,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[I-].[I-],conductometry
4,0.35,0.02,0.51,-19.66,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[I-].[I-],conductometry
5,0.11,0.01,0.43,-22.72,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[I-].[I-],conductometry
6,0.06,0.01,0.43,-24.1,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[I-].[I-],conductometry
7,2.78,0.13,0.38,-14.55,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],conductometry
8,1.06,0.09,0.53,-38.2,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],conductometry
9,0.48,0.07,0.51,-20.27,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],conductometry
10,0.15,0.02,0.37,-24.28,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],conductometry
11,0.08,0.01,0.29,-40.2,25.0,10.3390/molecules25184054,,CN(CC[N+](C)(C)CCCCCCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],conductometry
