Surfactants,CMC (mM),method,πCMC,C20 mM,γCMC mN m-1,pC20,β,Γmax x 10-10 mol cm-2,Amin nm2 per molecule,Temp_Celsius,source_doi,reference_doi,SMILES
DTAB,15.1,tensiometry,36.4,5.25,36.4,2.28,,3.77,0.44,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,0.98,tensiometry,37.5,0.35,35.3,3.42,,3.55,0.48,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
12-2-12,0.82,tensiometry,42.2,0.16,30.6,3.78,,1.89,0.88,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
12-4-12,1.25,tensiometry,34.6,0.26,38.2,3.59,,1.41,1.17,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
16-2-16,0.021,tensiometry,44.3,0.00026,28.5,6.58,,0.78,2.14,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16-4-16,0.037,tensiometry,29.8,0.0053,43,5.28,,0.77,2.25,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16-6-16,0.048,tensiometry,35.8,0.0014,37,5.87,,0.69,2.41,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
DTAB,15.4,conductometry,,,,,0.22,,,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,0.92,conductometry,,,,,0.28,,,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
12-2-12,0.85,conductometry,,,,,0.21,,,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
12-4-12,1.2,conductometry,,,,,0.29,,,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
16-2-16,0.03,conductometry,,,,,0.33,,,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16-4-16,0.039,conductometry,,,,,0.35,,,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16-6-16,0.051,conductometry,,,,,0.41,,,30,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
