identifier,method,source_doi,reference_doi,SMILES,Temp_Celsius,Area_min,Molecular_Weight,InChI,CMC,pCMC,Gamma_max
IAC-14(Et),tensiometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCC)c1.[Br-],25,,460.50100000000015,"InChI=1S/C22H41N3O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-24-17-18-25(21-24)19-20-27-22(26)23-4-2;/h17-18,21H,3-16,19-20H2,1-2H3;1H",0.0013,2.886056647693163,
IAC-14(Bu),tensiometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCCCC)c1.[Br-],25,,488.55500000000023,"InChI=1S/C24H45N3O2.BrH/c1-3-5-7-8-9-10-11-12-13-14-15-16-18-26-19-20-27(23-26)21-22-29-24(28)25-17-6-4-2;/h19-20,23H,3-18,21-22H2,1-2H3;1H",0.0005,3.3010299956639813,
IAC-16(Et),tensiometry,10.1016/j.molliq.2020.114094,10.1016/j.molliq.2019.111961,CCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCC)c1.[Br-],25,,488.5550000000001,"InChI=1S/C24H45N3O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-26-19-20-27(23-26)21-22-29-24(28)25-4-2;/h19-20,23H,3-18,21-22H2,1-2H3;1H",0.0003,3.5228787452803374,
IAC-16(Bu),tensiometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCCCC)c1.[Br-],25,,516.6090000000002,"InChI=1S/C26H49N3O2.BrH/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-20-28-21-22-29(25-28)23-24-31-26(30)27-19-6-4-2;/h21-22,25H,3-20,23-24H2,1-2H3;1H",0.00015,3.8239087409443187,
IAC-18(Et),tensiometry,10.1016/j.molliq.2020.114094,10.1016/j.molliq.2019.111961,CCCCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCC)c1.[Br-],25,,516.6090000000002,"InChI=1S/C26H49N3O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-28-21-22-29(25-28)23-24-31-26(30)27-4-2;/h21-22,25H,3-20,23-24H2,1-2H3;1H",0.0001,4.0,
IAC-18(Bu),tensiometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCCCC)c1.[Br-],25,,544.6630000000002,"InChI=1S/C28H53N3O2.BrH/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-30-23-24-31(27-30)25-26-33-28(32)29-21-6-4-2;/h23-24,27H,3-22,25-26H2,1-2H3;1H",5e-05,4.301029995663981,
IAC-14(Et),conductometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCC)c1.[Br-],25,,460.50100000000015,"InChI=1S/C22H41N3O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-24-17-18-25(21-24)19-20-27-22(26)23-4-2;/h17-18,21H,3-16,19-20H2,1-2H3;1H",0.0012,2.9208187539523753,
IAC-14(Bu),conductometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCCCC)c1.[Br-],25,,488.55500000000023,"InChI=1S/C24H45N3O2.BrH/c1-3-5-7-8-9-10-11-12-13-14-15-16-18-26-19-20-27(23-26)21-22-29-24(28)25-17-6-4-2;/h19-20,23H,3-18,21-22H2,1-2H3;1H",0.0005,3.3010299956639813,
IAC-16(Et),conductometry,10.1016/j.molliq.2020.114094,10.1016/j.molliq.2019.111961,CCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCC)c1.[Br-],25,,488.5550000000001,"InChI=1S/C24H45N3O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-26-19-20-27(23-26)21-22-29-24(28)25-4-2;/h19-20,23H,3-18,21-22H2,1-2H3;1H",0.0005,3.3010299956639813,
IAC-16(Bu),conductometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCCCC)c1.[Br-],25,,516.6090000000002,"InChI=1S/C26H49N3O2.BrH/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-20-28-21-22-29(25-28)23-24-31-26(30)27-19-6-4-2;/h21-22,25H,3-20,23-24H2,1-2H3;1H",0.00015,3.8239087409443187,
IAC-18(Et),conductometry,10.1016/j.molliq.2020.114094,10.1016/j.molliq.2019.111961,CCCCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCC)c1.[Br-],25,,516.6090000000002,"InChI=1S/C26H49N3O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-28-21-22-29(25-28)23-24-31-26(30)27-4-2;/h21-22,25H,3-20,23-24H2,1-2H3;1H",0.0003,3.5228787452803374,
IAC-18(Bu),conductometry,10.1016/j.molliq.2020.114094,,CCCCCCCCCCCCCCCCCC[n+]1ccn(CCOC(=O)NCCCC)c1.[Br-],25,,544.6630000000002,"InChI=1S/C28H53N3O2.BrH/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-30-23-24-31(27-30)25-26-33-28(32)29-21-6-4-2;/h23-24,27H,3-22,25-26H2,1-2H3;1H",5e-05,4.301029995663981,
