Surfactant,CMC (mM),method,Cideal (mM),α,I1/I3,Nagg,Ksv (10^-3 L/mol),ΔGmo (kJ/mol),ΔGads (kJ/mol),ΔGmin (kJ/mol),Γmax 10^6 (mol/m2),Amin 10^20 (m2/mol),∏cmc (mN/m),source_doi,reference_doi,SMILES,Temp_Celsius
CDEEAB,0.85,conductometry,,0.43,,,,-43.4,-73.5,,0.93,,,10.1016/j.colsurfa.2014.03.037,,CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-],26.85
TDEEAB,4.7,conductometry,,0.33,,,,-39.1,-53.1,,2.03,,,10.1016/j.colsurfa.2014.03.037,,CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
C16-10-C16,0.026,conductometry,,0.42,,,,-78.5,-104.8,,0.82,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],26.85
C16-12-C16,0.021,conductometry,,0.42,,,,-79.7,-113.2,,0.66,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],26.85
16-10-16+CPB,0.047,conductometry,0.054,0.66,,,,-63.8,-76.8,84.2,1.31,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],26.85
16-10-16+CTPB,0.04,conductometry,0.048,0.47,,,,-70.9,-96.4,89.9,1.02,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,26.85
16-10-16+CDEEAB,0.05,conductometry,0.054,0.64,,,,-64.1,-103.1,57.8,0.74,,,10.1016/j.colsurfa.2014.03.037,,CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],26.85
16-10-16+TDEEAB,0.051,conductometry,0.055,0.46,,,,-70.4,-85.2,69,1.48,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
16-12-16+CPB,0.042,conductometry,0.042,0.6,,,,-66.5,-105.5,116.7,0.46,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],26.85
16-12-16+CTPB,0.037,conductometry,0.039,0.59,,,,-67.4,-91.2,109.1,0.92,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],26.85
16-12-16+CDEEAB,0.039,conductometry,0.043,0.39,,,,-73.7,-106.2,157.1,0.65,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCCCC)CCO.[Br-],26.85
16-12-16+TDEEAB,0.041,conductometry,0.044,0.46,,,,-71.6,-85.3,151.4,0.8,,,10.1016/j.colsurfa.2014.03.037,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-].CC[N+](CC)(CCCCCCCCCCCCCC)CCO.[Br-],26.85
