AW_ST_CMC,pC20,Temp_Celsius,source_doi,reference_doi,SMILES,method,Molecular_Weight,InChI,CMC,pCMC,C20,Gamma_max,Area_min
42.4,,20,10.1016/j.jcis.2004.01.020,,CCCCCCSC[C@H]1OC(=O)[C@H](O)[C@@H]1O,tensiometry,248.3439999999999,"InChI=1S/C11H20O4S/c1-2-3-4-5-6-16-7-8-9(12)10(13)11(14)15-8/h8-10,12-13H,2-7H2,1H3/t8-,9-,10-/m1/s1",,,,,
,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@@H]1O,tensiometry,276.39799999999997,"InChI=1S/C13H24O4S/c1-2-3-4-5-6-7-8-18-9-10-11(14)12(15)13(16)17-10/h10-12,14-15H,2-9H2,1H3/t10-,11-,12-/m1/s1",,,,,
,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@@H]1O,tensiometry,332.50600000000014,"InChI=1S/C17H32O4S/c1-2-3-4-5-6-7-8-9-10-11-12-22-13-14-15(18)16(19)17(20)21-14/h14-16,18-19H,2-13H2,1H3/t14-,15-,16-/m1/s1",,,,,
,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@@H]1O,tensiometry,332.50600000000014,"InChI=1S/C17H32O4S/c1-2-3-4-5-6-7-8-9-10-11-12-22-13-14-15(18)16(19)17(20)21-14/h14-16,18-19H,2-13H2,1H3/t14-,15-,16-/m1/s1",,,,,
25.1,3.36,20,10.1016/j.jcis.2004.01.020,,CCCCCCSC[C@@H]1OC(=O)[C@H](O)[C@H]1O,tensiometry,248.3439999999999,"InChI=1S/C11H20O4S/c1-2-3-4-5-6-16-7-8-9(12)10(13)11(14)15-8/h8-10,12-13H,2-7H2,1H3/t8-,9-,10+/m0/s1",0.0067,2.1739251972991736,0.0004365158322401661,3.35e-06,0.49520000000000003
24.1,4.74,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCSC[C@@H]1OC(=O)[C@H](O)[C@H]1O,tensiometry,276.39799999999997,"InChI=1S/C13H24O4S/c1-2-3-4-5-6-7-8-18-9-10-11(14)12(15)13(16)17-10/h10-12,14-15H,2-9H2,1H3/t10-,11-,12+/m0/s1",0.00047999999999999996,3.318758762624413,1.8197008586099827e-05,4.3799999999999996e-06,0.3829
28.0,5.4,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCSC[C@@H]1OC(=O)[C@H](O)[C@H]1O,tensiometry,304.45200000000006,"InChI=1S/C15H28O4S/c1-2-3-4-5-6-7-8-9-10-20-11-12-13(16)14(17)15(18)19-12/h12-14,16-17H,2-11H2,1H3/t12-,13-,14+/m0/s1",3.3e-05,4.481486060122113,3.981071705534969e-06,5.01e-06,0.3317
33.8,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCCCSC[C@@H]1OC(=O)[C@H](O)[C@H]1O,tensiometry,332.50600000000014,"InChI=1S/C17H32O4S/c1-2-3-4-5-6-7-8-9-10-11-12-22-13-14-15(18)16(19)17(20)21-14/h14-16,18-19H,2-13H2,1H3/t14-,15-,16+/m0/s1",,,,,
26.3,3.38,20,10.1016/j.jcis.2004.01.020,,CCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,tensiometry,248.34399999999994,"InChI=1S/C11H20O4S/c1-2-3-4-5-6-16-7-8-9(12)10(13)11(14)15-8/h8-10,12-13H,2-7H2,1H3/t8-,9+,10-/m1/s1",0.005,2.3010299956639813,0.0004168693834703355,4.12e-06,0.40340000000000004
25.7,4.37,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,tensiometry,276.3979999999999,"InChI=1S/C13H24O4S/c1-2-3-4-5-6-7-8-18-9-10-11(14)12(15)13(16)17-10/h10-12,14-15H,2-9H2,1H3/t10-,11+,12-/m1/s1",0.00053,3.275724130399211,4.265795188015926e-05,4.7200000000000005e-06,0.3522
29.5,5.4,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,tensiometry,304.4519999999999,"InChI=1S/C15H28O4S/c1-2-3-4-5-6-7-8-9-10-20-11-12-13(16)14(17)15(18)19-12/h12-14,16-17H,2-11H2,1H3/t12-,13+,14-/m1/s1",2.3e-05,4.638272163982407,3.981071705534969e-06,4.950000000000001e-06,0.3356
