Surfactant,Code,n,CMC (10−3 M),γ (mN m−1),1010Γ (mol cm−2),A0 (Å2 mol−1),CPP,pC20,Temp_Celsius,source_doi,reference_doi,SMILES
image,1,6,,42.4,,,,,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@H](O)[C@H]1CSCCCCCC
image,2,8,,,,,,,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@H](O)[C@H]1CSCCCCCCCC
image,3,10,,,,,,,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@H](O)[C@H]1CSCCCCCCCCCCCC
image,4,12,,,,,,,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@H](O)[C@H]1CSCCCCCCCCCCCC
image,5,6,6.7,25.1,3.35,49.52,0.42,3.36,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@@H](O)[C@@H]1CSCCCCCC
image,6,8,0.48,24.1,4.38,38.29,0.55,4.74,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@@H](O)[C@@H]1CSCCCCCCCC
image,7,10,0.033,28.0,5.01,33.17,0.64,5.4,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@@H](O)[C@@H]1CSCCCCCCCCCC
image,8,12,,33.8,,,,,20,10.1016/j.jcis.2004.01.020,,O=C(O1)[C@H](O)[C@@H](O)[C@@H]1CSCCCCCCCCCCCC
image,9,6,5.0,26.3,4.12,40.34,0.52,3.38,20,10.1016/j.jcis.2004.01.020,,O=C1[C@@H]([C@H]([C@H](O1)CSCCCCCC)O)O
image,10,8,0.53,25.7,4.72,35.22,0.6,4.37,20,10.1016/j.jcis.2004.01.020,,O=C1[C@@H]([C@H]([C@H](O1)CSCCCCCCCC)O)O
image,11,10,0.023,29.5,4.95,33.56,0.63,5.4,20,10.1016/j.jcis.2004.01.020,,O=C1[C@@H]([C@H]([C@H](O1)CSCCCCCCCCCC)O)O
image,12,12,,31.0,,,,,20,10.1016/j.jcis.2004.01.020,,O=C1[C@@H]([C@H]([C@H](O1)CSCCCCCCCCCCCC)O)O
image,13,6,10.2,27.2,2.52,65.88,0.32,3.7,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@H](O)[C@H](O)CSCCCCCC
image,14,8,0.38,34.8,3.75,44.29,0.47,5.6,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@H](O)[C@H](O)CSCCCCCCCC
image,15,10,,36.8,,,,,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@H](O)[C@H](O)CSCCCCCCCCCC
image,16,12,,,,,,,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@H](O)[C@H](O)CSCCCCCCCCCCCC
image,17,6,18.0,30.0,2.51,66.23,0.32,3.25,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@@H](O)[C@@H](O)CSCCCCCC
image,18,8,1.8,29.3,3.94,42.13,0.5,5.15,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@@H](O)[C@@H](O)CSCCCCCCCC
image,19,10,,33.5,,,,,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@@H](O)[C@@H](O)CSCCCCCCCCCC
image,20,12,,,,,,,20,10.1016/j.jcis.2004.01.020,,OC[C@H](O)[C@@H](O)[C@@H](O)CSCCCCCCCCCCCC
image,21,6,11.6,28.2,2.33,71.33,0.29,3.66,20,10.1016/j.jcis.2004.01.020,,OC[C@@H]([C@H]([C@H](O)CSCCCCCC)O)O
image,22,8,1.21,33.0,3.59,46.31,0.45,5.4,20,10.1016/j.jcis.2004.01.020,,OC[C@@H]([C@H]([C@H](O)CSCCCCCCCC)O)O
image,23,10,0.4,28.2,3.63,45.73,0.46,5.4,20,10.1016/j.jcis.2004.01.020,,OC[C@@H]([C@H]([C@H](O)CSCCCCCCCCCC)O)O
image,24,12,,,,,,,20,10.1016/j.jcis.2004.01.020,,OC[C@@H]([C@H]([C@H](O)CSCCCCCCCCCCCC)O)O
