No.,identifier,SMILES
1,C8H17CO2-,
2,C10H21CO2-,
3,C12H25CO2-,
4,C14H29CO2-,
5,C16H33CO2-,
6,C8H17SO3-,
7,C10H21SO3-,
8,C12H25SO3-,
9,C13H27SO3-,
10,C14H29SO3-,
11,C15H31SO3-,
12,C16H33SO3-,
13,C17H35SO3-,
14,C12H24SO3-,
15,C14H28SO3-,
16,C16H30SO3-,
17,C18H36SO3-,
18,C8H17OOC(CH2)2SO3-,
19,C10H21OOC(CH2)2SO3-,
20,C12H25OOC(CH2)2SO3-,
21,C14H29OOC(CH2)2SO3-,
22,C10H21CH(CH3)SO3-,
23,C9H19CH(C2H5)SO3-,
24,C8H17CH(C3H7)SO3-,
25,C7H15CH(C4H9)SO3-,
26,C6H13CH(C5H11)SO3-,
27,C7H15CH(C7H15)SO3-,
28,C8H17SO4-,
29,C10H21SO4-,
30,C11H23SO4-,
31,C12H25SO4-,
32,C13H27SO4-,
33,C14H29SO4-,
34,C15H31SO4-,
35,C16H33SO4-,
36,C18H35SO4-,
37,C7H15CH(C7H15)CH2SO4-,
38,C8H17CH(C6H13)CH2SO4-,
39,C9H19CH(C5H11)CH2SO4-,
40,C10H21CH(C4H9)CH2SO4-,
41,C11H23CH(C3H7)CH2SO4-,
42,C12H25CH(C2H5)CH2SO4-,
43,C13H27CH(CH3)CH2SO4-,
44,C6H13CH(CH3)SO4-,
45,C8H17CH(CH3)SO4-,
46,C8H17CH(C2H5)SO4-,
47,C5H11CH(C5H11)SO4-,
48,C11H23CH(CH3)SO4-,
49,C6H11CH(C6H11)SO4-,
50,C12H25CH(CH3)SO4-,
51,C11H23CH(C2H5)SO4-,
52,C10H21CH(C3H7)SO4-,
53,C9H19CH(C4H9)SO4-,
54,C7H15CH(C6H13)SO4-,
55,C13H27CH(CH3)SO4-,
56,C12H25CH(C2H5)SO4-,
57,C10H21CH(C4H9)SO4-,
58,C7H15CH(C7H15)SO4-,
59,C12H25CH(C3H7)SO4-,
60,C10H21CH(C5H11)SO4-,
61,C8H17CH(C7H15)SO4-,
62,C15H31CH(CH3)SO4-,
63,C8H17CH(C8H17)SO4-,
64,C16H33CH(CH3)SO4-,
65,C14H29CH(C3H7)SO4-,
66,C12H25CH(C5H11)SO4-,
67,C17H35CH(CH3)SO4-,
68,C9H19CH(C9H19)SO4-,
69,n-C7H15C6H4SO3-,
70,n-C8H17C6H4SO3-,
71,n-C10H21C6H4SO3-,
72,n-C12H25C6H4SO3-,
73,CH3CH(C8H17)C6H4SO3-,
74,C2H5CH(C7H15)C6H4SO3-,
75,C3H7CH(C6H13)C6H4SO3-,
76,C4H9CH(C5H11)C6H4SO3-,
77,CH3CH(C9H19)C6H4SO3-,
78,C2H5CH(C8H17)C6H4SO3-,
79,C3H7CH(C7H15)C6H4SO3-,
80,C4H9CH(C6H13)C6H4SO3-,
81,C5H11CH(C5H11)C6H4SO3-,
82,CH3CH(C10H21)C6H4SO3-,
83,C2H5CH(C9H19)C6H4SO3-,
84,C3H7CH(C8H17)C6H4SO3-,
85,C4H9CH(C7H15)C6H4SO3-,
86,C5H11CH(C6H13)C6H4SO3-,
87,CH3CH(C11H23)C6H4SO3-,
88,C2H5CH(C10H21)C6H4SO3-,CCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
89,C3H7CH(C9H19)C6H4SO3-,CCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
90,C4H9CH(C8H17)C6H4SO3-,CCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
91,C5H11CH(C7H15)C6H4SO3-,CCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
92,C6H13CH(C6H13)C6H4SO3-,CCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
93,CH3CH(C12H25)C6H4SO3-,CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
94,C2H5CH(C11H23)C6H4SO3-,CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
95,C3H7CH(C10H21)C6H4SO3-,CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
96,C4H9CH(C9H19)C6H4SO3-,CCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
97,C5H11CH(C8H17)C6H4SO3-,CCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
98,C6H13CH(C7H15)C6H4SO3-,CCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
