IUPAC_name,SMILES,InChI,InChIKey,Molecular_Weight,CMC,log(CMC),pCMC,Temp_Celsius,Surfactant_Type,Ref_CMC,SubRef_CMC,Structure,TableNr
sodium-4-tetradecan-3-ylbenzenesulfonate,CCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C20H34O3S.Na/c1-3-5-6-7-8-9-10-11-12-13-18(4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",OEVUVKJGDDERDZ-UHFFFAOYSA-M,376.538,0.001,-3,3,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C2H5CH(C10H21)C6H4SO3−,88
sodium-4-tetradecan-4-ylbenzenesulfonate,CCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C20H34O3S.Na/c1-3-5-6-7-8-9-10-11-13-18(12-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",QFVKESMXRQJDLY-UHFFFAOYSA-M,376.538,0.001259,-2.89997427,2.89997427,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C3H7CH(C9H19)C6H4SO3−,89
sodium-4-tetradecan-5-ylbenzenesulfonate,CCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C20H34O3S.Na/c1-3-5-7-8-9-10-11-13-18(12-6-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",HKNHOXMZULQSDS-UHFFFAOYSA-M,376.538,0.00166,-2.779891912,2.779891912,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C4H9CH(C8H17)C6H4SO3−,90
sodium-4-tetradecan-6-ylbenzenesulfonate,CCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C20H34O3S.Na/c1-3-5-7-8-9-11-13-18(12-10-6-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",IKKGZRJVRRZHPJ-UHFFFAOYSA-M,376.538,0.001995,-2.7000571,2.7000571,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C5H11CH(C7H15)C6H4SO3−,91
sodium-4-tetradecan-7-ylbenzenesulfonate,CCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C20H34O3S.Na/c1-3-5-7-9-11-13-18(12-10-8-6-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",FGDRGHMPAMKHFT-UHFFFAOYSA-M,376.538,0.002512,-2.599980365,2.599980365,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C6H13CH(C6H13)C6H4SO3−,92
sodium-4-pentadecan-2-ylbenzenesulfonate,CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],,,390.565,,-3.39,3.39,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,CH3CH(C12H25)C6H4SO3−,93
sodium-4-pentadecan-3-ylbenzenesulfonate,CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C21H36O3S.Na/c1-3-5-6-7-8-9-10-11-12-13-14-19(4-2)20-15-17-21(18-16-20)25(22,23)24;/h15-19H,3-14H2,1-2H3,(H,22,23,24);/q;+1/p-1",QGSTZEUGTITINC-UHFFFAOYSA-M,390.565,0.0005248,-3.280006174,3.280006174,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C2H5CH(C11H23)C6H4SO3−,94
sodium-4-pentadecan-4-ylbenzenesulfonate,CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C21H36O3S.Na/c1-3-5-6-7-8-9-10-11-12-14-19(13-4-2)20-15-17-21(18-16-20)25(22,23)24;/h15-19H,3-14H2,1-2H3,(H,22,23,24);/q;+1/p-1",VFNHACRMCDBSTR-UHFFFAOYSA-M,390.565,0.0007079,-3.150028088,3.150028088,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C3H7CH(C10H21)C6H4SO3−,95
sodium-4-pentadecan-5-ylbenzenesulfonate,CCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C21H36O3S.Na/c1-3-5-7-8-9-10-11-12-14-19(13-6-4-2)20-15-17-21(18-16-20)25(22,23)24;/h15-19H,3-14H2,1-2H3,(H,22,23,24);/q;+1/p-1",FMUORGXCFVRCBO-UHFFFAOYSA-M,390.565,0.000912,-3.040005162,3.040005162,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C4H9CH(C9H19)C6H4SO3−,96
sodium-4-pentadecan-6-ylbenzenesulfonate,CCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],"InChI=1S/C21H36O3S.Na/c1-3-5-7-8-9-10-12-14-19(13-11-6-4-2)20-15-17-21(18-16-20)25(22,23)24;/h15-19H,3-14H2,1-2H3,(H,22,23,24);/q;+1/p-1",PVPXMHJRFLJKQW-UHFFFAOYSA-M,390.565,0.001259,-2.89997427,2.89997427,25,anionic,10.1021/ci600462d,10.1016/j.theochem.2004.08.039,C5H11CH(C8H17)C6H4SO3−,97
