No.,Structures (hydrophobic-hydrophilic segments),NT,m (D),QC-max (a.u.),Log10 cmc (exp),ref_no,Log10 cmc (cal),Cv-residuals,Counterion,Temp_Celsius
1,C8H17CO2-,28,21.4858,0.9763,-0.333,23,-0.384,-0.058,[K+],40
2,C10H21CO2-,34,27.3208,0.9763,-0.936,23,-0.990,-0.059,[K+],40
3,C12H25CO2-,40,33.2424,0.9763,-1.538,23,-1.600,-0.066,[K+],40
4,C14H29CO2-,46,39.2189,0.9763,-2.137,23,-2.211,-0.079,[K+],40
5,C16H33CO2-,52,45.2325,0.9763,-2.745,23,-2.823,-0.085,[K+],40
6,C8H17SO3-,29,19.5324,-0.4163,-0.790,24,-0.921,-0.143,[Na+],40
7,C10H21SO3-,35,24.9856,-0.4163,-1.400,24,-1.515,-0.121,[Na+],40
8,C12H25SO3-,41,30.6056,-0.4162,-1.943,25,-2.115,-0.178,[Na+],40
9,C13H27SO3-,44,33.4686,-0.4162,-2.421,17,-2.416,0.007,[Na+],40
10,C14H29SO3-,47,36.3402,-0.4162,-2.602,24,-2.718,-0.120,[Na+],40
11,C15H31SO3-,50,39.2442,-0.4162,-3.139,17,-3.021,0.127,[Na+],40
12,C16H33SO3-,53,42.1539,-0.4162,-3.237,24,-3.324,-0.091,[Na+],40
13,C17H35SO3-,56,45.0875,-0.4162,-3.635,17,-3.628,0.010,[Na+],40
14,C12H24SO3-,39,30.1890,-0.2297,-1.886,17,-1.891,-0.003,[Na+],40
15,C14H28SO3-,45,35.8554,-0.2298,-2.569,17,-2.492,0.082,[Na+],40
16,C16H30SO3-,51,41.6119,-0.2298,-3.215,17,-3.096,0.127,[Na+],40
17,C18H36SO3-,57,47.4354,-0.2298,-3.745,17,-3.703,0.049,[Na+],40
18,C8H17OOC(CH2)2SO3-,38,29.2091,1.0008,-1.312,26,-1.321,-0.008,[Na+],40
19,C10H21OOC(CH2)2SO3-,44,34.6202,1.0008,-1.883,26,-1.914,0.056,[Na+],40
20,C12H25OOC(CH2)2SO3-,50,40.1611,1.0008,-2.523,26,-2.511,0.016,[Na+],40
21,C14H29OOC(CH2)2SO3-,56,45.8012,1.0008,-3.046,26,-3.111,0.071,[Na+],40
22,C10H21CH(CH3)SO3-,41,26.0929,-0.4151,-1.827,17,-1.969,-0.146,[Na+],40
23,C9H19CH(C2H5)SO3-,41,22.0856,-0.4155,-1.730,17,-1.839,-0.112,[Na+],40
24,C8H17CH(C3H7)SO3-,41,16.2136,-0.4157,-1.635,17,-1.650,-0.014,[Na+],40
25,C7H15CH(C4H9)SO3-,41,16.1841,-0.4155,-1.548,17,-1.649,-0.105,[Na+],40
26,C6H13CH(C5H11)SO3-,41,13.7099,-0.4165,-1.442,17,-1.569,-0.134,[Na+],40
27,C7H15CH(C7H15)SO3-,50,16.3601,-0.4155,-2.144,17,-2.282,-0.144,[Na+],40
28,C8H17SO4-,30,21.1392,-0.0310,-0.866,27,-0.896,-0.030,[Na+],40
29,C10H21SO4-,36,26.6603,-0.0310,-1.481,27,-1.492,-0.010,[Na+],40
30,C11H23SO4-,39,29.4749,-0.0310,-1.783,28,-1.792,-0.008,[Na+],40
31,C12H25SO4-,42,32.3218,-0.0310,-2.063,27,-2.093,-0.029,[Na+],40
32,C13H27SO4-,45,35.1906,-0.0311,-2.367,28,-2.395,-0.027,[Na+],40
33,C14H29SO4-,48,38.0817,-0.0310,-2.620,27,-2.697,-0.077,[Na+],40
34,C15H31SO4-,51,40.9895,-0.0310,-2.921,28,-3.000,-0.080,[Na+],40
35,C16H33SO4-,54,43.9135,-0.0310,-3.237,27,-3.304,-0.068,[Na+],40
36,C18H35SO4-,60,49.7967,-0.0310,-3.783,27,-3.912,-0.138,[Na+],40
37,C7H15CH(C7H15)CH2SO4-,54,19.2652,-0.0250,-2.523,27,-2.506,0.021,[Na+],40
38,C8H17CH(C6H13)CH2SO4-,54,19.5053,-0.0250,-2.638,27,-2.513,0.133,[Na+],40
39,C9H19CH(C5H11)CH2SO4-,54,20.6499,-0.0250,-2.697,27,-2.550,0.156,[Na+],40
40,C10H21CH(C4H9)CH2SO4-,54,22.5381,-0.0250,-2.824,27,-2.611,0.223,[Na+],40
41,C11H23CH(C3H7)CH2SO4-,54,25.0456,-0.0250,-2.959,27,-2.693,0.276,[Na+],40
42,C12H25CH(C2H5)CH2SO4-,54,34.7850,-0.0290,-3.046,27,-3.008,0.041,[Na+],40
43,C13H27CH(CH3)CH2SO4-,54,36.7175,-0.0262,-3.097,27,-3.070,0.030,[Na+],40
44,C6H13CH(CH3)SO4-,30,16.4383,0.1527,-0.745,27,-0.674,0.078,[Na+],40
45,C8H17CH(CH3)SO4-,36,21.1823,0.1527,-1.305,27,-1.245,0.064,[Na+],40
46,C8H17CH(C2H5)SO4-,39,21.3857,0.1529,-1.539,27,-1.461,0.083,[Na+],40
47,C5H11CH(C5H11)SO4-,39,15.8461,0.1563,-1.081,27,-1.281,-0.207,[Na+],40
48,C11H23CH(CH3)SO4-,45,28.8681,0.1527,-2.187,27,-2.121,0.069,[Na+],40
49,C6H11CH(C6H11)SO4-,45,17.9801,0.1563,-1.714,27,-1.768,-0.054,[Na+],40
50,C12H25CH(CH3)SO4-,48,31.5456,0.1527,-2.481,27,-2.416,0.068,[Na+],40
51,C11H23CH(C2H5)SO4-,48,28.8776,0.1529,-2.367,27,-2.330,0.040,[Na+],40
52,C10H21CH(C3H7)SO4-,48,22.5287,0.1555,-2.288,27,-2.124,0.170,[Na+],40
53,C9H19CH(C4H9)SO4-,48,22.9834,0.1563,-2.171,27,-2.138,0.036,[Na+],40
54,C7H15CH(C6H13)SO4-,48,19.4067,0.1563,-2.013,27,-2.023,-0.008,[Na+],40
55,C13H27CH(CH3)SO4-,51,34.2522,0.1527,-2.767,27,-2.713,0.057,[Na+],40
56,C12H25CH(C2H5)SO4-,51,31.4988,0.1529,-2.658,27,-2.624,0.037,[Na+],40
57,C10H21CH(C4H9)SO4-,51,25.2457,0.1563,-2.469,27,-2.421,0.052,[Na+],40
58,C7H15CH(C7H15)SO4-,51,20.0506,0.1562,-2.177,27,-2.253,-0.077,[Na+],40
59,C12H25CH(C3H7)SO4-,54,27.0319,0.1555,-2.764,27,-2.688,0.081,[Na+],40
60,C10H21CH(C5H11)SO4-,54,22.4349,0.1562,-2.629,27,-2.539,0.096,[Na+],40
61,C8H17CH(C7H15)SO4-,54,21.5057,0.1562,-2.372,27,-2.509,-0.141,[Na+],40
62,C15H31CH(CH3)SO4-,57,39.7718,0.1527,-3.310,27,-3.309,0.003,[Na+],40
63,C8H17CH(C8H17)SO4-,57,22.1725,0.1562,-2.629,27,-2.740,-0.114,[Na+],40
64,C16H33CH(CH3)SO4-,60,42.5772,0.1527,-3.585,27,-3.609,-0.022,[Na+],40
65,C14H29CH(C3H7)SO4-,60,31.8520,0.1555,-3.347,27,-3.262,0.092,[Na+],40
66,C12H25CH(C5H11)SO4-,60,26.2992,0.1562,-3.143,27,-3.082,0.067,[Na+],40
67,C17H35CH(CH3)SO4-,63,34.9976,0.1563,-3.481,27,-3.572,-0.093,[Na+],40
68,C9H19CH(C9H19)SO4-,63,24.2492,0.1562,-3.027,27,-3.225,-0.212,[Na+],40
69,n-C7H15C6H4SO3-,36,23.9698,-0.0484,-1.582,17,-1.412,0.179,[Na+],40
70,n-C8H17C6H4SO3-,39,26.3941,-0.0484,-1.907,29,-1.699,0.215,[Na+],40
71,n-C10H21C6H4SO3-,45,31.4724,-0.0484,-2.509,29,-2.282,0.233,[Na+],40
72,n-C12H25C6H4SO3-,51,36.7300,-0.0484,-2.921,29,-2.870,0.055,[Na+],40
73,CH3CH(C8H17)C6H4SO3-,45,28.6609,-0.0472,-2.270,22,-2.190,0.083,[Na+],40
74,C2H5CH(C7H15)C6H4SO3-,45,26.5671,-0.0415,-2.230,22,-2.120,0.113,[Na+],40
75,C3H7CH(C6H13)C6H4SO3-,45,25.0362,-0.0411,-2.180,22,-2.071,0.113,[Na+],40
76,C4H9CH(C5H11)C6H4SO3-,45,24.5133,-0.0411,-2.090,22,-2.054,0.039,[Na+],40
77,CH3CH(C9H19)C6H4SO3-,48,31.0182,-0.0472,-2.550,22,-2.475,0.078,[Na+],40
78,C2H5CH(C8H17)C6H4SO3-,48,28.3107,-0.0418,-2.500,22,-2.386,0.118,[Na+],40
79,C3H7CH(C7H15)C6H4SO3-,48,26.8046,-0.0411,-2.400,22,-2.337,0.066,[Na+],40
80,C4H9CH(C6H13)C6H4SO3-,48,26.1714,-0.0411,-2.300,22,-2.317,-0.015,[Na+],40
81,C5H11CH(C5H11)C6H4SO3-,48,25.7591,-0.0411,-2.250,22,-2.303,-0.052,[Na+],40
82,CH3CH(C10H21)C6H4SO3-,51,33.4718,-0.0472,-2.830,22,-2.764,0.069,[Na+],40
83,C2H5CH(C9H19)C6H4SO3-,51,30.8878,-0.0415,-2.780,22,-2.678,0.105,[Na+],40
84,C3H7CH(C8H17)C6H4SO3-,51,29.1005,-0.0411,-2.650,22,-2.620,0.032,[Na+],40
