number,reference,ref_key
1,"A.R. Katritzky, V.S. Lobanov, M. Karelson, Chem. Soc. Rev. 1995;  279.",katritzky1995
2,"A.R. Katritzky, U. Maran, V.S. Lobanov, M. Karelson, J. Chem. Inf.  Comput. Sci. 40 (2000) 1.",katritzky2000
3,"A.R. Katritzky, R. Petrukhin, D. Tatham, S. Basak, E. Benfenati,  M. Karelson, U. Maran, J. Chem. Inf. Comput. Sci. 41 (2001) 679.",katritzky2001
4,"D.C. Young, Computational Chemistry: A Practical Guide for  Applying Techniques to Real-World Problems, Wiley, New York, 2001, p. 243.",young2001
5,"M. Karelson, V.S. Lobanov, A.R. Katritzky, Chem. Rev. 96 (1996)  1027.",karelson1996
6,"K. Shinoda, J. Phys. Chem. 59 (1955) 432.",shinoda1955
7,"M.J. Schick, S.M. Atlas, F.R. Eirich, J. Phys. Chem. 66 (1962)  1326.",schick1962
8,"M.J. Rosen, J. Colloid Interface Sci. 56 (1976) 320.",rosen1976
9,"K. Meguro, Y. Takasawa, N. Kawahashi, Y. Tabata, M. Ueno,  J. Colloid Interface Sci. 83 (1981) 50.",meguro1981
10,"H.B. Klevens, J. Am. Oil. Chem. Soc. 30 (1953) 74.",klevens1953
11,"K. Shinoda, T. Nakagawa, B. Tamamushi, T. Isemura, Colloidal  Surfactants, Academic, New York, 1963. p. 1.",shinoda1963
12,"D. Myers, Surfactant Science and Technology, second ed, VCH, New  York, 1992. p. 81.",myers1992
13,"M. Kuanar, S.K. Kuanar, B.K. Mishra, Indian J. Chem. A 38 (1999)  113.",kuanar1999
14,"Z. Wang, G. Li, X. Zhang, R. Wang, A. Lou, Colloids Surf. A 197  (2002) 37.",wang2002
15,"S.L. Yuan, Z.T. Cai, G.Y. Xu, Y.S. Jiang, Colloid Polym. Sci. 280  (2002) 630.",yuan2002
16,"P.D.T. Huibers, V.S. Lobanov, A.R. Katritzky, D.O. Shah,  M.K. Karelson, Langmuir 12 (1996) 1462.",huibers1996
17,"P.D.T. Huibers, V.S. Lobanov, A.R. Katritzky, D.O. Shah,  M.K. Karelson, J. Colloid Interface Sci. 187 (1997) 113.",huibers1997
18,"S.L. Yuan, Z.T. Cai, G.Y. Xu, Y.S. Jiang, J. Dispersion Sci. Technol.  23 (2002) 465.",yuan2002
19,"M. Jalali-Heravi, E. Konouz, J. Surfact. Deterg. 3 (2000) 47.",jalali-heravi2000
20,"M. Jalali-Heravi, E. Konouz, J. Surfact. Deterg. 6 (2003) 25.",jalali-heravi2003
21,"N. Anoune, M. Nouiri, Y. Berrah, J.Y. Gauvrit, P. Lanteri, J. Surfact.  Deterg. 5 (2002) 45.",anoune2002
22,"D.W. Robert, Langmuir 18 (2002) 345.",roberts2002
23,"H.B. Klevens, J. Phys. Colloid. Chem. 52 (1948) 130.",klevens1948
24,"M. Dahanayake, A.W. Cohen, M.J. Rosen, J. Phys. Chem. 90 (1986)  2413.",dahanayake1986
25,"S.L. Kuang, Chemical Engineering Technology, Chemical Industry  press, Beijing, 2002. p. 1325.",kuang2002
26,"T. Hikota, K. Morohara, K. Meguro, Bull. Chem. Soc. Jpn. 43 (1970)  3913.",hikota1970
