Surfactants,CMC (mM),ΔHmic (kJ/mol),Temp_Celsius,source_doi,reference_doi,SMILES
C4FC11-6-C11C4F,0.072,−14.65,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-]
C4FC11-12-C11C4F,0.049,−11.47,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-]
C5FC10-6-C10C5F,0.06,−20.25,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-]
C5FC10-12-C10C5F,0.054,−18.05,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-]
C6FC8-6-C8C6F,0.049,−12.07,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-]
C8FC6-6-C6C8F,0.023,−24.56,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-].[Br-]
C4FC11TAB,1.58,−2.70,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC[N+](C)(C)C.[Br-]
C5FC10TAB,1.43,−4.01,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCC[N+](C)(C)C.[Br-]
C6FC8TAB,1.04,−3.39,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCC[N+](C)(C)C.[Br-]
C8FC6TAB,0.42,−12.84,25.0,10.1016/j.jcis.2005.01.108,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCC[N+](C)(C)C.[Br-]
