identifier,AW_ST_CMC,Area_min,pC20,Temp_Celsius,source_doi,reference_doi,method,SMILES,InChI,Molecular_Weight,Gamma_max,CMC,pCMC,C20
8-EO1-8,55.2,2.07,,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCC.[Br-].[Br-],"InChI=1S/C28H62N2O4.2BrH/c1-7-9-11-13-15-17-19-29(3,4)23-27(31)25-33-21-22-34-26-28(32)24-30(5,6)20-18-16-14-12-10-8-2;;/h27-28,31-32H,7-26H2,1-6H3;2*1H/q+2;;/p-2",650.6220000000005,8.02e-07,0.00102,2.9913998282380825,
10-EO1-10,32.55,1.33,3.863,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],"InChI=1S/C32H70N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-33(3,4)27-31(35)29-37-25-26-38-30-32(36)28-34(5,6)24-22-20-18-16-14-12-10-8-2;;/h31-32,35-36H,7-30H2,1-6H3;2*1H/q+2;;/p-2",706.7300000000006,1.466e-06,0.000859,3.0660068361687576,0.00013708817661648538
12-EO1-12,30.57,0.554,3.64,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"InChI=1S/C36H78N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-37(3,4)31-35(39)33-41-29-30-42-34-36(40)32-38(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h35-36,39-40H,7-34H2,1-6H3;2*1H/q+2;;/p-2",762.8380000000003,3e-06,0.0007109999999999999,3.148130399270234,0.00022908676527677723
14-EO1-14,34.5,1.75,4.727,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],"InChI=1S/C40H86N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-41(3,4)35-39(43)37-45-33-34-46-38-40(44)36-42(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h39-40,43-44H,7-38H2,1-6H3;2*1H/q+2;;/p-2",818.9459999999999,9.47e-07,0.000243,3.614393726401688,1.8749945080674174e-05
16-EO1-16,37.0,1.264,4.14,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"InChI=1S/C44H94N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-45(3,4)39-43(47)41-49-37-38-50-42-44(48)40-46(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h43-44,47-48H,7-42H2,1-6H3;2*1H/q+2;;/p-2",875.0539999999996,1.314e-06,0.000631,3.1999706407558657,7.244359600749906e-05
8-EO2-8,49.08,3.2,3.417,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(O)C[N+](C)(C)CCCCCCCC.[Br-].[Br-],"InChI=1S/C30H66N2O5.2BrH/c1-7-9-11-13-15-17-19-31(3,4)25-29(33)27-36-23-21-35-22-24-37-28-30(34)26-32(5,6)20-18-16-14-12-10-8-2;;/h29-30,33-34H,7-28H2,1-6H3;2*1H/q+2;;/p-2",694.6750000000006,5.19e-07,0.001822,2.7394516273630205,0.00038282474331682284
10-EO2-10,46.96,3.98,3.222,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],"InChI=1S/C34H74N2O5.2BrH/c1-7-9-11-13-15-17-19-21-23-35(3,4)29-33(37)31-40-27-25-39-26-28-41-32-34(38)30-36(5,6)24-22-20-18-16-14-12-10-8-2;;/h33-34,37-38H,7-32H2,1-6H3;2*1H/q+2;;/p-2",750.7830000000004,4.17e-07,0.0017,2.769551078621726,0.0005997910762555094
12-EO2-12,28.54,1.57,4.124,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"InChI=1S/C38H82N2O5.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-39(3,4)33-37(41)35-44-31-29-43-30-32-45-36-38(42)34-40(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h37-38,41-42H,7-36H2,1-6H3;2*1H/q+2;;/p-2",806.8910000000001,1.06e-06,0.001239,2.9069286936239367,7.51622894018206e-05
14-EO2-14,34.81,2.04,4.63,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],"InChI=1S/C42H90N2O5.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-43(3,4)37-41(45)39-48-35-33-47-34-36-49-40-42(46)38-44(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h41-42,45-46H,7-40H2,1-6H3;2*1H/q+2;;/p-2",862.9989999999997,8.13e-07,0.000333,3.4775557664936803,2.344228815319923e-05
16-EO2-16,36.51,2.116,4.71,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],"InChI=1S/C46H98N2O5.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-47(3,4)41-45(49)43-52-39-37-51-38-40-53-44-46(50)42-48(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h45-46,49-50H,7-44H2,1-6H3;2*1H/q+2;;/p-2",919.1069999999993,7.85e-07,0.000389,3.4100503986742923,1.9498445997580456e-05
