Surfactant,CMC (mmol dm−3),γcmc(mN m−1),Γcmc (μmol m−2),Acmc (mol m−2),G0ads (kJ mol−1),G0mic (kJ mol−1),pC20,CMC/pC20,Temp_Celsius,source_doi,reference_doi,method
8-EO1-8,1.02,55.2,0.802,2.07,-47.5,-26.6,,,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
10-EO1-10,0.859,32.55,1.466,1.33,-53.9,-27.0,3.863,0.222,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
12-EO1-12,0.711,30.57,3.0,0.554,-37.1,-27.5,3.64,0.21,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
14-EO1-14,0.243,34.5,0.947,1.75,-69.6,-30.0,4.727,0.0514,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
16-EO1-16,0.631,37.0,1.314,1.264,-55.0,-27.7,4.14,0.152,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
8-EO2-8,1.822,49.08,0.519,3.2,-80.7,-25.2,3.417,0.533,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
10-EO2-10,1.7,46.96,0.417,3.98,-85.3,-25.3,3.222,0.527,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
12-EO2-12,1.239,28.54,1.06,1.57,-67.1,-26.1,4.124,0.3,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
14-EO2-14,0.333,34.81,0.813,2.04,-75.0,-29.3,4.63,0.072,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
16-EO2-16,0.389,36.51,0.785,2.116,-75.1,-28.9,4.71,0.083,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
8-EO3-8,0.701,52.22,0.519,3.2,-83.0,-27.5,,,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
10-EO3-10,0.649,48.28,0.827,2.01,-62.5,-27.7,3.539,0.183,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
12-EO3-12,0.607,33.78,1.4,1.19,-55.1,-27.8,4.0,0.152,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
14-EO3-14,0.502,33.61,1.04,1.6,-65.2,-28.3,4.389,0.114,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
16-EO3-16,0.398,43.92,0.925,1.796,-60.0,-28.9,5.91,0.067,20.0,10.1016/j.colsurfa.2011.12.014,,tensiometry
