identifier,cmc (mM),cmc err (mM),method,γmc (mN m−1),Γ∞ (10−6 mol m−2),Amin (nm2),α,α err,source_doi,reference_doi,SMILES,Temp_Celsius
12G,0.79,0.02,tensiometry,33.4,1.478,1.124,,,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25
14G,0.24,0.02,tensiometry,31.3,1.402,1.185,,,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],25
16G,0.031,0.015,tensiometry,32.5,1.588,1.046,,,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],25
12D,4.13,0.1,tensiometry,43.1,2.338,0.715,,,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-],25
14D,1.26,0.1,tensiometry,42.8,2.308,0.719,,,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],25
16D,0.84,0.1,tensiometry,43.2,2.312,0.718,,,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],25
12-3-12,0.91,,tensiometry,35,1.58,1.05,,,10.1016/j.colsurfa.2013.12.079,10.1021/la00028a011,C[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],25
14-3-14,,,tensiometry,,,,,,10.1016/j.colsurfa.2013.12.079,,C[N+](C)(CCCCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],25
16-3-16,0.0255,,tensiometry,,,,,,10.1016/j.colsurfa.2013.12.079,10.1021/la00054a008,C[N+](C)(CCCCCCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],25
12G,0.8,0.02,conductometry,,,,0.25,0.01,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25
14G,0.25,0.02,conductometry,,,,0.27,0.01,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],25
16G,0.036,0.015,conductometry,,,,0.32,0.02,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],25
12D,4.35,0.1,conductometry,,,,0.17,0.02,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-],25
14D,1.36,0.1,conductometry,,,,0.19,0.02,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],25
16D,0.9,0.1,conductometry,,,,0.21,0.02,10.1016/j.colsurfa.2013.12.079,,C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],25
12-3-12,0.96,,conductometry,,,,0.22,,10.1016/j.colsurfa.2013.12.079,10.1021/la00028a011,C[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],25
14-3-14,0.38,,conductometry,,,,,,10.1016/j.colsurfa.2013.12.079,,C[N+](C)(CCCCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],25
16-3-16,,,conductometry,,,,,0.32,10.1016/j.colsurfa.2013.12.079,10.1021/la00054a008,C[N+](C)(CCCCCCCCCCCCCCCC)CCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],25
