No.,Surfactant,Name,Supplier,CMC [mg/L],Surface tension σ at the cmc [mN/m] (at 0.01 g/L) = AW_ST_CMC,HLB,Head group area ah [A^2] = Amin,SMILES,notes
1,C13EO4,Marlipal 013/40,Sasol Germany,26,35.5,9.4,,CCCCCCCCCCCCCOCCOCCOCCOCCO,
2,C13EO5,Marlipal 013/50,Sasol Germany,32,37.5,10.5,,CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,
3,C13EO6,Marlipal 013/60,Sasol Germany,37,38.5,11.4,,CCCCCCCCCCCCCOCCOOCCOCCOCCOCCOCCO,
4,C13EO7,Marlipal 013/70,Sasol Germany,41,39,12.1,,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,
5,C13EO8,Marlipal 013/80,Sasol Germany,47,40.5,12.8,,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,
6,C13EO10,Marlipal O13/100,Sasol Germany,74,43.5,13.7,,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,
7,C12EO3CH2COOH,Akypo RLM 25,Kao Chemicals,19.4,-,-,,CCCCCCCCCCCCOCCOCCOCCOCC(=O)O,
8,"C12EO4,5CH2COOH",Akypo RLM 45 CA,Kao Chemicals,11.6,-,-,,CCCCCCCCCCCCOCCOCCOCCOCCOCC(=O)O.CCCCCCCCCCCCOCCOCCOCCOCCOCCOCC(=O)O,
9,C12EO10CH2COOH,Akypo RLM 100,Kao Chemicals,-,-,-,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)O,
10,C18EO9CH2COOH,Akypo RO 90 VG,Kao Chemicals,14,-,-,,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)O,
11,C12(CO2)1.3EO11.4OH,,Covestro,73,36.4,,66.7,not digitised,Mixture
12,C12(CO2)1.5EO11.5OH,,Covestro,70,36.1,,65.3,not digitised,Mixture
13,C12(CO2)0.6EO13.3OH,,Covestro,93,35.6,,69.4,not digitised,Mixture
14,C12(CO2)3.1EO8.2OH,,Covestro,36,38.2,,54.9,not digitised,Mixture
15,C12(CO2)0EO14OH,,Covestro,140,40.3,,107.4,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,
16,C16(CO2)1.2EO5.5OH,,Covestro,9,38.8,,35.2,not digitised,Mixture
17,C16(CO2)1.5EO9.3OH,,Covestro,17,35.4,,29.6,not digitised,Mixture
18,C16(CO2)2.8EO7.8OH,,Covestro,24,36.5,,48.6,not digitised,Mixture
