Temp_Celsius,method,SMILES,InChI,Molecular_Weight,CMC,pCMC,source_doi,reference_doi
25,,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",288.385,0.0081,2.0915149811213505,10.1016/0021-9797(76)90178-8,10.1021/j100622a015
25,,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C14H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-18-13-14-19-20(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",332.438,0.0042,2.3767507096020997,10.1016/0021-9797(76)90178-8,10.1021/j100622a015
25,,CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C16H34O6S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-20-13-14-21-15-16-22-23(17,18)19;/h2-16H2,1H3,(H,17,18,19);/q;+1/p-1",376.49100000000004,0.0031,2.5086383061657274,10.1016/0021-9797(76)90178-8,10.1021/j100622a015
25,,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C18H38O7S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-22-13-14-23-15-16-24-17-18-25-26(19,20)21;/h2-18H2,1H3,(H,19,20,21);/q;+1/p-1",420.54400000000015,0.0028,2.5528419686577806,10.1016/0021-9797(76)90178-8,10.1021/j100850a024
25,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C22H46O9S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-26-13-14-27-15-16-28-17-18-29-19-20-30-21-22-31-32(23,24)25;/h2-22H2,1H3,(H,23,24,25);/q;+1/p-1",508.6500000000004,0.0019,2.721246399047171,10.1016/0021-9797(76)90178-8,10.1021/j100850a024
25,,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C14H30O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-19(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",316.439,0.0021,2.677780705266081,10.1016/0021-9797(76)90178-8,10.1007/BF01500512
25,,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C16H34O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20-21(17,18)19;/h2-16H2,1H3,(H,17,18,19);/q;+1/p-1",344.493,0.0004,3.3979400086720375,10.1016/0021-9797(76)90178-8,10.1021/j150567a014
25,,CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C18H38O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-22-17-18-23-24(19,20)21;/h2-18H2,1H3,(H,19,20,21);/q;+1/p-1",388.54600000000005,0.00022,3.657577319177794,10.1016/0021-9797(76)90178-8,10.1021/j150567a014
25,,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C20H42O6S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-24-17-18-25-19-20-26-27(21,22)23;/h2-20H2,1H3,(H,21,22,23);/q;+1/p-1",432.59900000000016,0.00014,3.853871964321762,10.1016/0021-9797(76)90178-8,10.1021/j150567a014
25,,CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],"InChI=1S/C22H46O7S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-26-17-18-27-19-20-28-21-22-29-30(23,24)25;/h2-22H2,1H3,(H,23,24,25);/q;+1/p-1",476.65200000000027,0.0001,4.0,10.1016/0021-9797(76)90178-8,10.1021/j150567a014
