Surfactant,n,x,CMC (mole X L^-1),Neff,Reference,Surfactant_Type,Temp,Ref_CMC,SubRef_CMC,Notes,HLB,SMILES
CnH2n+1(OCH2CH2)xOSO3Na,12,0,0.0081,12,4,,25,10.1016/0021-9797(76)90178-8,,,40,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,12,1,0.0042,12.9,4,,25,10.1016/0021-9797(76)90178-8,,,39.57,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,12,2,0.0031,13.3,4,,25,10.1016/0021-9797(76)90178-8,,,39.38,CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,12,3,0.0028,13.4,3,,25,10.1016/0021-9797(76)90178-8,,,39.24,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,12,5,0.0019,14,3,,25,10.1016/0021-9797(76)90178-8,,,39.05,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,14,0,0.0021,14,36,,25,10.1016/0021-9797(76)90178-8,,,39.05,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,16,0,0.0004,16,1,,,10.1016/0021-9797(76)90178-8,,,38.1,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,16,1,0.00022,16.9,1,,25,10.1016/0021-9797(76)90178-8,,,37.62,CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,16,2,0.00014,17.6,1,,25,10.1016/0021-9797(76)90178-8,,,37.34,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,16,3,0.0001,18,1,,25,10.1016/0021-9797(76)90178-8,,,37.15,CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,16,4,0.0001,18,1,,25,10.1016/0021-9797(76)90178-8,,,37.15,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,18,0,0.00011,18,2,,,10.1016/0021-9797(76)90178-8,,,37.15,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,18,1,0.00011,18,1,,25,10.1016/0021-9797(76)90178-8,,,37.15,CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,18,2,0.00007,18.5,1,,25,10.1016/0021-9797(76)90178-8,,,36.91,CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,18,3,0.00005,19,1,,25,10.1016/0021-9797(76)90178-8,,,36.63,CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,18,4,0.00004,19.3,1,,25,10.1016/0021-9797(76)90178-8,,,36.53,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,10,0,0.071,10,5,,25,10.1016/0021-9797(76)90178-8,,,,CCCCCCCCCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,10,1,0.0306,11.3,5,,25,10.1016/0021-9797(76)90178-8,,,,CCCCCCCCCCOCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,10,2,0.023,11.7,5,,25,10.1016/0021-9797(76)90178-8,,,,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,12,0,0.0201,12,5,,25,10.1016/0021-9797(76)90178-8,,,,CCCCCCCCCCCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,12,1,0.0071,13.5,5,,25,10.1016/0021-9797(76)90178-8,,,,CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,12,2,0.0052,13.9,5,,25,10.1016/0021-9797(76)90178-8,,,,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-]
