Surfactant,SMILES
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xOSO3Na,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,CCCCCCCCCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,CCCCCCCCCCOCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,CCCCCCCCCCCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xN(CH3)3Cl,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCOCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCOCCOCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCCCOCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCCCOCCOCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCCCCCCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCCCCCCCOCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCCCCCCCOCCOCC[N+]1CCCCC1.[Cl-]
CnH2n+1(OCH2CH2)xNC5H5Cl,CCCCCCCCCCCCCCCCCC[N+]1CCCCC1.[Cl-]
