Surfactant,(n),(x),CMC(moleX1-1),Neff,Reference,Temp_Celsius
CnH2n+1(OCH2CH2)xOSO3Na,12,0,0.0081,12.0,4,25
CnH2n+1(OCH2CH2)xOSO3Na,12,1,0.0042,12.9,4,25
CnH2n+1(OCH2CH2)xOSO3Na,12,2,0.0031,13.3,4,25
CnH2n+1(OCH2CH2)xOSO3Na,12,3,0.0028,13.4,3,25
CnH2n+1(OCH2CH2)xOSO3Na,12,5,0.0019,14.0,3,25
CnH2n+1(OCH2CH2)xOSO3Na,14,0,0.0021,14.0,36,25
CnH2n+1(OCH2CH2)xOSO3Na,16,0,0.0004,16.0,1,25
CnH2n+1(OCH2CH2)xOSO3Na,16,1,0.00022,16.9,1,25
CnH2n+1(OCH2CH2)xOSO3Na,16,2,0.00014,17.6,1,25
CnH2n+1(OCH2CH2)xOSO3Na,16,3,0.00010,18.0,1,25
CnH2n+1(OCH2CH2)xOSO3Na,16,4,0.00010,18.0,1,25
CnH2n+1(OCH2CH2)xOSO3Na,18,0,0.00011,18.0,2,25
CnH2n+1(OCH2CH2)xOSO3Na,18,1,0.00011,18.0,1,25
CnH2n+1(OCH2CH2)xOSO3Na,18,2,0.00007,18.5,1,25
CnH2n+1(OCH2CH2)xOSO3Na,18,3,0.00005,19.0,1,25
CnH2n+1(OCH2CH2)xOSO3Na,18,4,0.00004,19.3,1,25
CnH2n+1(OCH2CH2)xN(CH3)3C1,10,0,0.071,10.0,5,25
CnH2n+1(OCH2CH2)xN(CH3)3C1,10,1,0.0306,11.3,5,25
CnH2n+1(OCH2CH2)xN(CH3)3C1,10,2,0.0230,11.7,5,25
CnH2n+1(OCH2CH2)xN(CH3)3C1,12,0,0.0201,12.0,5,25
CnH2n+1(OCH2CH2)xN(CH3)3C1,12,1,0.0071,13.5,5,25
CnH2n+1(OCH2CH2)xN(CH3)3C1,12,2,0.0052,13.9,5,25
CnH2n+1(OCH2CH2)xN(CH3)3C1,18,0,0.00034,18.0,37,25
CnH2n+I(OCH2CH2)xNC5H5C1,10,0,0.065,10.0,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,10,1,0.0256,11.3,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,10,2,0.0210,11.6,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,12,0,0.0156,12.0,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,12,1,0.0069,13.2,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,12,2,0.0049,13.7,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,16,0,0.0009,16.0,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,16,1,0.00029,17.7,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,16,2,0.00018,18.4,5,25
CnH2n+I(OCH2CH2)xNC5H5C1,18,0,0.00024,18.0,37,25
