identifier,method,AW_ST_CMC,Area_min,source_doi,reference_doi,SMILES,Temp_Celsius,Molecular_Weight,InChI,CMC,pCMC,Gamma_max
T10,tensiometry,37.9,1.61,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1068.0539999999994,"InChI=1S/C48H99N4O6.3BrH/c1-10-13-16-19-22-25-28-31-37-50(4,5)43-46(53)56-40-34-49(35-41-57-47(54)44-51(6,7)38-32-29-26-23-20-17-14-11-2)36-42-58-48(55)45-52(8,9)39-33-30-27-24-21-18-15-12-3;;;/h10-45H2,1-9H3;3*1H/q+3;;;/p-3",0.00173,2.7619538968712045,1.03e-06
T12,tensiometry,41.8,1.55,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1096.1079999999993,"InChI=1S/C50H103N4O6.3BrH/c1-10-13-16-19-22-25-26-29-32-35-41-54(8,9)47-50(57)60-44-38-51(36-42-58-48(55)45-52(4,5)39-33-30-27-23-20-17-14-11-2)37-43-59-49(56)46-53(6,7)40-34-31-28-24-21-18-15-12-3;;;/h10-47H2,1-9H3;3*1H/q+3;;;/p-3",0.000124,3.906578314837765,1.0700000000000001e-06
T14,tensiometry,38.0,1.79,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1124.161999999999,"InChI=1S/C52H107N4O6.3BrH/c1-10-13-16-19-22-25-26-27-28-31-34-37-43-56(8,9)49-52(59)62-46-40-53(38-44-60-50(57)47-54(4,5)41-35-32-29-23-20-17-14-11-2)39-45-61-51(58)48-55(6,7)42-36-33-30-24-21-18-15-12-3;;;/h10-49H2,1-9H3;3*1H/q+3;;;/p-3",5.0799999999999995e-05,4.294136287716081,9.300000000000001e-07
T16,tensiometry,38.5,1.11,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1152.215999999999,"InChI=1S/C54H111N4O6.3BrH/c1-10-13-16-19-22-25-26-27-28-29-30-33-36-39-45-58(8,9)51-54(61)64-48-42-55(40-46-62-52(59)49-56(4,5)43-37-34-31-23-20-17-14-11-2)41-47-63-53(60)50-57(6,7)44-38-35-32-24-21-18-15-12-3;;;/h10-51H2,1-9H3;3*1H/q+3;;;/p-3",6.2e-06,5.2076083105017466,1.5e-06
C10TAB,tensiometry,40.0,0.55,10.1016/j.colsurfa.2014.06.019,10.1016/S0021-9797(03)00694-5,CCCCCCCCCC[N+](C)(C)C.[Br-],25,280.294,"InChI=1S/C13H30N.BrH/c1-5-6-7-8-9-10-11-12-13-14(2,3)4;/h5-13H2,1-4H3;1H/q+1;/p-1",0.067,1.1739251972991736,3.02e-06
C10TAB,tensiometry,40.0,,10.1016/j.colsurfa.2014.06.019,10.1007/BFb0118481,CCCCCCCCCC[N+](C)(C)C.[Br-],25,280.294,"InChI=1S/C13H30N.BrH/c1-5-6-7-8-9-10-11-12-13-14(2,3)4;/h5-13H2,1-4H3;1H/q+1;/p-1",0.067,1.1739251972991736,
C12TAB,tensiometry,,0.49,10.1016/j.colsurfa.2014.06.019,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)C.[Br-],25,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",,,3.42e-06
C14TAB,tensiometry,38.1,0.6,10.1016/j.colsurfa.2014.06.019,10.1021/j100182a066,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],25,336.40199999999993,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1",0.00361,2.4424927980943423,2.7e-06
C16TAB,tensiometry,41.0,0.39,10.1016/j.colsurfa.2014.06.019,10.1007/s11743-013-1477-x,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],25,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",0.001,3.0,4.24e-06
T10,conductometry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1068.0539999999994,"InChI=1S/C48H99N4O6.3BrH/c1-10-13-16-19-22-25-28-31-37-50(4,5)43-46(53)56-40-34-49(35-41-57-47(54)44-51(6,7)38-32-29-26-23-20-17-14-11-2)36-42-58-48(55)45-52(8,9)39-33-30-27-24-21-18-15-12-3;;;/h10-45H2,1-9H3;3*1H/q+3;;;/p-3",0.00196,2.707743928643524,
T12,conductometry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1096.1079999999993,"InChI=1S/C50H103N4O6.3BrH/c1-10-13-16-19-22-25-26-29-32-35-41-54(8,9)47-50(57)60-44-38-51(36-42-58-48(55)45-52(4,5)39-33-30-27-23-20-17-14-11-2)37-43-59-49(56)46-53(6,7)40-34-31-28-24-21-18-15-12-3;;;/h10-47H2,1-9H3;3*1H/q+3;;;/p-3",0.000208,3.6819366650372385,
T14,conductometry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1124.161999999999,"InChI=1S/C52H107N4O6.3BrH/c1-10-13-16-19-22-25-26-27-28-31-34-37-43-56(8,9)49-52(59)62-46-40-53(38-44-60-50(57)47-54(4,5)41-35-32-29-23-20-17-14-11-2)39-45-61-51(58)48-55(6,7)42-36-33-30-24-21-18-15-12-3;;;/h10-49H2,1-9H3;3*1H/q+3;;;/p-3",5.18e-05,4.285670240254767,
T16,conductometry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1152.215999999999,"InChI=1S/C54H111N4O6.3BrH/c1-10-13-16-19-22-25-26-27-28-29-30-33-36-39-45-58(8,9)51-54(61)64-48-42-55(40-46-62-52(59)49-56(4,5)43-37-34-31-23-20-17-14-11-2)41-47-63-53(60)50-57(6,7)44-38-35-32-24-21-18-15-12-3;;;/h10-51H2,1-9H3;3*1H/q+3;;;/p-3",3.88e-05,4.411168274405793,
T10,fluorimetry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1068.0539999999994,"InChI=1S/C48H99N4O6.3BrH/c1-10-13-16-19-22-25-28-31-37-50(4,5)43-46(53)56-40-34-49(35-41-57-47(54)44-51(6,7)38-32-29-26-23-20-17-14-11-2)36-42-58-48(55)45-52(8,9)39-33-30-27-24-21-18-15-12-3;;;/h10-45H2,1-9H3;3*1H/q+3;;;/p-3",0.0020099999999999996,2.6968039425795114,
T12,fluorimetry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1096.1079999999993,"InChI=1S/C50H103N4O6.3BrH/c1-10-13-16-19-22-25-26-29-32-35-41-54(8,9)47-50(57)60-44-38-51(36-42-58-48(55)45-52(4,5)39-33-30-27-23-20-17-14-11-2)37-43-59-49(56)46-53(6,7)40-34-31-28-24-21-18-15-12-3;;;/h10-47H2,1-9H3;3*1H/q+3;;;/p-3",0.000177,3.7520267336381936,
T14,fluorimetry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1124.161999999999,"InChI=1S/C52H107N4O6.3BrH/c1-10-13-16-19-22-25-26-27-28-31-34-37-43-56(8,9)49-52(59)62-46-40-53(38-44-60-50(57)47-54(4,5)41-35-32-29-23-20-17-14-11-2)39-45-61-51(58)48-55(6,7)42-36-33-30-24-21-18-15-12-3;;;/h10-49H2,1-9H3;3*1H/q+3;;;/p-3",4.53e-05,4.343901797987168,
T16,fluorimetry,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25,1152.215999999999,"InChI=1S/C54H111N4O6.3BrH/c1-10-13-16-19-22-25-26-27-28-29-30-33-36-39-45-58(8,9)51-54(61)64-48-42-55(40-46-62-52(59)49-56(4,5)43-37-34-31-23-20-17-14-11-2)41-47-63-53(60)50-57(6,7)44-38-35-32-24-21-18-15-12-3;;;/h10-51H2,1-9H3;3*1H/q+3;;;/p-3",9.100000000000001e-06,5.040958607678906,
