Surfactants,cmc (mM),method,γCMC (mN/m),106Γmax (mol/m2),Amin (nm2/mol),source_doi,reference_doi,SMILES,Temp_Celsius
T10,1.73,tensiometry,37.9,1.03,1.61,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T12,0.124,tensiometry,41.8,1.07,1.55,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T14,0.0508,tensiometry,38,0.93,1.79,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T16,0.0062,tensiometry,38.5,1.5,1.11,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
C10TAB,67,tensiometry,40,3.02,0.55,10.1016/j.colsurfa.2014.06.019,10.1016/S0021-9797(03)00694-5,CCCCCCCCCC[N+](C)(C)C.[Br-],25
C10TAB,67,tensiometry,40,,,10.1016/j.colsurfa.2014.06.019,10.1007/BFb0118481,CCCCCCCCCC[N+](C)(C)C.[Br-],25
C12TAB,,tensiometry,,3.42,0.49,10.1016/j.colsurfa.2014.06.019,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)C.[Br-],25
C14TAB,3.61,tensiometry,38.1,2.7,0.6,10.1016/j.colsurfa.2014.06.019,10.1021/j100182a066,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],25
C16TAB,1,tensiometry,41,4.24,0.39,10.1016/j.colsurfa.2014.06.019,10.1007/s11743-013-1477-x,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],25
T10,1.96,conductometry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T12,0.208,conductometry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T14,0.0518,conductometry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T16,0.0388,conductometry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T10,2.01,fluorimetry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T12,0.177,fluorimetry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T14,0.0453,fluorimetry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
T16,0.0091,fluorimetry,,,,10.1016/j.colsurfa.2014.06.019,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],25
