identifier,CMC,Temp_Celsius,source_doi,reference_doi,SMILES,Molecular_Weight,InChI,pCMC
C10AmCl,,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCC[N+](C)(C)C.[Cl-],235.843,"InChI=1S/C13H30N.ClH/c1-5-6-7-8-9-10-11-12-13-14(2,3)4;/h5-13H2,1-4H3;1H/q+1;/p-1",
C10EO1AmCl,,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCC[N+](C)(C)C.[Cl-],279.89599999999996,"InChI=1S/C15H34NO.ClH/c1-5-6-7-8-9-10-11-12-14-17-15-13-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",
C10EO2AmCl,,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCCCOCC[N+](C)(C)C.[Cl-],337.976,"InChI=1S/C18H40NO2.ClH/c1-5-6-7-8-9-10-11-12-15-20-16-13-17-21-18-14-19(2,3)4;/h5-18H2,1-4H3;1H/q+1;/p-1",
C10PyCl,,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCC[n+]1ccccc1.[Cl-],255.83300000000003,"InChI=1S/C15H26N.ClH/c1-2-3-4-5-6-7-8-10-13-16-14-11-9-12-15-16;/h9,11-12,14-15H,2-8,10,13H2,1H3;1H/q+1;/p-1",
C10EO1PyCl,,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCC[n+]1ccccc1.[Cl-],299.88599999999997,"InChI=1S/C17H30NO.ClH/c1-2-3-4-5-6-7-8-12-16-19-17-15-18-13-10-9-11-14-18;/h9-11,13-14H,2-8,12,15-17H2,1H3;1H/q+1;/p-1",
C10EO2PyCl,,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCCOCC[n+]1ccccc1.[Cl-],343.93899999999996,"InChI=1S/C19H34NO2.ClH/c1-2-3-4-5-6-7-8-12-16-21-18-19-22-17-15-20-13-10-9-11-14-20;/h9-11,13-14H,2-8,12,15-19H2,1H3;1H/q+1;/p-1",
C12AmCl,0.02,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],263.89699999999993,"InChI=1S/C15H34N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",1.6989700043360187
C12EO1AmCl,0.0068,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-],307.94999999999993,"InChI=1S/C17H38NO.ClH/c1-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1",2.167491087293764
C12EO2AmCl,0.0053,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],352.00300000000004,"InChI=1S/C19H42NO2.ClH/c1-5-6-7-8-9-10-11-12-13-14-16-21-18-19-22-17-15-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",2.275724130399211
C12PyCl,0.0148,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],283.887,"InChI=1S/C17H30N.ClH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",1.8297382846050425
C12EO1PyCl,0.0058,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCC[n+]1ccccc1.[Cl-],327.93999999999994,"InChI=1S/C19H34NO.ClH/c1-2-3-4-5-6-7-8-9-10-14-18-21-19-17-20-15-12-11-13-16-20;/h11-13,15-16H,2-10,14,17-19H2,1H3;1H/q+1;/p-1",2.2365720064370627
C12EO2PyCl,0.004,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCCOCC[n+]1ccccc1.[Cl-],371.99299999999994,"InChI=1S/C21H38NO2.ClH/c1-2-3-4-5-6-7-8-9-10-14-18-23-20-21-24-19-17-22-15-12-11-13-16-22;/h11-13,15-16H,2-10,14,17-21H2,1H3;1H/q+1;/p-1",2.3979400086720375
