Compound,Abbreviation,CMC (mol/liter),method,Degree of dissoc,Temp_Celsius,source_doi,reference_doi,SMILES
C10H21N(CH3)3Cl,C10AmCl,0.071,conductometry,0.25,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCC[N+](C)(C)C.[Cl-]
C10H21OCH2CH2N(CH3)3Cl,C10EO1AmCl,0.0306,conductometry,0.23,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCC[N+](C)(C)C.[Cl-]
C10H21(OCH2CH2)N(CH3)3Cl,C10EO2AmCl,0.023,conductometry,0.21,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCCCOCC[N+](C)(C)C.[Cl-]
C10H21NC5H5Cl,C10PyCl,0.065,conductometry,0.24,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCC[n+]1ccccc1.[Cl-]
C10H21OCH2CH2NC5H5Cl,C10EO1PyCl,0.0256,conductometry,0.23,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCC[n+]1ccccc1.[Cl-]
C10H21(OCH2CH2)2NC5H5Cl,C10EO2PyCl,0.021,conductometry,0.21,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCOCCOCC[n+]1ccccc1.[Cl-]
C12H25N(CH3)3Cl,C12AmCl,0.00201,conductometry,0.24,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCC[N+](C)(C)C.[Cl-]
C12H25OCH2CH2N(CH3)3Cl,C12EO1AmCl,0.0071,conductometry,0.225,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-]
C12H25(OCH2CH2)2N(CH3)3C,C12EO2AmCl,0.0052,conductometry,0.22,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-]
C12H25NC5H5Cl,C12PyCl,0.0156,conductometry,0.22,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCC[n+]1ccccc1.[Cl-]
C12H25OCH2CH2NC5H5Cl,C12EO1PyCl,0.0069,conductometry,0.2,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCC[n+]1ccccc1.[Cl-]
C12H25(OCH2CH2)2NC5H5Cl,C12EO2PyCl,0.0049,conductometry,0.18,25,10.1016/0021-9797(72)90366-9,,CCCCCCCCCCCCOCCOCC[n+]1ccccc1.[Cl-]
