identifier,AW_ST_CMC,reference_doi,source_doi,method,SMILES,Molecular_Weight,InChI,CMC,pCMC,Temp_Celsius,Area_min
CPyB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],384.4460000000001,"InChI=1S/C21H38N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",0.00078,3.1079053973095196,31.0,
CPyC,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],339.99499999999995,"InChI=1S/C21H38N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",0.00088,3.0555173278498313,31.0,
CTAB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",0.00098,3.0087739243075053,31.0,
CTAC,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],320.005,"InChI=1S/C19H42N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",0.00125,2.9030899869919438,31.0,
CTAT,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCCCC[N+](C)(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,455.7490000000004,"InChI=1S/C19H42N.C7H8O3S/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;1-6-2-4-7(5-3-6)11(8,9)10/h5-19H2,1-4H3;2-5H,1H3,(H,8,9,10)/q+1;/p-1",0.00022,3.657577319177794,31.0,
DPyB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCC[n+]1ccccc1.[Br-],328.3379999999999,"InChI=1S/C17H30N.BrH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",0.011720000000000001,1.9310723883179282,31.0,
DPyC,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],283.88699999999994,"InChI=1S/C17H30N.ClH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",0.0174,1.7594507517174003,31.0,
DPyI,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCC[n+]1ccccc1.[I-],375.338,"InChI=1S/C17H30N.HI/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",0.00528,2.277366077466188,31.0,
DTAB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCC[N+](C)(C)C.[Br-],308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",0.015099999999999999,1.8210230527068305,31.0,
OTAB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],392.50999999999993,"InChI=1S/C21H46N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(2,3)4;/h5-21H2,1-4H3;1H/q+1;/p-1",0.00033,3.4814860601221125,31.0,
TPicB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCC[n+]1ccc(C)cc1.[Br-],370.419,"InChI=1S/C20H36N.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-17-21-18-15-20(2)16-19-21;/h15-16,18-19H,3-14,17H2,1-2H3;1H/q+1;/p-1",0.0025,2.6020599913279625,31.0,
TPyB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],356.392,"InChI=1S/C19H34N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-14-17-20-18-15-13-16-19-20;/h13,15-16,18-19H,2-12,14,17H2,1H3;1H/q+1;/p-1",0.00292,2.5346171485515816,31.0,
TTAB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],336.40199999999993,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1",0.0039,2.408935392973501,31.0,
TTPB,,,10.1016/j.tca.2004.11.009,dye solubilisation,CCCCCCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],539.5820000000001,"InChI=1S/C32H44P.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-22-29-33(30-23-16-13-17-24-30,31-25-18-14-19-26-31)32-27-20-15-21-28-32;/h13-21,23-28H,2-12,22,29H2,1H3;1H/q+1;/p-1",0.0005899999999999999,3.2291479883578558,31.0,
CPyB,34.8,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],384.4460000000001,"InChI=1S/C21H38N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",0.0008,3.0969100130080562,31.0,0.41
CPyC,42.0,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],339.99499999999995,"InChI=1S/C21H38N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",0.00091,3.0409586076789066,31.0,0.42
CTAB,35.3,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",0.001,3.0,31.0,0.517
CTAC,41.0,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],320.005,"InChI=1S/C19H42N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",0.0013,2.886056647693163,31.0,0.54
CTAT,32.0,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCCCC[N+](C)(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,455.7490000000004,"InChI=1S/C19H42N.C7H8O3S/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;1-6-2-4-7(5-3-6)11(8,9)10/h5-19H2,1-4H3;2-5H,1H3,(H,8,9,10)/q+1;/p-1",0.00023,3.638272163982407,31.0,0.48100000000000004
DPyB,35.6,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCC[n+]1ccccc1.[Br-],328.3379999999999,"InChI=1S/C17H30N.BrH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",0.01185,1.9262816496538773,31.0,0.518
DPyC,35.8,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],283.88699999999994,"InChI=1S/C17H30N.ClH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",0.0175,1.7569619513137056,31.0,0.525
DPyI,35.0,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCC[n+]1ccccc1.[I-],375.338,"InChI=1S/C17H30N.HI/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1",0.0053,2.275724130399211,31.0,0.516
DTAB,36.4,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCC[N+](C)(C)C.[Br-],308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",0.0152,1.8181564120552274,31.0,0.5
OTAB,35.0,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],392.50999999999993,"InChI=1S/C21H46N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(2,3)4;/h5-21H2,1-4H3;1H/q+1;/p-1",0.00035,3.4559319556497243,31.0,0.519
TPicB,33.1,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCC[n+]1ccc(C)cc1.[Br-],370.419,"InChI=1S/C20H36N.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-17-21-18-15-20(2)16-19-21;/h15-16,18-19H,3-14,17H2,1-2H3;1H/q+1;/p-1",0.00259,2.586700235918748,31.0,0.581
TPyB,34.9,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],356.392,"InChI=1S/C19H34N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-14-17-20-18-15-13-16-19-20;/h13,15-16,18-19H,2-12,14,17H2,1H3;1H/q+1;/p-1",0.00298,2.5257837359237447,31.0,0.53
TTAB,35.6,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],336.40199999999993,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1",0.00398,2.4001169279263124,31.0,0.511
TTPB,41.3,,10.1016/j.tca.2004.11.009,tensiometry,CCCCCCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],539.5820000000001,"InChI=1S/C32H44P.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-22-29-33(30-23-16-13-17-24-30,31-25-18-14-19-26-31)32-27-20-15-21-28-32;/h13-21,23-28H,2-12,22,29H2,1H3;1H/q+1;/p-1",0.0006,3.2218487496163566,31.0,0.8220000000000001
CPyB,,10.1007/s11743-000-0120-5,10.1016/j.tca.2004.11.009,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],384.4460000000001,"InChI=1S/C21H38N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",0.00082,3.0861861476162833,31.0,
CPyC,,10.5650/jos1996.49.17,10.1016/j.tca.2004.11.009,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],339.99499999999995,"InChI=1S/C21H38N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1",0.001,3.0,31.0,
