Surfactants,CMC (mM),Cπ = 20 (mM),γCMC (mN m−1),Area/molecule (A2),Area/molecule literature (A2),reference_doi,source_doi,Temperature (K),method
CPyB,0.78,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
CPyC,0.88,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
CTAB,0.98,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
CTAC,1.25,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
CTAT,0.22,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
DPyB,11.72,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
DPyC,17.4,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
DPyI,5.28,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
DTAB,15.1,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
OTAB,0.33,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
TPicB,2.5,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
TPyB,2.92,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
TTAB,3.9,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
TTPB,0.59,,,,,,10.1016/j.tca.2004.11.009,303.15,dye solubilisation
CPyB,0.8,0.2,34.8,41,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
CPyC,0.91,0.5,42,42,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
CTAB,1,0.4,35.3,51.7,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
CTAC,1.3,0.8,41,54,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
CTAT,0.23,0.08,32,48.1,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
DPyB,11.85,4.15,35.6,51.8,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
DPyC,17.5,7.8,35.8,52.5,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
DPyI,5.3,1.02,35,51.6,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
DTAB,15.2,6.5,36.4,50,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
OTAB,0.35,0.15,35,51.9,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
TPicB,2.59,1.1,33.1,58.1,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
TPyB,2.98,1.25,34.9,53,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
TTAB,3.98,1.7,35.6,51.1,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
TTPB,0.6,0.2,41.3,82.2,,,10.1016/j.tca.2004.11.009,303.15,tensiometry
CPyB,0.82,,,,,10.1007/s11743-000-0120-5,10.1016/j.tca.2004.11.009,303.15,
CPyC,1,,,,,10.5650/jos1996.49.17,10.1016/j.tca.2004.11.009,303.15,
CTAB,1,,,,,10.1021/la981439w,10.1016/j.tca.2004.11.009,303.15,
CTAC,1.3,,,,,10.1021/la00018a063,10.1016/j.tca.2004.11.009,303.15,
CTAT,0.2,,,,,10.1021/la00018a063,10.1016/j.tca.2004.11.009,303.15,
DPyB,10,,,,,10.1021/la981710+,10.1016/j.tca.2004.11.009,303.15,
DPyC,17,,,,,10.1023/A:1020678222376,10.1016/j.tca.2004.11.009,303.15,
DTAB,15,,,,,10.1021/la00005a066,10.1016/j.tca.2004.11.009,303.15,
OTAB,0.34,,,,,10.6028/NBS.NSRDS.36,10.1016/j.tca.2004.11.009,303.15,
TPyB,2.65,,,,,10.1246/bcsj.71.83,10.1016/j.tca.2004.11.009,303.15,
TTAB,3.83,,,,,10.1021/la000154s,10.1016/j.tca.2004.11.009,303.15,
TTPB,0.71,,,,,10.1006/jcis.2000.6866,10.1016/j.tca.2004.11.009,303.15,
