Surfactants,Temperature (K),CMC conductivity (mM),β,ΔGom (kJ mol-1),ΔH om (kJ mol-1),ΔSom (kJ mol-1),Λ0 (cm2 -1 mol-1),Nagg,source_doi,reference_doi
DPyC,293.15,16.67,0.371,-5.44,-0.94,0.016,84.3,44.0,10.1016/j.tca.2004.11.009,
DPyC,303.15,17.7,0.42,-5.46,-1.35,0.014,111.2,43.0,10.1016/j.tca.2004.11.009,
DPyC,313.15,17.88,0.509,-5.48,-1.36,0.013,127.8,41.0,10.1016/j.tca.2004.11.009,
DPyC,323.15,18.1,0.521,-5.58,-1.43,0.013,138.3,38.0,10.1016/j.tca.2004.11.009,
DPyC,333.15,18.52,0.527,-5.66,-1.52,0.012,151.1,37.0,10.1016/j.tca.2004.11.009,
DPyB,293.15,11.7,0.256,-7.33,-1.9,0.019,85.4,58.0,10.1016/j.tca.2004.11.009,
DPyB,303.15,11.85,0.315,-7.38,-2.11,0.017,105.1,56.0,10.1016/j.tca.2004.11.009,
DPyB,313.15,12.2,0.336,-7.43,-2.23,0.017,125.3,53.0,10.1016/j.tca.2004.11.009,
DPyB,323.15,12.4,0.366,-7.47,-2.33,0.016,136.5,50.0,10.1016/j.tca.2004.11.009,
DPyB,333.15,12.6,0.406,-7.49,-2.42,0.015,150.8,48.0,10.1016/j.tca.2004.11.009,
DPyI,293.15,5.16,0.215,-10.72,-6.46,0.015,108.4,77.0,10.1016/j.tca.2004.11.009,
DPyI,303.15,5.51,0.248,-10.62,-6.39,0.014,145.2,76.0,10.1016/j.tca.2004.11.009,
DPyI,313.15,6.0,0.273,-10.47,-6.33,0.013,159.8,75.0,10.1016/j.tca.2004.11.009,
DPyI,323.15,6.3,0.406,-9.78,-6.22,0.011,179.0,72.0,10.1016/j.tca.2004.11.009,
DPyI,333.15,6.4,0.429,-9.88,-6.52,0.01,195.1,70.0,10.1016/j.tca.2004.11.009,
DTAB,293.15,15.38,0.222,-6.52,-2.64,0.014,111.1,58.0,10.1016/j.tca.2004.11.009,
DTAB,303.15,15.63,0.278,-6.58,-2.73,0.013,134.0,54.0,10.1016/j.tca.2004.11.009,
DTAB,313.15,16.12,0.281,-6.68,-2.91,0.012,147.0,51.0,10.1016/j.tca.2004.11.009,
DTAB,323.15,16.64,0.292,-6.73,-3.08,0.011,158.5,49.0,10.1016/j.tca.2004.11.009,
DTAB,333.15,16.7,0.302,-6.8,-3.15,0.009,162.1,47.0,10.1016/j.tca.2004.11.009,
TPyB,293.15,2.9,0.251,-12.8,-2.62,0.035,120.2,86.0,10.1016/j.tca.2004.11.009,
TPyB,303.15,3.0,0.272,-12.9,-2.74,0.034,137.9,81.0,10.1016/j.tca.2004.11.009,
TPyB,313.15,3.2,0.294,-12.92,-2.88,0.032,154.4,72.0,10.1016/j.tca.2004.11.009,
TPyB,323.15,3.3,0.339,-12.95,-2.99,0.031,177.2,69.0,10.1016/j.tca.2004.11.009,
TPyB,333.15,3.5,0.342,-12.98,-3.12,0.029,182.0,62.0,10.1016/j.tca.2004.11.009,
TTAB,293.15,3.53,0.238,-12.1,-8.84,0.011,102.2,81.0,10.1016/j.tca.2004.11.009,
TTAB,303.15,3.75,0.239,-12.25,-9.45,0.009,122.5,76.0,10.1016/j.tca.2004.11.009,
TTAB,313.15,4.0,0.241,-12.37,-10.08,0.007,140.0,72.0,10.1016/j.tca.2004.11.009,
TTAB,323.15,4.44,0.276,-12.46,-10.52,0.005,159.5,67.0,10.1016/j.tca.2004.11.009,
TTAB,333.15,4.6,0.282,-12.55,-11.0,0.002,169.1,60.0,10.1016/j.tca.2004.11.009,
TTPB,293.15,0.75,0.479,-16.28,-19.73,-0.012,103.1,40.0,10.1016/j.tca.2004.11.009,
