identifier,pCMC,AW_ST_CMC,Temp_Celsius,SMILES,source_doi,reference_doi,Molecular_Weight,InChI,CMC
Ia,2.2596373105057563,28.0,23.0,CCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00004a077,,566.5200000000006,"InChI=1S/C24H44O8P2.2Na/c1-3-5-7-9-11-13-19-29-33(25,26)31-21-23-15-17-24(18-16-23)22-32-34(27,28)30-20-14-12-10-8-6-4-2;;/h15-18H,3-14,19-22H2,1-2H3,(H,25,26)(H,27,28);;/q;2*+1/p-2",0.0055
Ib,3.769551078621726,28.0,23.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00004a077,,678.7360000000001,"InChI=1S/C32H60O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-27-37-41(33,34)39-29-31-23-25-32(26-24-31)30-40-42(35,36)38-28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-30H2,1-2H3,(H,33,34)(H,35,36);;/q;2*+1/p-2",0.00017
Ic,,,,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00004a077,,790.9519999999995,"InChI=1S/C40H76O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-45-49(41,42)47-37-39-31-33-40(34-32-39)38-48-50(43,44)46-36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-38H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2",
Ia,,,50.0,CCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00004a077,,566.5200000000006,"InChI=1S/C24H44O8P2.2Na/c1-3-5-7-9-11-13-19-29-33(25,26)31-21-23-15-17-24(18-16-23)22-32-34(27,28)30-20-14-12-10-8-6-4-2;;/h15-18H,3-14,19-22H2,1-2H3,(H,25,26)(H,27,28);;/q;2*+1/p-2",
Ib,3.958607314841775,,50.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00004a077,,678.7360000000001,"InChI=1S/C32H60O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-27-37-41(33,34)39-29-31-23-25-32(26-24-31)30-40-42(35,36)38-28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-30H2,1-2H3,(H,33,34)(H,35,36);;/q;2*+1/p-2",0.00011
Ic,2.6989700043360187,,50.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00004a077,,790.9519999999995,"InChI=1S/C40H76O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-45-49(41,42)47-37-39-31-33-40(34-32-39)38-48-50(43,44)46-36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-38H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2",0.002
IIa,3.3010299956639813,41.0,23.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00004a077,,780.8719999999998,"InChI=1S/C40H66O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2/b24-23+;;",0.0005
IIb,1.7721132953863266,54.0,23.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00004a077,,893.0879999999997,"InChI=1S/C48H82O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-41-53-57(49,50)55-43-47-37-33-45(34-38-47)31-32-46-35-39-48(40-36-46)44-56-58(51,52)54-42-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-40H,3-30,41-44H2,1-2H3,(H,49,50)(H,51,52);;/q;2*+1/p-2/b32-31+;;",0.0169
IIc,2.612610173661271,64.0,23.0,CCCCCCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00004a077,,1005.3039999999993,"InChI=1S/C56H98O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-49-61-65(57,58)63-51-55-45-41-53(42-46-55)39-40-54-43-47-56(48-44-54)52-64-66(59,60)62-50-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h39-48H,3-38,49-52H2,1-2H3,(H,57,58)(H,59,60);;/q;2*+1/p-2/b40-39+;;",0.00244
IIa,3.958607314841775,39.0,50.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00004a077,,780.8719999999998,"InChI=1S/C40H66O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2/b24-23+;;",0.00011
