identifier,pCMC,CMC mM,air water surface tension/ mN/m,Temp_Celsius,SMILES,source_doi,reference_doi
Ia,,5.5,28.0,23.0,[O-]P(OCC1=CC=C(COP(OCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
Ib,,0.17,28.0,23.0,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
Ic,,,,,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
Ia,,,,50.0,[O-]P(OCC1=CC=C(COP(OCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
Ib,,0.11,,50.0,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
Ic,,2.0,,50.0,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
IIa,3.298,0.5,41.0,23.0,[O-]P(OCC1=CC=C(/C=C/C2=CC=C(COP(OCCCCCCCCCCCC)([O-])=O)C=C2)C=C1)(OCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
IIb,1.773,16.9,54.0,23.0,[O-]P(OCC1=CC=C(/C=C/C2=CC=C(COP(OCCCCCCCCCCCCCCCC)([O-])=O)C=C2)C=C1)(OCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
IIc,2.612,2.44,64.0,23.0,[O-]P(OCC1=CC=C(/C=C/C2=CC=C(COP(OCCCCCCCCCCCCCCCCCCCC)([O-])=O)C=C2)C=C1)(OCCCCCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
IIa,3.942,0.11,39.0,50.0,[O-]P(OCC1=CC=C(/C=C/C2=CC=C(COP(OCCCCCCCCCCCC)([O-])=O)C=C2)C=C1)(OCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
IIb,2.296,5.05,39.0,50.0,[O-]P(OCC1=CC=C(/C=C/C2=CC=C(COP(OCCCCCCCCCCCCCCCC)([O-])=O)C=C2)C=C1)(OCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
IIc,2.665,2.16,42.0,50.0,[O-]P(OCC1=CC=C(/C=C/C2=CC=C(COP(OCCCCCCCCCCCCCCCCCCCC)([O-])=O)C=C2)C=C1)(OCCCCCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00004a077,
