identifier,Temp_Celsius,CMC,AW_ST_CMC,SMILES,source_doi,reference_doi,method,Molecular_Weight,InChI,pCMC
C-8,50,0.01,38.0,CCCCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCCC)cc1.[Br-].[Br-],10.1021/ja00075a025,,tensiometry,578.5620000000002,"InChI=1S/C28H54N2.2BrH/c1-7-9-11-13-15-17-23-29(3,4)25-27-19-21-28(22-20-27)26-30(5,6)24-18-16-14-12-10-8-2;;/h19-22H,7-18,23-26H2,1-6H3;2*1H/q+2;;/p-2",2.0
C-12,50,0.001,39.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-],10.1021/ja00075a025,,tensiometry,690.7780000000005,"InChI=1S/C36H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-31-37(3,4)33-35-27-29-36(30-28-35)34-38(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-34H2,1-6H3;2*1H/q+2;;/p-2",3.0
C-18,50,6.7e-05,41.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCCCCCCCCCCCCC)cc1.[Br-].[Br-],10.1021/ja00075a025,,tensiometry,859.1019999999996,"InChI=1S/C48H94N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-43-49(3,4)45-47-39-41-48(42-40-47)46-50(5,6)44-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h39-42H,7-38,43-46H2,1-6H3;2*1H/q+2;;/p-2",4.173925197299174
C-18,50,0.00037,38.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCCCCCCCCCCCCC)cc1.[Br-].[Br-],10.1021/ja00075a025,,tensiometry,859.1019999999996,"InChI=1S/C48H94N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-43-49(3,4)45-47-39-41-48(42-40-47)46-50(5,6)44-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h39-42H,7-38,43-46H2,1-6H3;2*1H/q+2;;/p-2",3.431798275933005
DTAB,50,0.021,38.0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1021/ja00075a025,,tensiometry,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",1.6777807052660807
A-8,23,0.0055,42.0,CCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,566.5200000000006,"InChI=1S/C24H44O8P2.2Na/c1-3-5-7-9-11-13-19-29-33(25,26)31-21-23-15-17-24(18-16-23)22-32-34(27,28)30-20-14-12-10-8-6-4-2;;/h15-18H,3-14,19-22H2,1-2H3,(H,25,26)(H,27,28);;/q;2*+1/p-2",2.2596373105057563
A-8,50,0.0041,42.0,CCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,566.5200000000006,"InChI=1S/C24H44O8P2.2Na/c1-3-5-7-9-11-13-19-29-33(25,26)31-21-23-15-17-24(18-16-23)22-32-34(27,28)30-20-14-12-10-8-6-4-2;;/h15-18H,3-14,19-22H2,1-2H3,(H,25,26)(H,27,28);;/q;2*+1/p-2",2.3872161432802645
A-12,23,0.00017,43.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,678.7360000000001,"InChI=1S/C32H60O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-27-37-41(33,34)39-29-31-23-25-32(26-24-31)30-40-42(35,36)38-28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-30H2,1-2H3,(H,33,34)(H,35,36);;/q;2*+1/p-2",3.769551078621726
A-12,50,0.00011,41.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,678.7360000000001,"InChI=1S/C32H60O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-27-37-41(33,34)39-29-31-23-25-32(26-24-31)30-40-42(35,36)38-28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-30H2,1-2H3,(H,33,34)(H,35,36);;/q;2*+1/p-2",3.958607314841775
A-16,23,,,CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,847.0599999999995,"InChI=1S/C44H84O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39-49-53(45,46)51-41-43-35-37-44(38-36-43)42-52-54(47,48)50-40-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h35-38H,3-34,39-42H2,1-2H3,(H,45,46)(H,47,48);;/q;2*+1/p-2",
A-16,50,0.0026,38.0,CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCCCC)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,847.0599999999995,"InChI=1S/C44H84O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39-49-53(45,46)51-41-43-35-37-44(38-36-43)42-52-54(47,48)50-40-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h35-38H,3-34,39-42H2,1-2H3,(H,45,46)(H,47,48);;/q;2*+1/p-2",2.5850266520291822
DBP,23,0.0011,37.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccccc1.[Na+],10.1021/ja00075a025,,tensiometry,378.42500000000007,"InChI=1S/C19H33O4P.Na/c1-2-3-4-5-6-7-8-9-10-14-17-22-24(20,21)23-18-19-15-12-11-13-16-19;/h11-13,15-16H,2-10,14,17-18H2,1H3,(H,20,21);/q;+1/p-1",2.958607314841775
HBP,23,5.5e-05,38.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccccc1.[Na+],10.1021/ja00075a025,,tensiometry,434.5330000000001,"InChI=1S/C23H41O4P.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-21-26-28(24,25)27-22-23-19-16-15-17-20-23;/h15-17,19-20H,2-14,18,21-22H2,1H3,(H,24,25);/q;+1/p-1",4.259637310505756
B-12,23,0.00063,41.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+],10.1021/ja00075a025,,tensiometry,757.8819999999998,"InChI=1S/C40H66O8P2.Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);/q;+1/p-2/b24-23+;",3.2006594505464183
B-12,23,0.00027,46.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,780.8719999999998,"InChI=1S/C40H66O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2/b24-23+;;",3.5686362358410126
