compd,temp (oC),cmc (M),ST at CMC (dynes/cm),comments,SMILES,source_doi,reference_doi,method
C-8,50,0.01,38.0,,C[N+](CC1=CC=C(C[N+](C)(C)CCCCCCCC)C=C1)(C)CCCCCCCC.[Br-].[Br-],10.1021/ja00075a025,,tensiometry
C-12,50,0.001,39.0,,C[N+](CC1=CC=C(C[N+](C)(C)CCCCCCCCCCCC)C=C1)(C)CCCCCCCCCCCC.[Br-].[Br-],10.1021/ja00075a025,,tensiometry
C-18,50,6.7e-05,41.0,,C[N+](CC1=CC=C(C[N+](C)(C)CCCCCCCCCCCCCCCCCC)C=C1)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],10.1021/ja00075a025,,tensiometry
C-18,50,0.00037,38.0,,C[N+](CC1=CC=C(C[N+](C)(C)CCCCCCCCCCCCCCCCCC)C=C1)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],10.1021/ja00075a025,,tensiometry
DTAB,50,0.021,38.0,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1021/ja00075a025,,tensiometry
A-8,23,0.0055,42.0,,[O-]P(OCC1=CC=C(COP(OCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00075a025,,tensiometry
A-8,50,0.0041,42.0,,[O-]P(OCC1=CC=C(COP(OCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00075a025,,tensiometry
A-12,23,0.00017,43.0,,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00075a025,,tensiometry
A-12,50,0.00011,41.0,,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00075a025,,tensiometry
A-16,23,,,,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00075a025,,tensiometry
A-16,50,0.0026,38.0,,[O-]P(OCC1=CC=C(COP(OCCCCCCCCCCCCCCCCCC)([O-])=O)C=C1)(OCCCCCCCCCCCCCCCCCC)=O.[Na+].[Na+],10.1021/ja00075a025,,tensiometry
DBP,23,0.0011,37.0,,CCCCCCCCCCCCOP(=O)([O-])OCC1=CC=CC=C1.[Na+],10.1021/ja00075a025,,tensiometry
HBP,23,5.5e-05,38.0,,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC1=CC=CC=C1.[Na+],10.1021/ja00075a025,,tensiometry
B-12,23,0.00063,41.0,,[O-]P(OCC1=CC=C(/C=C/C2=CC=C(COP(OCCCCCCCCCCCC)([O-])=O)C=C2)C=C1)(OCCCCCCCCCCCC)=O.[Na+],10.1021/ja00075a025,,tensiometry
