CMC,AW_ST_CMC,C20 (M),Temp_Celsius,SMILES,source_doi,reference_doi,Molecular_Weight,InChI,pCMC
0.0345,42.8,0.0118,23,CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,578.5620000000004,"InChI=1S/C28H54N2.2BrH/c1-3-5-7-9-11-13-21-29(23-15-16-24-29)27-19-20-28-30(25-17-18-26-30)22-14-12-10-8-6-4-2;;/h3-18,21-28H2,1-2H3;2*1H/q+2;;/p-2",1.4621809049267258
0.00531,40.0,0.00159,23,CCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,634.6700000000005,"InChI=1S/C32H62N2.2BrH/c1-3-5-7-9-11-13-15-17-25-33(27-19-20-28-33)31-23-24-32-34(29-21-22-30-34)26-18-16-14-12-10-8-6-4-2;;/h3-22,25-32H2,1-2H3;2*1H/q+2;;/p-2",2.274905478918531
0.00091,39.7,0.000269,23,CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,690.7780000000006,"InChI=1S/C36H70N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-37(31-23-24-32-37)35-27-28-36-38(33-25-26-34-38)30-22-20-18-16-14-12-10-8-6-4-2;;/h3-26,29-36H2,1-2H3;2*1H/q+2;;/p-2",3.0409586076789066
0.00127,39.9,0.000615,50,CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,690.7780000000006,"InChI=1S/C36H70N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-37(31-23-24-32-37)35-27-28-36-38(33-25-26-34-38)30-22-20-18-16-14-12-10-8-6-4-2;;/h3-26,29-36H2,1-2H3;2*1H/q+2;;/p-2",2.896196279044043
0.00013,40.4,5.21e-05,23,CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,746.8860000000002,"InChI=1S/C40H78N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-33-41(35-27-28-36-41)39-31-32-40-42(37-29-30-38-42)34-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h3-30,33-40H2,1-2H3;2*1H/q+2;;/p-2",3.886056647693163
0.000268,39.5,0.000126,50,CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,746.8860000000002,"InChI=1S/C40H78N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-33-41(35-27-28-36-41)39-31-32-40-42(37-29-30-38-42)34-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h3-30,33-40H2,1-2H3;2*1H/q+2;;/p-2",3.571865205971211
4.4e-05,39.4,2.18e-05,50,CCCCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,802.9939999999999,"InChI=1S/C44H86N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37-45(39-31-32-40-45)43-35-36-44-46(41-33-34-42-46)38-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h3-34,37-44H2,1-2H3;2*1H/q+2;;/p-2",4.356547323513813
1.05e-05,46.2,8.78e-06,50,CCCCCCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,,859.1019999999996,"InChI=1S/C48H94N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41-49(43-35-36-44-49)47-39-40-48-50(45-37-38-46-50)42-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h3-38,41-48H2,1-2H3;2*1H/q+2;;/p-2",4.978810700930062
0.0478,43.1,0.0175,23,CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,,606.6160000000004,"InChI=1S/C30H58N2.2BrH/c1-3-5-7-9-11-15-23-31(25-17-13-18-26-31)29-21-22-30-32(27-19-14-20-28-32)24-16-12-10-8-6-4-2;;/h3-20,23-30H2,1-2H3;2*1H/q+2;;/p-2",1.320572103387881
0.00596,39.6,0.00152,23,CCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,,662.7240000000006,"InChI=1S/C34H66N2.2BrH/c1-3-5-7-9-11-13-15-19-27-35(29-21-17-22-30-35)33-25-26-34-36(31-23-18-24-32-36)28-20-16-14-12-10-8-6-4-2;;/h3-24,27-34H2,1-2H3;2*1H/q+2;;/p-2",2.2247537402597635
