surfactant,cmc (M),γcmc (mN/m),C20 (M),temperature (°C),SMILES,source_doi,reference_doi
A-8,0.0345,42.8,0.0118,23,CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
A-10,0.00531,40.0,0.00159,23,CCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
A-12,0.00091,39.7,0.000269,23,CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
A-12,0.00127,39.9,0.000615,50,CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
A-14,0.00013,40.4,5.21e-05,23,CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
A-14,0.000268,39.5,0.000126,50,CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
A-16,4.4e-05,39.4,2.18e-05,50,CCCCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
A-18,1.05e-05,46.2,8.78e-06,50,CCCCCCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1021/la9910576,
B-8,0.0478,43.1,0.0175,23,CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,
B-10,0.00596,39.6,0.00152,23,CCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,
B-12,0.000892,38.5,0.000208,23,CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,
B-12,0.00114,39.1,0.000475,50,CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,
B-14,0.000207,35.0,5.62e-05,50,CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,
B-16,5.97e-05,37.9,2.46e-05,50,CCCCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,
B-18,1.66e-05,41.5,8.5e-06,50,CCCCCCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],10.1021/la9910576,
C-8,0.0255,41.8,0.0108,23,C[N+](CCCCCCCC)(CC#CC[N+](C)(CCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
C-10,0.00139,41.1,0.000601,23,C[N+](CCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
C-12,0.00113,38.7,0.000464,50,C[N+](CCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
C-14,0.00025,38.8,0.000109,50,C[N+](CCCCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
C-16,4.78e-05,44.7,3.97e-05,50,C[N+](CCCCCCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
C-18,1.71e-05,45.8,1.36e-05,50,C[N+](CCCCCCCCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
D-8,0.074,46.2,0.0369,23,C[N+](CCCCCCCC)(CC#CC[N+](C)(CCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
D-10,0.00938,45.9,0.00499,23,C[N+](CCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
D-12,0.00157,44.6,0.00705,23,C[N+](CCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
D12,0.00143,42.6,0.00857,50,C[N+](CCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
D-14,0.000297,45.7,0.000149,23,C[N+](CCCCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
D-14,0.000393,42.5,0.000194,50,C[N+](CCCCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
D-16,7.59e-05,43.0,4.76e-05,50,C[N+](CCCCCCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
D-18,4.33e-05,46.8,3.72e-05,50,C[N+](CCCCCCCCCCCCCCCCCC)(CC#CC[N+](C)(CCCCCCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],10.1021/la9910576,
E-8,0.0561,41.6,0.0198,23,C[N+](CCCCCCCC)(CCCC[N+](C)(CCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
E10,0.00878,40.2,0.00249,23,C[N+](CCCCCCCCCC)(CCCC[N+](C)(CCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
E-12,0.000931,39.9,0.000262,23,C[N+](CCCCCCCCCCCC)(CCCC[N+](C)(CCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
E-12,0.00136,39.1,0.000556,50,C[N+](CCCCCCCCCCCC)(CCCC[N+](C)(CCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
E-14,0.000135,40.5,4.69e-05,23,C[N+](CCCCCCCCCCCCCC)(CCCC[N+](C)(CCCCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
E-14,0.000278,39.8,0.000128,50,C[N+](CCCCCCCCCCCCCC)(CCCC[N+](C)(CCCCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
E-16,4.22e-05,41.8,2.44e-05,50,C[N+](CCCCCCCCCCCCCCCC)(CCCC[N+](C)(CCCCCCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
E-18,4.19e-05,43.4,2.46e-05,50,C[N+](CCCCCCCCCCCCCCCCCC)(CCCC[N+](C)(CCCCCCCCCCCCCCCCCC)C)C.[Br-].[Br-],10.1021/la9910576,
