Entry,Surfactant,CMC [mM],Ref.,Temp_Celsius,source_doi,reference_doi,SMILES
1,C12H25N+(CH3)3Br-,16,7,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
2,C12H25N+(CH3)3Cl-,22,20,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,CCCCCCCCCCCC[N+](C)(C)C.[Cl-]
3,C16H33N+(CH3)3Br-,1,30,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
4,C12H25OSO3-Na+,8,7,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
5,C12H25N+(CH3)2-(CH2)n-N+(CH3)2C12H25 2Br-,1,31,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,CCCCCCCCCCCC[N+](C)(C)
6,C12H25N+(CH3)2-(CH2)16-N+(CH3)2C12H25 2Br-,0.12,8,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
7,C16H33N+(CH3)2-(CH2)2-N+(CH3)2C16H33 2Br-,0.003,32,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
8,C8H17N+(CH3)2-(CH2)3-N+(CH3)2C8H17 2Br-,55,33,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
9,C12H25N+(CH3)2-(CH2)2-O-(CH2)2-N+(CH3)2C12H25 2Cl-,0.5,7,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
10,C16H33N+(CH3)2-(CH2)5-N+(CH3)2C16H33 2Br,0.009,34,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
11,C16H33N+(CH3)2-(CH2)2-O-(CH2)2-N+(CH3)2C16H33 2Br-,0.004,34,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
12,C16H33N+(CH3)2-CH2-(CH2-O-CH2)3-CH2-N+(CH3)2-C16H33 2Br-,0.02,9,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
13,C12H25N+(CH3)2-CH2-CH(OH)-CH2-N (CH3)2C12H25 2Br-,0.8,10,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
14,C12H25N+(CH3)2-CH2-C6H4-CH2-N+(CH3)2C12H25,0.03,29,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
15,C12H25N+(CH3)2-CH2-CH(OH)-CH(OH)-CH2-N (CH3)2C12H25 2Br-,0.7,35,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
16,C12H25N+(CH3)2-CH2-CH(OH)-CH2-N+(CH3)2 CH2 CH(OH) CH2 N (CH3)2C12H25 3Cl-,0.5,36,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
17,C12H25OPO2--O-(CH2)6-O-PO2-OC12H252Na+,0.4,34,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,
18,C10H21O-CH2-CH(OSO3-)-CH2-O-(CH2)2-O-CH2-CH(OSO3-)-CH2-OC10H212Na+,0.01,37,,,10.1002/1521-3773(20000602)39:11<1906::AID-ANIE1906>3.0.CO;2-Q,

