identifier,AW_ST_CMC,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,Gamma_max,pCMC,Molecular_Weight,InChI
β-Glc(Ger),27.7,0.38,25.0,10.1016/j.chemphyslip.2005.01.001,,CC(C)CCCC(C)CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.004,4.4e-06,2.3979400086720375,320.42600000000004,"InChI=1S/C16H32O6/c1-10(2)5-4-6-11(3)7-8-21-16-15(20)14(19)13(18)12(9-17)22-16/h10-20H,4-9H2,1-3H3/t11?,12-,13-,14+,15-,16-/m1/s1"
β-Mal2(Ger),33.7,0.47,25.0,10.1016/j.chemphyslip.2005.01.001,,CC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0.0053,3.5e-06,2.275724130399211,482.56700000000006,"InChI=1S/C22H42O11/c1-11(2)5-4-6-12(3)7-8-30-21-19(29)17(27)20(14(10-24)32-21)33-22-18(28)16(26)15(25)13(9-23)31-22/h11-29H,4-10H2,1-3H3/t12?,13-,14-,15-,16+,17-,18-,19-,20-,21?,22-/m1/s1"
β-Mal3(Ger),39.6,0.52,25.0,10.1016/j.chemphyslip.2005.01.001,,CC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0.005,3.1e-06,2.3010299956639813,644.7080000000007,"InChI=1S/C28H52O16/c1-12(2)5-4-6-13(3)7-8-39-26-22(37)19(34)24(15(10-30)41-26)44-28-23(38)20(35)25(16(11-31)42-28)43-27-21(36)18(33)17(32)14(9-29)40-27/h12-38H,4-11H2,1-3H3/t13?,14-,15-,16-,17-,18+,19-,20-,21-,22-,23-,24-,25-,26?,27-,28-/m1/s1"
β-GlcC8,30.1,0.42,25.0,10.1016/j.chemphyslip.2005.01.001,10.1246/bcsj.34.237,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.025,3.9e-06,1.6020599913279623,292.37200000000007,"InChI=1S/C14H28O6/c1-2-3-4-5-6-7-8-19-14-13(18)12(17)11(16)10(9-15)20-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13-,14-/m1/s1"
β-GlcC9,,,25.0,10.1016/j.chemphyslip.2005.01.001,10.1016/0009-3084(79)90010-0,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0065,,2.1870866433571443,306.39900000000006,"InChI=1S/C15H30O6/c1-2-3-4-5-6-7-8-9-20-15-14(19)13(18)12(17)11(10-16)21-15/h11-19H,2-10H2,1H3/t11-,12-,13+,14-,15-/m1/s1"
β-GlcC10,27.7,,25.0,10.1016/j.chemphyslip.2005.01.001,,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,,,320.42600000000004,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15-,16-/m1/s1"
β-GlcC10,,0.47,25.0,10.1016/j.chemphyslip.2005.01.001,10.1246/bcsj.34.237,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0022,3.5e-06,2.657577319177794,320.42600000000004,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15-,16-/m1/s1"
β-GlcC10,,0.41,25.0,10.1016/j.chemphyslip.2005.01.001,10.1021/la980519x,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,4.05e-06,,320.42600000000004,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15-,16-/m1/s1"
β-GlcC10,,,25.0,10.1016/j.chemphyslip.2005.01.001,10.1021/la991573w,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,,,320.42600000000004,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15-,16-/m1/s1"
β-Mal2C10,35.6,0.56,25.0,10.1016/j.chemphyslip.2005.01.001,10.1021/la980519x,CCCCCCCCCCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0.002,3e-06,2.6989700043360187,482.56700000000006,"InChI=1S/C22H42O11/c1-2-3-4-5-6-7-8-9-10-30-21-19(29)17(27)20(14(12-24)32-21)33-22-18(28)16(26)15(25)13(11-23)31-22/h13-29H,2-12H2,1H3/t13-,14-,15-,16+,17-,18-,19-,20-,21?,22-/m1/s1"
