Inhibitor,"Concentration, mM","cmc, mM",0,eta%,Slope,R2,Ka( 105 M 1),ΔG°ads kJ mol-1,Temp_Celsius,source_doi,reference_doi,SMILES,method
Blank,0.0,,,,,,,,25.0,10.1016/j.corsci.2011.06.029,,,tensiometry
OB12,0.05,0.58,0.65,65.0,0.66,0.993,12.49,37.3,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB12,0.1,,,0.73,74.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB12,0.2,,,0.81,81.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB12,0.41,,,0.87,87.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB12,0.81,,,0.92,92.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB14,0.05,0.47,0.71,72.0,0.57,0.987,12.59,37.4,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB14,0.1,,,0.76,76.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB14,0.19,,,0.82,82.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB14,0.39,,,0.88,88.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB14,0.77,,,0.93,93.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB16,0.05,0.41,0.73,74.0,0.57,0.998,16.04,38.7,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB16,0.09,,,0.81,82.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB16,0.18,,,0.86,86.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB16,0.36,,,0.91,91.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB16,0.73,,,0.93,93.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB18,0.04,0.4,0.79,79.0,0.56,0.979,21.15,40.3,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB18,0.09,,,0.84,84.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB18,0.17,,,0.89,90.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB18,0.35,,,0.91,91.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OB18,0.69,,,0.95,95.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccccc2)cc(C)o1)=O.[Br-],tensiometry
OA12,0.05,0.52,0.61,61.0,0.59,0.999,9.39,35.7,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA12,0.1,,,0.7,70.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA12,0.19,,,0.85,79.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA12,0.38,,,0.88,85.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA12,0.76,,,0.91,90.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA14,0.05,0.44,0.63,64.0,0.63,0.998,12.19,37.2,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA14,0.09,,,0.73,74.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA14,0.18,,,0.82,82.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA14,0.36,,,0.86,86.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA14,0.73,,,0.91,91.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA16,0.04,0.4,0.67,68.0,0.68,0.999,16.94,39.1,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA16,0.09,,,0.75,76.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA16,0.17,,,0.85,85.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA16,0.35,,,0.89,89.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
OA16,0.69,,,0.93,93.0,,,,25.0,10.1016/j.corsci.2011.06.029,,CCCCCCCCCCCCCCCCCCOC(C[n+]1c(N=Cc2ccc(OC)cc2)cc(C)o1)=O.[Br-],tensiometry
