identifier,Temp_Celsius,AW_ST_CMC,source_doi,reference_doi,SMILES,Pi_CMC,Area_min,CMC,Gamma_max,pC20,pCMC,C20,Molecular_Weight,InChI
A,25,36.0,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-],,,,,,,,348.41299999999995,"InChI=1S/C18H38N.BrH/c1-3-4-5-6-7-8-9-10-11-13-16-19(2)17-14-12-15-18-19;/h3-18H2,1-2H3;1H/q+1;/p-1"
Ia,25,36.0,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],,,,,,,,612.6640000000004,"InChI=1S/C30H64N2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-31(3)27-29-32(4,30-28-31)26-24-22-20-18-16-14-12-10-8-6-2;;/h5-30H2,1-4H3;2*1H/q+2;;/p-2"
Ib,25,35.0,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-],,,,,,,,668.7720000000006,"InChI=1S/C34H72N2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-27-29-35(3)31-33-36(4,34-32-35)30-28-26-24-22-20-18-16-14-12-10-8-6-2;;/h5-34H2,1-4H3;2*1H/q+2;;/p-2"
Ic,25,38.0,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-],,,,,,,,724.8800000000005,"InChI=1S/C38H80N2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39(3)35-37-40(4,38-36-39)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-2;;/h5-38H2,1-4H3;2*1H/q+2;;/p-2"
a,25,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-],36.0,1.9656,0.005000345349769783,8.45e-07,4.0,2.301,0.0001,348.41299999999995,"InChI=1S/C18H38N.BrH/c1-3-4-5-6-7-8-9-10-11-13-16-19(2)17-14-12-15-18-19;/h3-18H2,1-2H3;1H/q+1;/p-1"
a,40,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-],37.0,1.9967,0.002500345361696432,8.319999999999999e-07,4.676,2.602,2.1086281499332888e-05,348.41299999999995,"InChI=1S/C18H38N.BrH/c1-3-4-5-6-7-8-9-10-11-13-16-19(2)17-14-12-15-18-19;/h3-18H2,1-2H3;1H/q+1;/p-1"
a,55,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-],38.0,2.264,0.0016982436524617442,7.33e-07,4.886,2.77,1.30016957803329e-05,348.41299999999995,"InChI=1S/C18H38N.BrH/c1-3-4-5-6-7-8-9-10-11-13-16-19(2)17-14-12-15-18-19;/h3-18H2,1-2H3;1H/q+1;/p-1"
Ia,25,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],36.0,2.9728,0.0019998618696327446,5.580000000000001e-07,4.854,2.699,1.3995873225726178e-05,612.6640000000004,"InChI=1S/C30H64N2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-31(3)27-29-32(4,30-28-31)26-24-22-20-18-16-14-12-10-8-6-2;;/h5-30H2,1-4H3;2*1H/q+2;;/p-2"
Ia,40,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],38.0,4.1036,0.0015995580286146695,4.01e-07,5.796,2.796,1.5995580286146678e-06,612.6640000000004,"InChI=1S/C30H64N2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-31(3)27-29-32(4,30-28-31)26-24-22-20-18-16-14-12-10-8-6-2;;/h5-30H2,1-4H3;2*1H/q+2;;/p-2"
Ia,55,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],40.0,4.7037,0.001,3.53e-07,6.284,3.0,5.199959965335162e-07,612.6640000000004,"InChI=1S/C30H64N2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-31(3)27-29-32(4,30-28-31)26-24-22-20-18-16-14-12-10-8-6-2;;/h5-30H2,1-4H3;2*1H/q+2;;/p-2"
