Surfactant,T°C,Surface Tension γ (mN/m),CMC (mol/L),Krafft Point Kt,Interfacial Tension (mN/m),Foam Height (ml),Foam Stability (min),Emulsion Stability (sec),source_doi,reference_doi,SMILES,method
A,25,36,5.00E-03,25,7,,,5603,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-],tensiometry
Ia,25,36,2.00E-03,5,4,,,2323,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],tensiometry
Ib,25,35,1.60E-04,5,4,,,1002,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-],tensiometry
Ic,25,38,2.40E-03,5,4,,,2400,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-],tensiometry
A,25,,,,,40,915,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-],shaking
Ia,25,,,,,50,2052,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],shaking
Ib,25,,,,,18,Stable,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-],shaking
Ic,25,,,,,15,Stable,,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-],shaking
A,25,,,,,,,5603,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-],
Ia,25,,,,,,,2323,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],
Ib,25,,,,,,,1002,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-],
Ic,25,,,,,,,2400,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-],
