Surfactant,T°C,-log cmc mol/L,πcmc m/Nm,-log PC20 mol/L,Γmax x 1010 mol/cm2,Amin nm2,source_doi,reference_doi,SMILES
a,25,2.301,36,4.000,0.845,1.9656,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-]
a,40,2.602,37,4.676,0.832,1.9967,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-]
a,55,2.770,38,4.886,0.733,2.2640,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CCCCC1.[Br-]
Ia,25,2.699,36,4.854,0.558,2.9728,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-]
Ia,40,2.796,38,5.796,0.401,4.1036,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-]
Ia,55,3.000,40,6.284,0.353,4.7037,10.1080/01932691.2017.1381916,,CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-]
Ib,25,3.796,37,6.553,0.490,3.3887,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-]
Ib,40,5.000,39,7.398,0.370,4.4924,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-]
Ib,55,5.921,40,,0.529,3.1385,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-]
Ic,25,2.620,34,4.886,0.776,2.1386,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-]
Ic,40,3.000,37,5.824,0.419,3.9601,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-]
Ic,55,3.301,39,6.301,0.380,4.3732,10.1080/01932691.2017.1381916,,CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-]
