ref,key,
1,sakai2011
2,sharma2014
3,shao2012
4,lin2013
5a,qiu2008
5b,wang2010
5b,aiad2013
6,casal2012
7a,cardoso2011
7b,mohammed2010
7c,badea2007
7d,kirby2003
7e,mcgregor2001
8,bombelli2009
9a,caillier2009
9b,perez2009
10,lee1997

11,quagliotto2003
12,fisicaro2008
13,quagliotto2009
14,zhou2007
15,bhadani2009
16,bhadani2011
17,shirai2007
18,kourai2006
19,vanderwoude1997
20,ilies2006
21,ilies2004
22,baltazar2007
23,ao2009
24,ao2008
25,liu2010
26,zhai2006
27,bhadani2011
28,kamboj2012
29,zhuang2013
30,bara2010
31,sunitha2011
32,zhang2012
33,cai2012
34,cai2013
35,zhang2011
36,menger2000

[11] Quagliotto, P., Viscardi, G., Barolo, C., Barni, E., Bellinvia,  S., Fisicaro, E., Compari, C. (2003). J. Org. Chem. 68, 76517660.
[12] Fisicaro, E., Compari, C., Biemmi, M., Duce, E., Peroni, M.,  Barbero, N., Viscardi, G., Quagliotto, P. (2008). J. Phys. Chem. B 112, 12312–12317.
[13] Quagliotto, P., Barolo, C., Barbero, N., Barni, E., Compari,  C., Fisicaro, E., Viscardi, G. (2009). Eur. J. Org. Chem. 2009, 3167–3177.
[14] Zhou, L., Jiang, X., Li, Y., Chen, Z., Hu, X. (2007). Langmuir  23, 11404–11408.
[15] Bhadani, A., Singh, S. (2009). Langmuir 25, 11703–11712.
[16] Bhadani, A., Kataria, H., Singh, S. (2011). Colloid Interface  Sci. 361, 33–41.
[17] Shirai, A., Maeda, T., Ohkita, M., Nagamune, H., Kourai, H.  (2007). Biocontrol Sci. 12, 83–91.
[18] Kourai, H., Yabuhara, T., Shirai, A., Maeda, T., Nagamune,  H. (2006). Eur. J. Med. Chem. 41, 437–444.
[19] van der Woude, I., Wagenaar, A., Meekel, A.A.P., ter  Beest, M.B.A., Rutters, M.H.J., Engberts, J.B.F.N., Hoekstra, D. (1997). Proc. Natl. Acad. Sci. USA 94, 11601165.
[20] Ilies, M.A., Seitz, W.A., Johnson, B.H., Ezell, E.L., Miller,  A.L., Thompson, E.D., Balaban, A.T. (2006). J. Med. Chem. 49, 3872–3887.
[21] Ilies, M.A., Seitz, W.A., Ghiviriga, I., Johnson, B.H., Miller,  A., Thompson, E.B., Balaban, A.T. (2004). J. Med. Chem. 47, 3744–3754.
[22] Baltazar, Q.Q., Chandawalla, J., Sawyer, K., Anderson, J.L.  (2007). Colloids Surf. A: Physicochem. Eng. Aspects 302, 150–156.
[23] Ao, M., Huang, P., Xu, G., Yang, X., Wang, Y. (2009). Colloid  Polym. Sci. 287, 395–402.
[24] Ao, M., Xu, G., Zhu, Y., Bai, Y. (2008). J. Colloid Interface  Sci. 326, 490–495.
[25] Liu, Y., Yu, L., Zhang, S., Yuan, J., Shi, L., Zheng, L. (2010).  Colloids Surf. A: Physicochem. Eng. Aspects 359, 66–70.
[26] Zhai, X., Liu, M. (2006). J. Colloid Interface Sci. 295, 181187.
[27] Bhadani, A., Singh, S. (2011). Langmuir 27, 14033−14044.
[28] Kamboj, R., Singh, S., Bhadani, A., Kataria, H., Kaur, G.  (2012). Langmuir 28, 11969−11978.
[29] Zhuang, L.-H., Yu, K.-H., Wangb, G.-W., Yao, C. (2013). J.  Colloid Interface Sci. 408, 94–100.
[30] Bara, J.E., Hatakeyama, E.S., Wiesenauer, B.R., Zeng, X.,  Noble, R.D., Gin, D.L. (2010). Liquid Crystals 37, 15871599.
[31] Sunitha, S., Reddy, P.S., Prasad, R.B.N., Kanjilal, S. (2011).  Eur. J. Lipid Sci. Technol. 113, 756–762.
[32] Zhang, S., Yan, H., Zhao, M., Zheng, L. (2012). J. Colloid  Interface Sci. 372, 52–57.
[33] Cai, B., Li, X., Yang, Y., Dong, J. (2012). J. Colloid Interface  Sci. 370, 111–116.
[34] Cai, B., Dong, J., Cheng, L., Jiang, Z., Yang, Y., Li, X. (2013).  Soft Matt. 9, 7637–7646.
[35] Zhang, S., Lu, F., Zheng, L. (2011). Colloid Polym. Sci. 289,  1815–1819.
[36] Menger, F.M., Keiper, J.S., Azov, V. (2000). Langmuir 16,  2062–2067.
