DOI,entry,SMILES,pCMC,AW_ST_CMC/ mN/m,gamma * 10^6 mol/m^2,Area * 10^6 m^2,deltaG ads kJ/mol,Type_of_surfactant
10.1111/cbdd.12236,1,N1(C)C=[N+](COCCOC[N+]2=CN(C)C=C2)C=C1.[Cl-].[Cl-],2.15,61.9,2.75,52,20.2,cationic gemini
10.1111/cbdd.12236,2,N1(CC)C=[N+](COCCOC[N+]2=CN(CC)C=C2)C=C1.[Cl-].[Cl-],2.23,60.1,2.71,54,20.8,cationic gemini
10.1111/cbdd.12236,3,N1(CCC)C=[N+](COCCOC[N+]2=CN(CCC)C=C2)C=C1.[Cl-].[Cl-],2.38,59.8,2.69,56,21.3,cationic gemini
10.1111/cbdd.12236,4,N1(CCCC)C=[N+](COCCOC[N+]2=CN(CCCC)C=C2)C=C1.[Cl-].[Cl-],2.41,57.4,2.65,58,21.7,cationic gemini
10.1111/cbdd.12236,5,N1(CCCCC)C=[N+](COCCOC[N+]2=CN(CCCCC)C=C2)C=C1.[Cl-].[Cl-],2.49,55.5,2.61,60,22.3,cationic gemini
10.1111/cbdd.12236,6,N1(CCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.58,53.4,2.57,62,22.7,cationic gemini
10.1111/cbdd.12236,7,N1(CCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.65,51.2,2.53,64,23.5,cationic gemini
10.1111/cbdd.12236,8,N1(CCCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.72,48.9,2.49,66,23.9,cationic gemini
10.1111/cbdd.12236,9,N1(CCCCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.81,47.5,2.45,68,24.3,cationic gemini
10.1111/cbdd.12236,10,N1(CCCCCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.92,45.3,2.41,70,24.8,cationic gemini
10.1111/cbdd.12236,11,N1(CCCCCCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.04,42.5,2.37,72,25.6,cationic gemini
10.1111/cbdd.12236,12,N1(CCCCCCCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.15,41.4,2.33,74,26.3,cationic gemini
10.1111/cbdd.12236,13,N1(CCCCCCCCCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.34,37.5,2.25,78,27.5,cationic gemini
10.1111/cbdd.12236,14,N1(CCCCCCCCCCCCCCCC)C=[N+](COCCOC[N+]2=CN(CCCCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.52,33.9,2.17,82,28.8,cationic gemini
10.1111/cbdd.12236,15,N1(C)C=[N+](COCCCOC[N+]2=CN(C)C=C2)C=C1.[Cl-].[Cl-],2.18,60.8,2.74,54,20.5,cationic gemini
10.1111/cbdd.12236,16,N1(CC)C=[N+](COCCCOC[N+]2=CN(CC)C=C2)C=C1.[Cl-].[Cl-],2.26,58.9,2.7,56,21.1,cationic gemini
10.1111/cbdd.12236,17,N1(CCC)C=[N+](COCCCOC[N+]2=CN(CCC)C=C2)C=C1.[Cl-].[Cl-],2.32,57.8,2.66,58,21.6,cationic gemini
10.1111/cbdd.12236,18,N1(CCCC)C=[N+](COCCCOC[N+]2=CN(CCCC)C=C2)C=C1.[Cl-].[Cl-],2.44,56.3,2.62,60,22,cationic gemini
10.1111/cbdd.12236,19,N1(CCCCC)C=[N+](COCCCOC[N+]2=CN(CCCCC)C=C2)C=C1.[Cl-].[Cl-],2.52,54.4,2.58,62,22.6,cationic gemini
10.1111/cbdd.12236,20,N1(CCCCCC)C=[N+](COCCCOC[N+]2=CN(CCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.61,52.3,2.54,64,23,cationic gemini
10.1111/cbdd.12236,21,N1(CCCCCCC)C=[N+](COCCCOC[N+]2=CN(CCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.68,50.1,2.59,66,23.8,cationic gemini
10.1111/cbdd.12236,22,N1(CCCCCCCC)C=[N+](COCCCOC[N+]2=CN(CCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.75,47.9,2.46,68,24.2,cationic gemini
