no,n,R,n_SMILES,R_SMILES,SMILES
1,C2H5,CH3,CC,C,CN1C=C[N+](COCCOC[N+]2=CN(C)C=C2)=C1.[Cl-].[Cl-]
2,C2H5,C2H5,CC,CC,CCN1C=C[N+](COCCOC[N+]2=CN(CC)C=C2)=C1.[Cl-].[Cl-]
3,C2H5,C3H7,CC,CCC,CCCN1C=C[N+](COCCOC[N+]2=CN(CCC)C=C2)=C1.[Cl-].[Cl-]
4,C2H5,C4H9,CC,CCCC,CCCCN1C=C[N+](COCCOC[N+]2=CN(CCCC)C=C2)=C1.[Cl-].[Cl-]
5,C2H5,C5H11,CC,CCCCC,CCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCC)C=C2)=C1.[Cl-].[Cl-]
6,C2H5,C6H13,CC,CCCCCC,CCCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCCC)C=C2)=C1.[Cl-].[Cl-]
7,C2H5,C7H15,CC,CCCCCCC,CCCCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCCCC)C=C2)=C1.[Cl-].[Cl-]
8,C2H5,C8H17,CC,CCCCCCCC,CCCCCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
9,C2H5,C9H19,CC,CCCCCCCCC,CCCCCCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
10,C2H5,C10H21,CC,CCCCCCCCCC,CCCCCCCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
11,C2H5,C11H23,CC,CCCCCCCCCCC,CCCCCCCCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
12,C2H5,C12H25,CC,CCCCCCCCCCCC,CCCCCCCCCCCCN1C=C[N+](COCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
