no,n,R,-lgCMC,γCMC,Γ 106,A 1020,ΔGads,MIC (mM/L),Class,Temp_Celsius,source_doi,reference_doi
1,C2H5,CH3,2.15,61.9,2.7,52,20.2,33.875,weak,20.0,10.1111/cbdd.12236,
2,C2H5,C2H5,2.23,60.1,2.71,54,20.8,28.468,weak,20.0,10.1111/cbdd.12236,
3,C2H5,C3H7,2.38,59.8,2.69,56,21.3,13.181,weak,20.0,10.1111/cbdd.12236,
4,C2H5,C4H9,2.41,57.4,2.65,58,21.7,6.59,weak,20.0,10.1111/cbdd.12236,
5,C2H5,C5H11,2.49,55.5,2.61,60,22.3,5.741,weak,20.0,10.1111/cbdd.12236,
6,C2H5,C6H13,2.58,53.4,2.57,62,22.7,1.338,weak,20.0,10.1111/cbdd.12236,
7,C2H5,C7H15,2.65,51.2,2.53,64,23.5,0.163,medium,20.0,10.1111/cbdd.12236,
8,C2H5,C8H17,2.72,48.9,2.49,66,23.9,0.038,medium,20.0,10.1111/cbdd.12236,
9,C2H5,C9H19,2.81,47.5,2.45,68,24.3,0.018,good,20.0,10.1111/cbdd.12236,
10,C2H5,C10H21,2.92,45.3,2.41,70,24.8,0.017,good,20.0,10.1111/cbdd.12236,
11,C2H5,C11H23,3.04,42.5,2.37,72,25.6,0.017,good,20.0,10.1111/cbdd.12236,
12,C2H5,C12H25,3.15,41.4,2.33,74,26.3,0.032,medium,20.0,10.1111/cbdd.12236,
13,C2H5,C14H29,3.34,37.5,2.25,78,27.5,0.058,medium,20.0,10.1111/cbdd.12236,
14,C2H5,C16H33,3.52,33.9,2.17,82,28.8,0.108,medium,20.0,10.1111/cbdd.12236,
15,C3H7,CH3,2.18,60.8,2.74,54,20.5,29.652,weak,20.0,10.1111/cbdd.12236,
16,C3H7,C2H5,2.26,58.9,2.7,56,21.1,27.375,weak,20.0,10.1111/cbdd.12236,
17,C3H7,C3H7,2.32,57.8,2.66,58,21.6,25.423,weak,20.0,10.1111/cbdd.12236,
18,C3H7,C4H9,2.44,56.3,2.62,60,22.0,5.933,weak,20.0,10.1111/cbdd.12236,
19,C3H7,C5H11,2.52,54.4,2.58,62,22.6,5.562,weak,20.0,10.1111/cbdd.12236,
20,C3H7,C6H13,2.61,52.3,2.54,64,23.0,1.298,weak,20.0,10.1111/cbdd.12236,
21,C3H7,C7H15,2.68,50.1,2.59,66,23.8,0.158,medium,20.0,10.1111/cbdd.12236,
22,C3H7,C8H17,2.75,47.9,2.46,68,24.2,0.009,good,20.0,10.1111/cbdd.12236,
23,C3H7,C9H19,2.84,46.4,2.42,70,24.6,0.069,medium,20.0,10.1111/cbdd.12236,
24,C3H7,C10H21,2.95,44.2,2.38,72,25.1,0.008,good,20.0,10.1111/cbdd.12236,
25,C3H7,C11H23,3.07,42.4,2.34,74,25.9,0.016,good,20.0,10.1111/cbdd.12236,
26,C3H7,C12H25,3.18,40.3,2.3,76,22.6,0.008,good,20.0,10.1111/cbdd.12236,
27,C3H7,C14H29,3.37,36.4,2.22,80,27.7,0.056,medium,20.0,10.1111/cbdd.12236,
28,C3H7,C16H33,3.55,32.8,2.14,84,29.1,0.106,medium,20.0,10.1111/cbdd.12236,
29,C4H9,CH3,2.22,59.6,2.71,56,20.9,28.468,weak,20.0,10.1111/cbdd.12236,
30,C4H9,C2H5,2.3,57.7,2.67,58,21.4,6.591,weak,20.0,10.1111/cbdd.12236,
31,C4H9,C3H7,2.39,56.6,2.63,60,21.9,13.18,weak,20.0,10.1111/cbdd.12236,
32,C4H9,C4H9,2.45,55.1,2.59,62,22.3,0.712,medium,20.0,10.1111/cbdd.12236,
33,C4H9,C5H11,2.53,53.2,2.55,64,22.9,0.345,medium,20.0,10.1111/cbdd.12236,
34,C4H9,C6H13,2.64,51.1,2.51,66,23.3,0.079,medium,20.0,10.1111/cbdd.12236,
35,C4H9,C7H15,2.71,48.9,2.47,68,23.9,0.01,good,20.0,10.1111/cbdd.12236,
36,C4H9,C8H17,2.79,46.7,2.43,70,24.5,0.009,good,20.0,10.1111/cbdd.12236,
37,C4H9,C9H19,2.88,45.2,2.39,72,24.9,0.009,good,20.0,10.1111/cbdd.12236,
38,C4H9,C10H21,3.0,43.0,2.35,74,25.4,0.008,good,20.0,10.1111/cbdd.12236,
39,C4H9,C11H23,3.13,41.2,2.31,76,26.2,0.032,medium,20.0,10.1111/cbdd.12236,
40,C4H9,C12H25,3.22,39.2,2.27,78,26.9,0.061,medium,20.0,10.1111/cbdd.12236,
41,C4H9,C14H29,3.4,35.2,2.19,82,28.0,0.028,medium,20.0,10.1111/cbdd.12236,
42,C4H9,C16H33,3.58,31.5,2.11,86,29.3,0.052,medium,20.0,10.1111/cbdd.12236,
43,C5H11,CH3,2.25,58.5,2.68,58,21.2,27.375,weak,20.0,10.1111/cbdd.12236,
44,C5H11,C2H5,2.33,56.6,2.64,60,21.7,25.423,weak,20.0,10.1111/cbdd.12236,
45,C5H11,C3H7,2.41,55.7,2.6,62,22.2,5.933,weak,20.0,10.1111/cbdd.12236,
46,C5H11,C4H9,2.49,53.9,2.56,64,22.7,0.178,medium,20.0,10.1111/cbdd.12236,
47,C5H11,C5H11,2.58,52.1,2.52,66,23.2,2.618,weak,20.0,10.1111/cbdd.12236,
48,C5H11,C6H13,2.67,50.1,2.48,68,23.7,0.158,medium,20.0,10.1111/cbdd.12236,
49,C5H11,C7H15,2.75,47.8,2.44,70,24.2,0.019,good,20.0,10.1111/cbdd.12236,
50,C5H11,C8H17,2.83,45.6,2.4,72,24.8,0.142,medium,20.0,10.1111/cbdd.12236,
51,C5H11,C9H19,2.91,44.0,2.36,74,25.3,0.008,good,20.0,10.1111/cbdd.12236,
52,C5H11,C10H21,3.07,41.9,2.32,76,25.9,0.004,good,20.0,10.1111/cbdd.12236,
53,C5H11,C11H23,3.16,40.1,2.28,78,26.5,0.015,good,20.0,10.1111/cbdd.12236,
54,C5H11,C12H25,3.25,38.1,2.24,80,27.1,0.03,medium,20.0,10.1111/cbdd.12236,
55,C5H11,C14H29,3.43,33.9,2.16,84,28.3,0.027,medium,20.0,10.1111/cbdd.12236,
56,C5H11,C16H33,3.61,29.6,2.08,88,29.6,0.204,medium,20.0,10.1111/cbdd.12236,
57,C6H13,CH3,2.29,47.1,2.73,56,29.3,6.591,weak,20.0,10.1111/cbdd.12236,
58,C6H13,C2H5,2.37,44.8,2.66,59,30.2,0.817,medium,20.0,10.1111/cbdd.12236,
59,C6H13,C3H7,2.45,42.6,2.59,62,30.9,0.712,medium,20.0,10.1111/cbdd.12236,
60,C6H13,C4H9,2.54,39.4,2.53,65,31.5,0.669,medium,20.0,10.1111/cbdd.12236,
