identifier,CMC,AW_ST_CMC,pC20,Pi_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,Gamma_max,Area_min,pCMC,C20,Molecular_Weight,InChI
Gemini 5,0.001117,39.108,3.383,29.142,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],2.273e-06,0.73,2.951946826884391,0.00041399967481973044,567.8590000000005,"InChI=1S/C33H72N2.2ClH/c1-7-9-11-13-15-17-19-21-23-26-30-34(3,4)32-28-25-29-33-35(5,6)31-27-24-22-20-18-16-14-12-10-8-2;;/h7-33H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 5,0.00114,,,,29.85,10.1016/j.molliq.2015.01.055,10.1039/c3sm52938j,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],,,2.9430951486635273,,567.8590000000005,"InChI=1S/C33H72N2.2ClH/c1-7-9-11-13-15-17-19-21-23-26-30-34(3,4)32-28-25-29-33-35(5,6)31-27-24-22-20-18-16-14-12-10-8-2;;/h7-33H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 6,0.0001798,41.009,4.27,28.891,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],1.69e-06,0.982,3.74521031260279,5.3703179637025325e-05,623.9670000000004,"InChI=1S/C37H80N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-30-34-38(3,4)36-32-29-33-37-39(5,6)35-31-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-37H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 6,0.000164,,,,29.85,10.1016/j.molliq.2015.01.055,10.1039/c3sm52938j,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],,,3.785156151952302,,623.9670000000004,"InChI=1S/C37H80N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-30-34-38(3,4)36-32-29-33-37-39(5,6)35-31-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-37H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 7,2.438e-05,47.201,4.895,22.6,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],1.622e-06,1.024,4.6129662987176365,1.2735030810166629e-05,680.0750000000002,"InChI=1S/C41H88N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-34-38-42(3,4)40-36-33-37-41-43(5,6)39-35-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-41H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 7,2.83e-05,,,,30.0,10.1016/j.molliq.2015.01.055,10.1007/s00396-005-1449-4,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],,,4.548213564475709,,680.0750000000002,"InChI=1S/C41H88N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-34-38-42(3,4)40-36-33-37-41-43(5,6)39-35-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-41H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 10,0.0008386,40.403,3.349,30.597,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],2.775e-06,0.598,3.0764451419324508,0.0004477133041763623,641.8500000000006,"InChI=1S/C34H70N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-35(3,4)31-33(37)39-29-30-40-34(38)32-36(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 11,0.0001199,44.744,4.366,25.706,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],9.55e-07,1.738,3.9211808169011513,4.30526610491711e-05,697.9580000000003,"InChI=1S/C38H78N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-39(3,4)35-37(41)43-33-34-44-38(42)36-40(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 12,3.4e-06,44.799,5.598,23.901,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],1.7569999999999999e-06,0.945,5.468521082957745,2.5234807724805753e-06,754.066,"InChI=1S/C42H86N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-43(3,4)39-41(45)47-37-38-48-42(46)40-44(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
Gemini 15,0.001043,42.791,3.465,26.859,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],1.682e-06,0.987,2.981715691573469,0.0003427677865464505,639.8820000000002,"InChI=1S/C34H70N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-37(3,4)31-33(39)35-27-28-36-34(40)32-38(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H"
Gemini 16,0.0002004,46.13,4.217,23.97,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],8.030000000000001e-07,2.067,3.698102282804792,6.067363295885059e-05,695.9899999999999,"InChI=1S/C38H78N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-41(3,4)35-37(43)39-31-32-40-38(44)36-42(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H"
Gemini 17,4.375e-05,50.018,4.425,20.082,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],1.5660000000000001e-06,1.06,4.359021942641668,3.758374042884443e-05,752.0979999999996,"InChI=1S/C42H86N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-45(3,4)39-41(47)43-35-36-44-42(48)40-46(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H"
