Gemini surfactants,CMC mol·dm−3,method,α,γ mN·m−1,Γmax n=2 x 106 mol·m−2,Γmax n=3 x 106 mol·m−2,Amin n=2 nm2,Amin n=3 nm2,pC20 mol·dm−3,πcmc mN·m−1,CMC/C20,Temp_Celsius,source_doi,reference_doi,SMILES
Gemini 5,0.001117,conductometry,0.271,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 5,0.00114,conductometry,,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,10.1039/c3sm52938j,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 6,0.0001798,conductometry,0.447,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 6,0.000164,conductometry,,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,10.1039/c3sm52938j,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 7,2.44E-05,conductometry,0.66,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 7,2.83E-05,conductometry,,,,,,,,,,30,10.1016/j.molliq.2015.01.055,10.1007/s00396-005-1449-4,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 10,0.0008386,conductometry,0.776,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(CC(OCCOC(C[N+](C)(CCCCCCCCCCCC)C)=O)=O)C.[Cl-].[Cl-]
Gemini 11,0.0001199,conductometry,0.812,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(CC(OCCOC(C[N+](C)(CCCCCCCCCCCCCC)C)=O)=O)C.[Cl-].[Cl-]
Gemini 12,3.40E-06,conductometry,0.86,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(CC(OCCOC(C[N+](C)(CCCCCCCCCCCCCCCC)C)=O)=O)C.[Cl-].[Cl-]
Gemini 15,0.001043,conductometry,0.438,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 16,0.0002004,conductometry,0.608,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 17,4.38E-05,conductometry,0.658,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 5,0.001099,tensiometry,,39.108,2.273,1.515,0.73,1.096,3.383,29.142,2.656,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 5,0.00103,tensiometry,,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,10.1039/c3sm52938j,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 6,0.0001505,tensiometry,,41.009,1.69,1.127,0.982,1.473,4.27,28.891,0.895,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 6,,tensiometry,,,,,,,,,,29.85,10.1016/j.molliq.2015.01.055,10.1039/c3sm52938j,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 7,2.15E-05,tensiometry,,47.201,1.622,1.082,1.024,1.535,4.895,22.6,1.686,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 7,,tensiometry,,,,,,,,,,30,10.1016/j.molliq.2015.01.055,10.1007/s00396-005-1449-4,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 10,0.0007895,tensiometry,,40.403,2.775,1.85,0.598,0.897,3.349,30.597,1.765,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(CC(OCCOC(C[N+](C)(CCCCCCCCCCCC)C)=O)=O)C.[Cl-].[Cl-]
Gemini 11,0.0001121,tensiometry,,44.744,0.955,0.637,1.738,2.607,4.366,25.706,2.604,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(CC(OCCOC(C[N+](C)(CCCCCCCCCCCCCC)C)=O)=O)C.[Cl-].[Cl-]
Gemini 12,4.25E-06,tensiometry,,44.799,1.757,1.171,0.945,1.417,5.598,23.901,1.684,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(CC(OCCOC(C[N+](C)(CCCCCCCCCCCCCCCC)C)=O)=O)C.[Cl-].[Cl-]
Gemini 15,0.0009068,tensiometry,,42.791,1.682,1.121,0.987,1.481,3.465,26.859,2.644,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 16,0.0001599,tensiometry,,46.13,0.803,0.536,2.067,3.1,4.217,23.97,2.638,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-]
Gemini 17,4.77E-05,tensiometry,,50.018,1.566,1.021,1.06,1.626,4.425,20.082,1.269,29.85,10.1016/j.molliq.2015.01.055,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
