identifier,method,AW_ST_CMC,Pi_CMC,C20,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,Gamma_max,pCMC,pC20,Molecular_Weight,InChI
7,conductometry,,,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCC)c2)c1.[Br-].[Br-],2.1000000000000002e-05,,4.6777807052660805,,836.8799999999998,"InChI=1S/C40H76N4O4.2BrH/c1-3-5-7-9-11-13-15-16-18-20-22-24-32-48-36-40(46)34-44-30-28-42(38-44)26-25-41-27-29-43(37-41)33-39(45)35-47-31-23-21-19-17-14-12-10-8-6-4-2;;/h27-30,37-40,45-46H,3-26,31-36H2,1-2H3;2*1H/q+2;;/p-2"
8,conductometry,,,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],2e-05,,4.698970004336019,,892.9879999999994,"InChI=1S/C44H84N4O4.2BrH/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-36-52-40-44(50)38-48-34-32-46(42-48)30-29-45-31-33-47(41-45)37-43(49)39-51-35-27-25-23-21-19-16-14-12-10-8-6-4-2;;/h31-34,41-44,49-50H,3-30,35-40H2,1-2H3;2*1H/q+2;;/p-2"
9,conductometry,,,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.000232,,3.6345120151091,,949.095999999999,"InChI=1S/C48H92N4O4.2BrH/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-40-56-44-48(54)42-52-38-36-50(46-52)34-33-49-35-37-51(45-49)41-47(53)43-55-39-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2;;/h35-38,45-48,53-54H,3-34,39-44H2,1-2H3;2*1H/q+2;;/p-2"
10,conductometry,,,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCC)c2)c1.[Br-].[Br-],7.099999999999999e-05,,4.1487416512809245,,822.8529999999998,"InChI=1S/C39H74N4O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-30-46-34-38(44)32-42-28-26-40(36-42)24-23-25-41-27-29-43(37-41)33-39(45)35-47-31-22-20-18-16-14-12-10-8-6-4-2;;/h26-29,36-39,44-45H,3-25,30-35H2,1-2H3;2*1H/q+2;;/p-2"
11,conductometry,,,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.000421,,3.3757179041643317,,878.9609999999994,"InChI=1S/C43H82N4O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-34-50-38-42(48)36-46-32-30-44(40-46)28-27-29-45-31-33-47(41-45)37-43(49)39-51-35-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h30-33,40-43,48-49H,3-29,34-39H2,1-2H3;2*1H/q+2;;/p-2"
12,conductometry,,,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00041099999999999996,,3.3861581781239307,,935.0689999999992,"InChI=1S/C47H90N4O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-38-54-42-46(52)40-50-36-34-48(44-50)32-31-33-49-35-37-51(45-49)41-47(53)43-55-39-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h34-37,44-47,52-53H,3-33,38-43H2,1-2H3;2*1H/q+2;;/p-2"
7,tensiometry,30.04,42.36,0.01,0.036,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCC)c2)c1.[Br-].[Br-],2.2e-05,4.53e-06,4.657577319177793,2.0,836.8799999999998,"InChI=1S/C40H76N4O4.2BrH/c1-3-5-7-9-11-13-15-16-18-20-22-24-32-48-36-40(46)34-44-30-28-42(38-44)26-25-41-27-29-43(37-41)33-39(45)35-47-31-23-21-19-17-14-12-10-8-6-4-2;;/h27-30,37-40,45-46H,3-26,31-36H2,1-2H3;2*1H/q+2;;/p-2"
8,tensiometry,36.08,36.32,0.008,0.047,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],2e-05,3.48e-06,4.698970004336019,2.0969100130080562,892.9879999999994,"InChI=1S/C44H84N4O4.2BrH/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-36-52-40-44(50)38-48-34-32-46(42-48)30-29-45-31-33-47(41-45)37-43(49)39-51-35-27-25-23-21-19-16-14-12-10-8-6-4-2;;/h31-34,41-44,49-50H,3-30,35-40H2,1-2H3;2*1H/q+2;;/p-2"
9,tensiometry,43.51,28.89,0.035,0.051,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00023400000000000002,3.22e-06,3.630784142589857,1.4559319556497243,949.095999999999,"InChI=1S/C48H92N4O4.2BrH/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-40-56-44-48(54)42-52-38-36-50(46-52)34-33-49-35-37-51(45-49)41-47(53)43-55-39-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2;;/h35-38,45-48,53-54H,3-34,39-44H2,1-2H3;2*1H/q+2;;/p-2"
10,tensiometry,44.51,27.81,0.117,0.055,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCC)c2)c1.[Br-].[Br-],7.3e-05,2.99e-06,4.136677139879544,0.9318141382538383,822.8529999999998,"InChI=1S/C39H74N4O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-30-46-34-38(44)32-42-28-26-40(36-42)24-23-25-41-27-29-43(37-41)33-39(45)35-47-31-22-20-18-16-14-12-10-8-6-4-2;;/h26-29,36-39,44-45H,3-25,30-35H2,1-2H3;2*1H/q+2;;/p-2"
11,tensiometry,48.07,24.33,0.299,0.061,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.000429,2.71e-06,3.3675427078152755,0.5243288116755703,878.9609999999994,"InChI=1S/C43H82N4O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-34-50-38-42(48)36-46-32-30-44(40-46)28-27-29-45-31-33-47(41-45)37-43(49)39-51-35-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h30-33,40-43,48-49H,3-29,34-39H2,1-2H3;2*1H/q+2;;/p-2"
