S. no,CMC (mM),α (%),β (%),method,γ (mN/m),∏CMC (mN/m),C20 (M),CMC/c20,106Tmax (Mol/m2),Amin (nm2),ΔDGmic KJ/mol,ΔGads (KJ/mol),TONSET (°C),TSTART (°C),Temp_Celsius,source_doi,reference_doi,SMILES
7,0.021,48,52,conductometry,30.04,,,,,,,,279.5,235.8,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
8,0.02,49,51,conductometry,36.08,,,,,,,,285.3,248.4,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
9,0.232,32,68,conductometry,43.51,,,,,,,,270.6,230,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
10,0.071,34,66,conductometry,44.51,,,,,,,,281.9,240.7,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
11,0.421,33,67,conductometry,48.07,,,,,,,,253.3,221.6,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
12,0.411,38,62,conductometry,50.06,,,,,,,,270.4,232.1,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
7,0.022,,,tensiometry,,42.36,0.01,2.21,4.53,0.036,-36.49,-45.84,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
8,0.02,,,tensiometry,,36.32,0.008,2.54,3.48,0.047,-36.75,-47.15,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
9,0.234,,,tensiometry,,28.89,0.035,2.01,3.22,0.051,-20.87,-29.84,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
10,0.073,,,tensiometry,,27.81,0.117,2.08,2.99,0.055,-23.81,-33.13,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
11,0.429,,,tensiometry,,24.33,0.299,1.43,2.71,0.061,-20.99,-29.96,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
12,0.415,,,tensiometry,,21.84,0.35,1.48,2.01,0.082,-22.9,-33.76,,,25,10.1007/s11743-013-1472-2,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)COCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-]
