identifier,method,AW_ST_CMC,Pi_CMC,C20,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,Gamma_max,pCMC,pC20,Molecular_Weight,InChI
7,conductometry,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],7.3e-05,,4.136677139879544,,445.13200000000006,"InChI=1S/C25H49N2O2.ClH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-21-29-23-25(28)22-27-20-19-26(24-27)18-4-2;/h19-20,24-25,28H,3-18,21-23H2,1-2H3;1H/q+1;/p-1"
8,conductometry,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],0.000184,,3.7351821769904636,,417.0780000000001,"InChI=1S/C23H45N2O2.ClH/c1-3-5-6-7-8-9-10-11-12-13-14-15-19-27-21-23(26)20-25-18-17-24(22-25)16-4-2;/h17-18,22-23,26H,3-16,19-21H2,1-2H3;1H/q+1;/p-1"
9,conductometry,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],0.00041099999999999996,,3.3861581781239307,,389.0240000000001,"InChI=1S/C21H41N2O2.ClH/c1-3-5-6-7-8-9-10-11-12-13-17-25-19-21(24)18-23-16-15-22(20-23)14-4-2;/h15-16,20-21,24H,3-14,17-19H2,1-2H3;1H/q+1;/p-1"
10,conductometry,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],6.1e-05,,4.214670164989233,,489.5830000000001,"InChI=1S/C25H49N2O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-21-29-23-25(28)22-27-20-19-26(24-27)18-4-2;/h19-20,24-25,28H,3-18,21-23H2,1-2H3;1H/q+1;/p-1"
11,conductometry,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],0.000166,,3.779891911959945,,461.5290000000001,"InChI=1S/C23H45N2O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-19-27-21-23(26)20-25-18-17-24(22-25)16-4-2;/h17-18,22-23,26H,3-16,19-21H2,1-2H3;1H/q+1;/p-1"
12,conductometry,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],0.000273,,3.563837352959244,,433.4750000000001,"InChI=1S/C21H41N2O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-17-25-19-21(24)18-23-16-15-22(20-23)14-4-2;/h15-16,20-21,24H,3-14,17-19H2,1-2H3;1H/q+1;/p-1"
7,tensiometry,54.23,17.97,0.011,0.88,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],6.7e-05,1.1100000000000002e-06,4.173925197299174,1.958607314841775,445.13200000000006,"InChI=1S/C25H49N2O2.ClH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-21-29-23-25(28)22-27-20-19-26(24-27)18-4-2;/h19-20,24-25,28H,3-18,21-23H2,1-2H3;1H/q+1;/p-1"
8,tensiometry,31.51,40.69,0.047,1.13,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],0.00016900000000000002,1.55e-06,3.7721132953863266,1.3279021420642825,417.0780000000001,"InChI=1S/C23H45N2O2.ClH/c1-3-5-6-7-8-9-10-11-12-13-14-15-19-27-21-23(26)20-25-18-17-24(22-25)16-4-2;/h17-18,22-23,26H,3-16,19-21H2,1-2H3;1H/q+1;/p-1"
9,tensiometry,34.88,37.32,0.179,1.59,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-],0.000398,1.87e-06,3.400116927926312,0.7471469690201068,389.0240000000001,"InChI=1S/C21H41N2O2.ClH/c1-3-5-6-7-8-9-10-11-12-13-17-25-19-21(24)18-23-16-15-22(20-23)14-4-2;/h15-16,20-21,24H,3-14,17-19H2,1-2H3;1H/q+1;/p-1"
10,tensiometry,50.46,21.74,0.016,0.93,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-],5.3e-05,1.18e-06,4.275724130399211,1.7958800173440752,489.5830000000001,"InChI=1S/C25H49N2O2.BrH/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-21-29-23-25(28)22-27-20-19-26(24-27)18-4-2;/h19-20,24-25,28H,3-18,21-23H2,1-2H3;1H/q+1;/p-1"
