S. no,cmc (mM),α (%),β (%),method, γ (mN/m),∏cmc (mN/m),C20 (M),cmc/C20,106 Γmax (mol/m2),Amin (nm2),ΔGomic (kJ/mol),ΔGoads (kJ/mol),Temp_Celsius,source_doi,reference_doi,SMILES
7,0.073,46,54,conductometry,,,,,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-]
8,0.184,42,58,conductometry,,,,,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-]
9,0.411,40,60,conductometry,,,,,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-]
10,0.061,52,48,conductometry,,,,,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-]
11,0.166,45,55,conductometry,,,,,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-]
12,0.273,42,58,conductometry,,,,,,,,,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-]
7,0.067,,,tensiometry,54.23,17.97,0.011,6.72,1.11,0.88,21.06,38.68,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-]
8,0.169,,,tensiometry,31.51,40.69,0.047,3.82,1.55,1.13,19.48,40.05,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-]
9,0.398,,,tensiometry,34.88,37.32,0.179,2.36,1.87,1.59,18.06,40.78,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Cl-]
10,0.053,,,tensiometry,50.46,21.74,0.016,3.75,1.18,0.93,19.49,38.08,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-]
11,0.149,,,tensiometry,35.88,36.32,0.049,3.48,1.66,1.14,17.99,41.34,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-]
12,0.254,,,tensiometry,27.71,44.49,0.149,1.89,1.93,1.55,17.11,41.75,25,10.1016/j.jiec.2014.01.032,,CCCCCCCCCCCCOCC(O)Cn1cc[n+](CCC)c1.[Br-]
