[MgCl2] (mM),CMC (mM),method,Ave,β,ΔG0m (kJ/mol),106 x Γmax (mol/m2),Amin (nm2/mol),ΔGa0ds (kJ/mol),P,Temp_Celsius,source_doi,reference_doi,SMILES
0,12.9,conductometry,13.4,0.47,,,,,0.31,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.005,9.6,conductometry,8.83,0.48,,,,,0.22,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.05,7.14,conductometry,5.94,0.2,,,,,0.24,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.1,5.54,conductometry,4.89,0.18,,,,,0.24,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.5,2.43,conductometry,2.46,0.16,,,,,0.24,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
3,0.84,conductometry,1.23,0.11,,,,,0.25,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
5,,conductometry,1.1,,,,,,0.26,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0,13.2,tensiometry,,,-30.22,2.44,0.68,-57.1,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.005,8.36,tensiometry,,,-32.3,1.73,0.96,-59.52,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.05,5.12,tensiometry,,,-27.08,1.89,0.88,-53.27,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.1,4.54,tensiometry,,,-27.38,1.9,0.87,-54.38,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.5,2.48,tensiometry,,,-29.33,1.92,0.86,-51.26,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
3,0.96,tensiometry,,,-28.73,2.02,0.82,-49.08,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
5,0.92,tensiometry,,,,2.04,0.81,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0,14.11,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.005,8.52,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.05,5.56,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.1,4.6,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
0.5,2.46,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
3,1.56,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
5,1.28,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
