[Na2SO4] (mM),Cond CMC (mM),Tens CMC (mM),CMC method average,β,ΔG0m (kJ/mol),106 x Γmax (mol/m2),Amin (nm2/mol),ΔGa0ds (kJ/mol),P,Temp_Celsius,source_doi,reference_doi,SMILES
5,11.42,conductometry,10.13,0.57,,,,,0.22,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
10,8.51,conductometry,7.08,0.51,,,,,0.16,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
15,7.78,conductometry,6.49,0.5,,,,,0.16,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
25,5.8,conductometry,5.39,0.64b,,,,,0.13,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
5,10.15,tensiometry,,,-33.02,1.78,0.93,-59.91,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
10,7.15,tensiometry,,,-32.86,1.24,1.34,-65.68,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
15,6.28,tensiometry,,,-32.98,1.41,1.18,-62.84,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
25,5.45,tensiometry,,,-27,1.05,1.58,-60.71,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
5,8.83,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
10,5.58,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
15,5.4,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
25,4.86,fluorimetry,,,,,,,,24.85,10.1021/acsomega.8b00718,,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
