identifier,method,AW_ST_CMC,pC20,Amin (Å2),Temp_Celsius,source_doi,reference_doi,SMILES,Molecular_Weight,InChI,CMC,pCMC,Area_min,Gamma_max,C20
3,tensiometry,37.75,3.4,157.0,25,10.1021/jo051579s,,CCCCCCCC[N+](C)(C)CCOC1OC(COC)C(OC)C(OC)C1OC.[Br-],500.5150000000002,"InChI=1S/C22H46NO6.BrH/c1-8-9-10-11-12-13-14-23(2,3)15-16-28-22-21(27-7)20(26-6)19(25-5)18(29-22)17-24-4;/h18-22H,8-17H2,1-7H3;1H/q+1;/p-1",0.00578,2.238072161579471,1.57,10600.0,0.00039810717055349735
4,tensiometry,36.97,4.061,184.0,25,10.1021/jo051579s,,CCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.[Br-],668.6630000000002,"InChI=1S/C30H54NO10.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-31(6,7)19-20-36-30-29(40-25(5)35)28(39-24(4)34)27(38-23(3)33)26(41-30)21-37-22(2)32;/h26-30H,8-21H2,1-7H3;1H/q+1;/p-1/t26-,27-,28+,29-,30-;/m0./s1",0.00263,2.580044251510242,1.84,9000.0,8.689604292863019e-05
5,tensiometry,35.06,5.021,150.0,25,10.1021/jo051579s,,CCCCCCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.[Br-],724.7710000000003,"InChI=1S/C34H62NO10.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-35(6,7)23-24-40-34-33(44-29(5)39)32(43-28(4)38)31(42-27(3)37)30(45-34)25-41-26(2)36;/h30-34H,8-25H2,1-7H3;1H/q+1;/p-1/t30-,31-,32+,33-,34-;/m0./s1",0.00020999999999999998,3.677780705266081,1.5,11100.000000000002,9.52796164023652e-06
7,tensiometry,38.98,3.414,130.0,25,10.1021/jo051579s,,CCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O.[Br-],500.51500000000004,"InChI=1S/C22H46NO6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-23(2,3)15-16-28-22-21(27)20(26)19(25)18(17-24)29-22;/h18-22,24-27H,4-17H2,1-3H3;1H/q+1;/p-1/t18-,19-,20+,21-,22-;/m0./s1",0.00282,2.549750891680639,1.3,12800.0,0.0003854783576657717
8,tensiometry,39.06,4.194,125.0,25,10.1021/jo051579s,,CCCCCCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O.[Br-],556.6230000000002,"InChI=1S/C26H54NO6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(2,3)19-20-32-26-25(31)24(30)23(29)22(21-28)33-26;/h22-26,28-31H,4-21H2,1-3H3;1H/q+1;/p-1/t22-,23-,24+,25-,26-;/m0./s1",0.00051,3.2924298239020637,1.25,13200.0,6.397348354826482e-05
3,conductometry,,,,25,10.1021/jo051579s,,CCCCCCCC[N+](C)(C)CCOC1OC(COC)C(OC)C(OC)C1OC.[Br-],500.5150000000002,"InChI=1S/C22H46NO6.BrH/c1-8-9-10-11-12-13-14-23(2,3)15-16-28-22-21(27-7)20(26-6)19(25-5)18(29-22)17-24-4;/h18-22H,8-17H2,1-7H3;1H/q+1;/p-1",0.0292,1.5346171485515816,,,
4,conductometry,,,,25,10.1021/jo051579s,,CCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.[Br-],668.6630000000002,"InChI=1S/C30H54NO10.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-31(6,7)19-20-36-30-29(40-25(5)35)28(39-24(4)34)27(38-23(3)33)26(41-30)21-37-22(2)32;/h26-30H,8-21H2,1-7H3;1H/q+1;/p-1/t26-,27-,28+,29-,30-;/m0./s1",0.0054800000000000005,2.261219441515631,,,
5,conductometry,,,,25,10.1021/jo051579s,,CCCCCCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.[Br-],724.7710000000003,"InChI=1S/C34H62NO10.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-35(6,7)23-24-40-34-33(44-29(5)39)32(43-28(4)38)31(42-27(3)37)30(45-34)25-41-26(2)36;/h30-34H,8-25H2,1-7H3;1H/q+1;/p-1/t30-,31-,32+,33-,34-;/m0./s1",0.00125,2.9030899869919438,,,
7,conductometry,,,,25,10.1021/jo051579s,,CCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O.[Br-],500.51500000000004,"InChI=1S/C22H46NO6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-23(2,3)15-16-28-22-21(27)20(26)19(25)18(17-24)29-22;/h18-22,24-27H,4-17H2,1-3H3;1H/q+1;/p-1/t18-,19-,20+,21-,22-;/m0./s1",0.0213,1.6716203965612624,,,
8,conductometry,,,,25,10.1021/jo051579s,,CCCCCCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O.[Br-],556.6230000000002,"InChI=1S/C26H54NO6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(2,3)19-20-32-26-25(31)24(30)23(29)22(21-28)33-26;/h22-26,28-31H,4-21H2,1-3H3;1H/q+1;/p-1/t22-,23-,24+,25-,26-;/m0./s1",0.0014199999999999998,2.8477116556169437,,,
