compd,cmc (mM),method,γcmc (mN/m),pC20,Γmax (mol cm-2),Amin (Å2),cmc/C20,Temp_Celsius,source_doi,reference_doi
3,5.78,tensiometry,37.75,3.4,1.06,157,14.5,25,10.1021/jo051579s,
4,2.63,tensiometry,36.97,4.061,0.9,184,30.3,25,10.1021/jo051579s,
5,0.21,tensiometry,35.06,5.021,1.11,150,21.7,25,10.1021/jo051579s,
7,2.82,tensiometry,38.98,3.414,1.28,130,7.3,25,10.1021/jo051579s,
8,0.51,tensiometry,39.06,4.194,1.32,125,8,25,10.1021/jo051579s,
DTAB,14.45,tensiometry,1.4,77,,,,25,10.1021/jo051579s,
CTAB,0.8,tensiometry,1.12,140,,,,25,10.1021/jo051579s,
3,29.2,conductometry,,,,,,25,10.1021/jo051579s,
4,5.48,conductometry,,,,,,25,10.1021/jo051579s,
5,1.25,conductometry,,,,,,25,10.1021/jo051579s,
7,21.3,conductometry,,,,,,25,10.1021/jo051579s,
8,1.42,conductometry,,,,,,25,10.1021/jo051579s,
DTAB,15.8,conductometry,,,,,,25,10.1021/jo051579s,
CTAB,0.9,conductometry,,,,,,25,10.1021/jo051579s,
