Compound,cmc (mM),β (%),Discontinuity before cmc conductivity (mM),β at discontinuity conductivity,cmc conductivity non-linear fit (mM),β conductivity non-linear fit (%),Discontinuity before cmc conductivity non-linear fit(mM),method,Discontinuity before cmcc surface tension (mM),Temp_Celsius,source_doi,reference_doi,SMILES
1a,17,60,,16.5,59,,16.2,conductometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccccc1.[Cl-]
1b,11.3,73,,11.3,73,,11.5,conductometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccccc1.[Br-]
2a,15.1,56,0.25,6,15.7,63,0.24,conductometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
2b,8.1,77,0.28,20,9.1,77,0.26,conductometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Br-]
3a,7.39,46,0.26,21,7.21,46,0.23,conductometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Cl-]
3b,4.9,68,0.12,9,4.7,70,0.095,conductometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Br-]
3b,,,0.27,26,,,0.27,conductometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Br-]
1a,,,,,,,,tensiometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccccc1.[Cl-]
1b,,,,,,,,tensiometry,,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccccc1.[Br-]
2a,14.2,,,,,7,,tensiometry,1.51,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
2b,9.15,,,,,19,,tensiometry,0.32,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[n+]1ccc(C)cc1.[Br-]
3a,7.76,,,,,21,,tensiometry,0.52,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Cl-]
3b,4.3,,,,,17,,tensiometry,0.019,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Br-]
3b,,,,,,31,,tensiometry,0.1,25,10.1016/j.jcis.2009.09.009,,CCCCCCCCCCCC[N+]1=CC=C(C)C2=C1C=CC=C2.[Br-]
