identifier,pC20,SMILES,Temp_Celsius,source_doi,reference_doi,method,InChI,Molecular_Weight,CMC,pCMC,AW_ST_CMC,Pi_CMC,Gamma_max,Area_min,C20
C10C6C10[iPrOH],3.55,CCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,tensiometry,"InChI=1S/C32H68N2O2.2BrH/c1-5-7-9-11-13-15-17-21-25-33(29-31(3)35)27-23-19-20-24-28-34(30-32(4)36)26-22-18-16-14-12-10-8-6-2;;/h31-32,35-36H,5-30H2,1-4H3;2*1H",674.7320000000005,0.000599,3.2225731776106885,38.0,34.0,3.05e-06,0.544,0.0002818382931264455
C12C6C12[iPrOH],3.83,CCCCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,tensiometry,"InChI=1S/C36H76N2O2.2BrH/c1-5-7-9-11-13-15-17-19-21-25-29-37(33-35(3)39)31-27-23-24-28-32-38(34-36(4)40)30-26-22-20-18-16-14-12-10-8-6-2;;/h35-36,39-40H,5-34H2,1-4H3;2*1H",730.8400000000005,0.000443,3.3535962737769305,36.0,36.0,3.2000000000000003e-06,0.518,0.00014791083881682073
C14C6C14[iPrOH],4.02,CCCCCCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,tensiometry,"InChI=1S/C40H84N2O2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-29-33-41(37-39(3)43)35-31-27-28-32-36-42(38-40(4)44)34-30-26-24-22-20-18-16-14-12-10-8-6-2;;/h39-40,43-44H,5-38H2,1-4H3;2*1H",786.9480000000005,0.000327,3.485452247339714,35.5,36.5,3.43e-06,0.484,9.549925860214369e-05
C9C6C9[iPrOH]2,3.78,CCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,tensiometry,"InChI=1S/C36H78N2O4.2BrH/c1-7-9-11-13-15-17-21-25-37(29-33(3)39,30-34(4)40)27-23-19-20-24-28-38(31-35(5)41,32-36(6)42)26-22-18-16-14-12-10-8-2;;/h33-36,39-42H,7-32H2,1-6H3;2*1H/q+2;;/p-2",762.8380000000004,0.000618,3.209011524911184,34.9,37.1,2.36e-06,0.7040000000000001,0.00016595869074375615
C10C6C10[iPrOH]2,3.92,CCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,tensiometry,"InChI=1S/C38H82N2O4.2BrH/c1-7-9-11-13-15-17-19-23-27-39(31-35(3)41,32-36(4)42)29-25-21-22-26-30-40(33-37(5)43,34-38(6)44)28-24-20-18-16-14-12-10-8-2;;/h35-38,41-44H,7-34H2,1-6H3;2*1H/q+2;;/p-2",790.8920000000004,0.00056,3.2518119729937998,34.1,37.9,2.43e-06,0.6829999999999999,0.00012022644346174131
C12C6C12[iPrOH]2,4.13,CCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,tensiometry,"InChI=1S/C42H90N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-27-31-43(35-39(3)45,36-40(4)46)33-29-25-26-30-34-44(37-41(5)47,38-42(6)48)32-28-24-22-20-18-16-14-12-10-8-2;;/h39-42,45-48H,7-38H2,1-6H3;2*1H/q+2;;/p-2",847.0000000000005,0.000354,3.4509967379742124,32.7,39.3,2.48e-06,0.67,7.413102413009176e-05
C14C6C14[iPrOH]2,4.31,CCCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,tensiometry,"InChI=1S/C46H98N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31-35-47(39-43(3)49,40-44(4)50)37-33-29-30-34-38-48(41-45(5)51,42-46(6)52)36-32-28-26-24-22-20-18-16-14-12-10-8-2;;/h43-46,49-52H,7-42H2,1-6H3;2*1H/q+2;;/p-2",903.1080000000005,0.000265,3.576754126063192,30.0,42.0,2.5899999999999998e-06,0.64,4.897788193684466e-05
C9C6C9[iPrOH],,CCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,conductometry,"InChI=1S/C30H64N2O2.2BrH/c1-5-7-9-11-13-15-19-23-31(27-29(3)33)25-21-17-18-22-26-32(28-30(4)34)24-20-16-14-12-10-8-6-2;;/h29-30,33-34H,5-28H2,1-4H3;2*1H",646.6780000000003,0.000878,3.0565054840938974,,,,,
C10C6C10[iPrOH],,CCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,conductometry,"InChI=1S/C32H68N2O2.2BrH/c1-5-7-9-11-13-15-17-21-25-33(29-31(3)35)27-23-19-20-24-28-34(30-32(4)36)26-22-18-16-14-12-10-8-6-2;;/h31-32,35-36H,5-30H2,1-4H3;2*1H",674.7320000000005,0.000614,3.211831628858832,,,,,
C12C6C12[iPrOH],,CCCCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,conductometry,"InChI=1S/C36H76N2O2.2BrH/c1-5-7-9-11-13-15-17-19-21-25-29-37(33-35(3)39)31-27-23-24-28-32-38(34-36(4)40)30-26-22-20-18-16-14-12-10-8-6-2;;/h35-36,39-40H,5-34H2,1-4H3;2*1H",730.8400000000005,0.00046100000000000004,3.336299074610352,,,,,
C14C6C14[iPrOH],,CCCCCCCCCCCCCC[NH+](CCCCCC[NH+](CCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,conductometry,"InChI=1S/C40H84N2O2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-29-33-41(37-39(3)43)35-31-27-28-32-36-42(38-40(4)44)34-30-26-24-22-20-18-16-14-12-10-8-6-2;;/h39-40,43-44H,5-38H2,1-4H3;2*1H",786.9480000000005,0.000324,3.489454989793388,,,,,
C9C6C9[iPrOH]2,,CCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],25,10.1002/jsde.12506,,conductometry,"InChI=1S/C36H78N2O4.2BrH/c1-7-9-11-13-15-17-21-25-37(29-33(3)39,30-34(4)40)27-23-19-20-24-28-38(31-35(5)41,32-36(6)42)26-22-18-16-14-12-10-8-2;;/h33-36,39-42H,7-32H2,1-6H3;2*1H/q+2;;/p-2",762.8380000000004,0.000625,3.2041199826559246,,,,,
