id,SMILES,Canonical SMILES fixed,Primary source
1111,CCCCCCCCCCCCc1cc[n+](C2OC(CO)C(O)C(O)C2O)cc1.[Br-],CCCCCCCCCCCCc1cc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1.[Br-],10.1021/jo0006425
1625,CCCCCCCCCCCCc1cc[n+]([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1.[Br-],CCCCCCCCCCCCc1cc[n+]([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1.[Br-],10.1021/jo0006425
822,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1006/jcis.2001.7704
158,CCCCCCCCCC(=O)OCC1OC(OCCC[N+](C)(C)C)C(O)C(O)C1O.[I-],[I-].CCCCCCCCCC(=O)OC[C@H]1OC(OCCC[N+](C)(C)C)[C@H](O)[C@@H](O)[C@@H]1O,10.1007/s11743-998-0005-7
261,CCCCCCCCCCCC(=O)OCC1OC(OCCC[N+](C)(C)C)C(O)C(O)C1O.[I-],[I-].CCCCCCCCCCCC(=O)OC[C@H]1OC(OCCC[N+](C)(C)C)[C@H](O)[C@@H](O)[C@@H]1O,10.1007/s11743-998-0005-7
416,CCCCCCCCCCCCCCCC(=O)OCC1OC(OCCC[N+](C)(C)C)C(O)C(O)C1O.[I-],[I-].CCCCCCCCCCCCCCCC(=O)OC[C@H]1OC(OCCC[N+](C)(C)C)[C@H](O)[C@@H](O)[C@@H]1O,10.1007/s11743-998-0005-7
448,CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OCCC[N+](C)(C)C)C(O)C(O)C1O.[I-],[I-].CCCCCCCCCCCCCCCCCC(=O)OC[C@H]1OC(OCCC[N+](C)(C)C)[C@H](O)[C@@H](O)[C@@H]1O,10.1007/s11743-998-0005-7
460,CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1006/jcis.2001.7704
512,CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1006/jcis.2001.7704
660,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1006/jcis.2001.7704
359,CCCCCCCCCCCCCC(=O)OCC1OC(OCCC[N+](C)(C)C)C(O)C(O)C1O.[I-],[I-].CCCCCCCCCC(=O)OC[C@H]1OC(OCCC[N+](C)(C)C)[C@H](O)[C@@H](O)[C@@H]1O,10.1007/s11743-998-0005-7
