Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
1,CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],23,[1],cationic,10.1016/j.ces.2022.118208,
2,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],24,[1],cationic,10.1016/j.ces.2022.118208,
3,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],25,[1],cationic,10.1016/j.ces.2022.118208,
4,CCCCCCCCCCCC[N+](CC(C)O)C.[I-],28.1,[2],cationic,10.1016/j.ces.2022.118208,
5,CCCCCCCCCCCC[N+]CC(C)O.[Br-],26.1,[2],cationic,10.1016/j.ces.2022.118208,
6,CCCCCCCCCCCC[N+]CC(C)O.[Cl-],26.4,[2],cationic,10.1016/j.ces.2022.118208,
7,CCCCCCCCCCCC[N+](CC(C)O)CC.[Br-],27.4,[2],cationic,10.1016/j.ces.2022.118208,
8,CCCCCCCCCCCC[N+](CC(C)O)CCC.[Br-],26.2,[2],cationic,10.1016/j.ces.2022.118208,
9,CCCCCCCCC(CCCCCC)C[N+](C)(C)C.[Cl-],26.2,[3],cationic,10.1016/j.ces.2022.118208,
10,CCCCCCCCCCCC[N+].[Cl-],29,[4],cationic,10.1016/j.ces.2022.118208,
11,CCCCCCCCCCCC[N+]C.[Cl-],34,[4],cationic,10.1016/j.ces.2022.118208,
12,CCCCCC[N+](C)(C)CCSCC[N+](CCCCCC)(C)C.[Br-].[Br-],28.7,[5],cationic,10.1016/j.ces.2022.118208,
13,CCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],34.5,[5],cationic,10.1016/j.ces.2022.118208,
14,CCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],33.9,[5],cationic,10.1016/j.ces.2022.118208,
15,CCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],35,[5],cationic,10.1016/j.ces.2022.118208,
16,CCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCC)(C)C.[Br-].[Br-],37.1,[5],cationic,10.1016/j.ces.2022.118208,
17,CCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCC)(C)C.[Br-].[Br-],38,[5],cationic,10.1016/j.ces.2022.118208,
18,CCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCC)(C)C.[Br-].[Br-],37.5,[5],cationic,10.1016/j.ces.2022.118208,
19,CCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],38,[5],cationic,10.1016/j.ces.2022.118208,
20,CCCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],38,[5],cationic,10.1016/j.ces.2022.118208,
21,CCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCC)(C)C.[Br-].[Br-],39.7,[5],cationic,10.1016/j.ces.2022.118208,
22,CCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],39.5,[5],cationic,10.1016/j.ces.2022.118208,
23,CCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.7,[5],cationic,10.1016/j.ces.2022.118208,
24,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.6,[5],cationic,10.1016/j.ces.2022.118208,
25,CCCCCCCCCCC[N+](C)(C)CCOCC[N+](CCCCCCCCCCC)(C)C.[Br-].[Br-],39.1,[5],cationic,10.1016/j.ces.2022.118208,
26,CCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.7,[5],cationic,10.1016/j.ces.2022.118208,
27,CCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCC)(C)C.[Br-].[Br-],40.3,[5],cationic,10.1016/j.ces.2022.118208,
